freq,items
0.52,20;14;75;212;?;?;?
0.56,14;25;17;?;?;?;?
0.46,75;28;67;67;98;?;?
0.47,20;10;10;67;?;?;?
0.44,20;29;8;?;?;?;?
0.44,14;28;67;10;67;98;?
0.47,75;29;28;?;?;?;?
0.51,88;25;17;?;?;?;?
0.42,20;14;25;17;?;?;?
0.46,12;28;10;67;98;?;?
0.46,20;10;19;67;?;?;?
0.46,12;67;67;98;?;?;?
0.48,14;28;8;?;?;?;?
0.42,14;212;98;?;?;?;?
0.54,29;19;10;67;?;?;?
0.41,29;63;67;?;?;?;?
0.47,20;28;28;19;98;?;?
0.49,12;212;17;?;?;?;?
0.47,20;28;19;10;67;?;?
0.47,20;28;10;19;?;?;?
0.45,28;25;63;8;?;?;?
0.48,20;75;98;?;?;?;?
0.42,20;75;28;10;19;?;?
0.43,20;75;10;10;67;?;?
0.4,20;29;67;10;?;?;?
0.49,14;28;19;10;?;?;?
0.42,10;19;10;67;98;?;?
0.43,29;8;8;168;?;?;?
0.4,20;28;10;19;67;98;?
0.49,12;28;19;?;?;?;?
0.61,14;29;25;?;?;?;?
0.5,75;29;25;?;?;?;?
0.41,14;29;10;10;98;?;?
0.41,12;28;19;10;67;?;?
0.41,14;212;19;98;?;?;?
0.45,12;28;29;?;?;?;?
0.59,29;19;98;?;?;?;?
0.41,29;17;51;?;?;?;?
0.42,20;212;19;98;?;?;?
0.43,212;25;17;?;?;?;?
0.4,12;212;98;?;?;?;?
0.46,28;28;67;10;67;?;?
0.63,19;19;98;?;?;?;?
0.46,28;19;28;67;98;?;?
0.58,20;29;17;?;?;?;?
0.4,75;212;19;19;98;?;?
0.41,75;67;10;67;98;?;?
0.41,20;28;28;8;?;?;?
0.53,14;28;17;?;?;?;?
0.44,12;19;10;67;?;?;?
0.48,14;28;67;10;?;?;?
0.43,20;17;8;?;?;?;?
0.54,20;28;10;?;?;?;?
0.42,12;28;67;19;?;?;?
0.5,28;28;67;19;?;?;?
0.48,88;28;25;?;?;?;?
0.4,20;75;212;28;19;98;?
0.44,14;75;28;10;98;?;?
0.4,14;75;28;17;?;?;?
0.46,88;28;10;98;?;?;?
0.41,20;212;67;67;?;?;?
0.42,75;212;28;10;?;?;?
0.47,20;75;28;63;?;?;?
0.5,12;88;25;?;?;?;?
0.41,12;212;28;19;?;?;?
0.43,75;212;28;67;?;?;?
0.56,29;63;8;?;?;?;?
0.5,14;75;212;63;?;?;?
0.54,20;212;63;?;?;?;?
0.54,10;19;67;98;?;?;?
0.42,20;75;212;98;?;?;?
0.57,14;29;17;?;?;?;?
0.5,20;75;28;19;?;?;?
0.52,10;67;10;98;?;?;?
0.52,20;10;98;?;?;?;?
0.42,75;212;98;?;?;?;?
0.42,212;28;10;?;?;?;?
0.43,28;29;10;?;?;?;?
0.53,29;28;19;67;98;?;?
0.41,14;29;67;67;98;?;?
0.48,20;75;19;67;?;?;?
0.44,14;212;19;?;?;?;?
0.43,14;75;28;67;67;98;?
0.45,14;75;28;98;?;?;?
0.4,20;75;28;67;10;67;?
0.42,212;10;67;98;?;?;?
0.42,20;75;28;67;19;?;?
0.62,14;25;63;?;?;?;?
0.52,29;63;28;?;?;?;?
0.4,14;29;28;10;67;?;?
0.44,29;10;28;67;?;?;?
0.44,20;28;28;10;67;?;?
0.41,28;29;25;8;?;?;?
0.4,28;29;67;98;?;?;?
0.4,14;88;17;?;?;?;?
0.55,28;29;28;?;?;?;?
0.53,29;28;28;98;?;?;?
0.54,14;28;19;?;?;?;?
0.51,14;28;67;98;?;?;?
0.47,67;19;67;98;?;?;?
0.48,20;14;75;25;?;?;?
0.43,28;29;19;?;?;?;?
0.45,88;67;10;?;?;?;?
0.49,29;17;28;?;?;?;?
0.43,14;212;67;?;?;?;?
0.42,75;28;10;19;?;?;?
0.41,88;212;28;98;?;?;?
0.51,14;10;67;98;?;?;?
0.5,20;10;19;?;?;?;?
0.7,28;25;63;?;?;?;?
0.41,88;28;10;19;?;?;?
0.46,14;28;28;10;?;?;?
0.41,14;29;28;67;98;?;?
0.43,20;28;28;19;67;?;?
0.42,75;67;10;67;?;?;?
0.63,28;67;98;?;?;?;?
0.45,14;75;19;19;?;?;?
0.44,20;75;28;17;?;?;?
0.42,88;212;67;98;?;?;?
0.55,12;88;28;?;?;?;?
0.51,12;29;17;?;?;?;?
0.4,88;212;28;19;98;?;?
0.48,20;75;10;67;98;?;?
0.42,212;19;98;?;?;?;?
0.41,20;75;212;28;98;?;?
0.49,28;29;25;17;?;?;?
0.4,14;212;19;10;?;?;?
0.64,28;28;19;?;?;?;?
0.41,20;75;28;10;19;98;?
0.53,20;19;67;?;?;?;?
0.41,14;75;67;19;?;?;?
0.44,88;10;19;?;?;?;?
0.48,10;28;67;?;?;?;?
0.41,29;28;63;?;?;?;?
0.58,29;10;10;?;?;?;?
0.45,14;75;67;98;?;?;?
0.58,29;19;67;98;?;?;?
0.45,25;63;28;?;?;?;?
0.41,20;75;28;67;19;98;?
0.47,75;28;10;98;?;?;?
0.5,20;67;10;?;?;?;?
0.51,14;19;98;?;?;?;?
0.55,10;19;67;?;?;?;?
0.51,28;28;19;10;?;?;?
0.57,14;28;25;?;?;?;?
0.47,12;10;98;?;?;?;?
0.44,20;28;67;10;67;98;?
0.41,14;212;67;67;98;?;?
0.41,20;28;19;28;?;?;?
