total,winfreq,items
1,1.0,20;12;23;?;?
1,1.0,12;21;182;?;?
1,1.0,4;94;22;?;?
1,1.0,34;4;178;?;?
1,1.0,26;28;55;?;?
2,1.0,36;50;4;?;?
4,1.0,34;178;94;?;?
1,1.0,36;19;4;?;?
1,1.0,50;20;22;?;?
1,1.0,34;26;214;?;?
1,1.0,50;4;94;?;?
2,1.0,81;34;22;?;?
1,1.0,26;86;214;?;?
2,1.0,4;162;12;?;?
1,1.0,17;28;181;?;?
4,1.0,27;4;55;?;?
1,1.0,27;20;182;?;?
1,1.0,20;2;4;?;?
1,1.0,34;19;26;?;?
1,1.0,34;21;214;?;?
1,1.0,36;19;28;?;?
3,1.0,178;4;214;?;?
2,1.0,34;4;13;?;?
1,1.0,17;20;182;?;?
1,1.0,4;28;23;?;?
1,1.0,162;20;22;?;?
4,1.0,88;26;55;?;?
5,1.0,9;27;12;?;?
10,0.8,36;59;28;?;?
5,0.8,4;94;23;?;?
14,0.79,12;4;22;?;?
23,0.78,88;50;170;?;?
4,0.75,81;4;21;?;?
4,0.75,36;28;23;?;?
4,0.75,88;36;214;?;?
4,0.75,88;22;23;?;?
263,0.73,21;94;23;?;?
15,0.73,26;2;182;?;?
111,0.68,27;28;55;?;?
3,0.67,12;94;31;?;?
6,0.67,20;21;182;?;?
181,0.67,19;36;13;?;?
33,0.67,20;180;79;?;?
238,0.67,2;170;94;?;?
172,0.67,180;28;36;?;?
3,0.67,34;214;23;?;?
3,0.67,4;28;182;?;?
3,0.67,88;27;60;?;?
3,0.67,88;34;178;?;?
65,0.65,81;21;214;?;?
105,0.64,12;28;31;?;?
47,0.64,88;181;94;?;?
11,0.64,17;21;182;?;?
96,0.63,17;12;182;?;?
8,0.63,81;34;50;?;?
81,0.63,81;36;214;?;?
13,0.62,88;94;23;?;?
63,0.62,50;20;94;?;?
59,0.61,34;60;22;?;?
10,0.6,34;59;12;?;?
5,0.6,162;4;22;?;?
5,0.6,27;4;182;?;?
27,0.59,81;162;20;?;?
87,0.59,88;17;25;?;?
7,0.57,88;60;20;?;?
7,0.57,88;178;214;?;?
27,0.56,88;59;86;?;?
65,0.54,28;86;214;?;?
32,0.53,17;4;182;?;?
19,0.53,34;12;13;?;?
2,0.5,34;28;50;?;?
2,0.5,17;2;4;?;?
6,0.5,3;27;19;?;?
26,0.5,26;4;2;?;?
4,0.5,178;36;214;?;?
2,0.5,17;26;182;?;?
2,0.5,180;34;28;?;?
2,0.5,34;19;12;?;?
2,0.5,88;4;55;?;?
4,0.5,26;28;7;?;?
8,0.5,2;34;22;?;?
4,0.5,88;59;4;?;?
16,0.5,2;4;22;?;?
14,0.5,88;50;20;?;?
2,0.5,28;214;23;?;?
2,0.5,60;20;21;?;?
4,0.5,81;2;162;?;?
2,0.5,28;21;214;?;?
2,0.5,9;27;4;?;?
2,0.5,162;27;36;?;?
2,0.5,20;4;21;?;?
4,0.5,4;2;12;?;?
33,0.48,162;4;34;?;?
19,0.47,17;20;4;?;?
32,0.47,162;20;26;?;?
11,0.45,108;27;12;?;?
7,0.43,26;4;55;?;?
24,0.42,36;94;23;?;?
5,0.4,56;27;28;?;?
10,0.4,2;36;26;?;?
15,0.4,17;12;7;?;?
5,0.4,36;214;79;?;?
5,0.4,17;36;22;?;?
18,0.39,17;26;11;?;?
8,0.38,28;4;13;?;?
9,0.33,19;28;13;?;?
3,0.33,26;4;214;?;?
3,0.33,88;25;26;?;?
6,0.33,4;214;23;?;?
9,0.33,17;26;181;?;?
14,0.29,25;27;17;?;?
4,0.25,88;26;19;?;?
8,0.13,4;178;20;?;?
1,0.0,28;27;60;21;23
1,0.0,26;21;214;?;?
1,0.0,36;28;79;?;?
3,0.0,88;21;214;?;?
1,0.0,154;27;2;?;?
1,0.0,50;34;26;?;?
1,0.0,4;2;28;?;?
1,0.0,17;2;182;?;?
1,0.0,27;3;28;?;?
1,0.0,34;26;79;?;?
1,0.0,28;4;21;94;?
2,0.0,28;94;31;?;?
1,0.0,2;27;182;?;?
2,0.0,182;94;21;?;?
1,0.0,88;59;20;?;?
