freq,items
0.53,77;2;50;22;108;?;?;?;?
0.51,15;29;60;21;22;?;?;?;?
0.56,77;50;60;108;?;?;?;?;?
0.5,15;29;2;60;22;108;?;?;?
0.41,77;29;2;23;21;?;?;?;?
0.53,15;77;2;50;22;108;?;?;?
0.49,20;77;29;2;2;22;108;?;?
0.67,20;77;2;2;?;?;?;?;?
0.49,77;2;60;21;108;?;?;?;?
0.41,20;2;2;50;60;108;?;?;?
0.74,2;22;108;?;?;?;?;?;?
0.69,20;29;23;?;?;?;?;?;?
0.45,77;41;2;50;?;?;?;?;?
0.59,20;77;2;50;60;?;?;?;?
0.48,41;2;2;23;108;?;?;?;?
0.59,15;50;21;22;?;?;?;?;?
0.47,20;77;2;50;60;23;108;?;?
0.41,20;77;1;?;?;?;?;?;?
0.43,15;41;23;22;?;?;?;?;?
0.46,41;29;50;21;108;?;?;?;?
0.56,15;2;2;60;21;?;?;?;?
0.56,2;50;60;23;22;108;?;?;?
0.71,29;2;60;21;?;?;?;?;?
0.73,20;29;50;?;?;?;?;?;?
0.41,77;41;23;22;?;?;?;?;?
0.41,20;15;77;41;21;22;?;?;?
0.49,29;2;50;1;?;?;?;?;?
0.57,20;15;77;22;?;?;?;?;?
0.42,15;41;2;2;108;?;?;?;?
0.49,20;15;77;29;60;21;?;?;?
0.63,29;60;23;22;?;?;?;?;?
0.59,77;2;2;60;?;?;?;?;?
0.55,15;29;2;22;108;?;?;?;?
0.65,20;29;50;60;?;?;?;?;?
0.41,15;41;29;2;50;60;?;?;?
0.42,15;41;2;50;108;?;?;?;?
0.8,2;50;21;108;?;?;?;?;?
0.5,20;50;23;21;?;?;?;?;?
0.57,15;77;22;108;?;?;?;?;?
0.41,20;15;77;41;50;21;?;?;?
0.61,15;77;29;2;2;?;?;?;?
0.59,2;60;21;22;108;?;?;?;?
0.65,29;2;2;60;23;?;?;?;?
0.42,15;41;29;50;21;?;?;?;?
0.43,41;50;23;22;108;?;?;?;?
0.47,41;29;21;108;?;?;?;?;?
0.54,20;15;29;60;108;?;?;?;?
0.43,20;15;77;29;2;2;60;23;108
0.46,20;15;2;60;23;108;?;?;?
0.44,20;15;29;2;60;21;22;?;?
0.4,20;2;50;23;21;22;?;?;?
0.49,20;77;29;50;60;21;?;?;?
0.65,20;29;2;23;?;?;?;?;?
0.69,20;50;21;?;?;?;?;?;?
0.66,2;60;23;108;?;?;?;?;?
0.57,15;77;50;21;108;?;?;?;?
0.53,20;15;50;60;108;?;?;?;?
0.43,20;15;77;41;29;2;?;?;?
0.52,20;15;77;29;2;50;22;?;?
0.59,20;15;77;29;2;2;?;?;?
0.46,41;2;50;22;108;?;?;?;?
0.55,20;15;2;22;?;?;?;?;?
0.47,77;29;60;23;108;?;?;?;?
0.46,20;15;77;2;60;21;108;?;?
0.41,20;15;77;41;50;60;?;?;?
0.56,20;29;50;60;21;?;?;?;?
0.54,77;2;2;23;22;?;?;?;?
0.56,20;15;77;23;108;?;?;?;?
0.43,15;77;2;2;23;21;?;?;?
0.47,41;60;23;?;?;?;?;?;?
0.51,15;2;50;60;22;108;?;?;?
0.44,41;29;50;21;22;?;?;?;?
0.46,20;41;60;108;?;?;?;?;?
0.51,77;60;23;108;?;?;?;?;?
0.41,20;15;77;41;2;50;23;?;?
0.71,20;29;2;50;?;?;?;?;?
0.54,20;2;60;21;22;?;?;?;?
0.52,20;29;50;60;22;108;?;?;?
0.41,41;50;60;21;22;?;?;?;?
0.45,20;41;2;2;23;?;?;?;?
0.44,20;15;77;41;29;?;?;?;?
0.46,20;15;77;2;2;60;23;?;?
0.42,20;29;8;?;?;?;?;?;?
0.43,20;77;2;2;23;21;?;?;?
0.47,20;15;77;2;2;23;22;108;?
0.51,20;50;2;?;?;?;?;?;?
0.44,20;77;29;50;60;21;22;?;?
0.5,77;2;21;22;108;?;?;?;?
0.73,29;2;50;21;22;?;?;?;?
