freq,items
0.41,12;28;18;170;?;?;?
0.42,14;75;212;170;?;?;?
0.47,88;22;22;174;18;?;?
0.51,28;212;174;?;?;?;?
0.47,20;75;212;22;19;?;?
0.42,20;174;24;?;?;?;?
0.57,19;174;18;?;?;?;?
0.45,20;19;174;18;?;?;?
0.49,20;14;75;212;22;174;?
0.46,20;75;18;?;?;?;?
0.43,14;75;212;18;?;?;?
0.43,25;18;170;?;?;?;?
0.41,12;29;22;18;170;?;?
0.42,20;19;174;18;170;?;?
0.53,20;14;22;22;174;?;?
0.45,12;29;22;170;?;?;?
0.44,12;28;18;?;?;?;?
0.44,29;63;19;22;?;?;?
0.4,29;22;19;174;18;170;?
0.45,88;212;18;?;?;?;?
0.62,29;22;18;170;?;?;?
0.57,28;22;18;?;?;?;?
0.63,12;29;22;?;?;?;?
0.59,29;22;174;22;?;?;?
0.4,12;14;212;22;?;?;?
0.44,63;19;22;?;?;?;?
0.5,12;88;212;19;?;?;?
0.47,88;174;170;?;?;?;?
0.41,12;14;174;?;?;?;?
0.42,75;212;18;170;?;?;?
0.72,20;22;174;?;?;?;?
0.55,12;212;22;174;?;?;?
0.41,28;88;22;?;?;?;?
0.61,12;88;19;174;?;?;?
0.59,75;212;19;?;?;?;?
0.43,14;75;170;?;?;?;?
0.4,12;88;22;22;174;22;?
0.47,20;174;18;?;?;?;?
0.42,20;25;22;?;?;?;?
0.42,20;29;22;?;?;?;?
0.41,11;19;174;?;?;?;?
0.53,20;22;18;?;?;?;?
0.48,14;212;19;22;?;?;?
0.52,25;63;22;?;?;?;?
0.64,12;22;19;?;?;?;?
0.46,88;22;22;174;170;?;?
0.49,75;212;19;22;?;?;?
0.48,88;174;22;?;?;?;?
0.45,28;22;19;22;?;?;?
0.43,12;63;19;?;?;?;?
0.42,75;212;22;22;22;?;?
0.41,22;19;174;18;170;?;?
0.44,12;22;22;22;18;?;?
0.61,22;22;19;?;?;?;?
0.64,12;88;22;22;?;?;?
0.46,12;22;19;22;?;?;?
0.5,28;22;174;22;?;?;?
0.41,12;14;22;174;?;?;?
0.42,29;25;18;170;?;?;?
0.43,88;22;22;174;18;170;?
0.5,12;29;22;19;?;?;?
0.57,29;22;174;170;?;?;?
0.42,88;19;174;24;?;?;?
0.59,20;75;22;174;?;?;?
0.46,25;17;22;?;?;?;?
0.41,12;20;212;22;?;?;?
0.46,12;88;18;170;?;?;?
0.44,88;174;18;170;?;?;?
0.47,29;22;174;22;18;170;?
0.41,12;212;170;?;?;?;?
0.53,88;22;22;22;?;?;?
0.56,29;19;18;170;?;?;?
0.91,22;22;174;?;?;?;?
0.47,88;22;22;174;22;?;?
0.4,14;19;174;170;?;?;?
0.59,20;22;19;?;?;?;?
0.61,75;212;22;?;?;?;?
0.42,28;63;19;?;?;?;?
0.44,29;22;19;174;22;?;?
0.45,20;19;174;22;?;?;?
0.65,14;22;174;?;?;?;?
0.42,212;22;22;22;?;?;?
0.42,20;212;18;170;?;?;?
0.48,14;22;170;?;?;?;?
0.41,29;22;174;147;?;?;?
0.63,28;19;22;?;?;?;?
0.45,20;22;24;?;?;?;?
0.46,19;174;22;18;170;?;?
0.58,20;75;22;22;174;?;?
0.43,29;17;18;?;?;?;?
0.41,20;75;22;18;170;?;?
0.61,88;22;19;?;?;?;?
0.51,20;14;212;174;?;?;?
0.41,12;174;22;18;170;?;?
0.41,19;22;22;?;?;?;?
0.42,29;24;147;?;?;?;?
0.44,22;18;147;?;?;?;?
0.56,29;22;22;22;170;?;?
0.44,88;22;19;22;?;?;?
0.52,29;174;24;?;?;?;?
0.43,88;22;22;174;24;?;?
0.49,12;25;22;?;?;?;?
0.42,18;170;24;?;?;?;?
0.47,28;19;18;170;?;?;?
0.57,22;22;22;170;?;?;?
0.44,12;29;22;18;?;?;?
0.63,29;25;22;?;?;?;?
0.45,20;88;22;?;?;?;?
0.41,88;25;19;?;?;?;?
0.68,12;88;22;?;?;?;?
0.4,12;29;19;18;?;?;?
0.45,29;22;147;?;?;?;?
0.43,12;88;28;174;?;?;?
0.4,75;19;18;?;?;?;?
0.4,28;22;22;22;18;170;?
0.45,88;29;19;?;?;?;?
0.56,88;212;22;22;174;?;?
0.41,12;14;22;22;?;?;?
0.43,12;28;22;170;?;?;?
0.47,14;212;22;19;?;?;?
0.61,20;75;212;22;?;?;?
0.43,12;19;174;24;?;?;?
0.63,14;22;22;174;?;?;?
0.48,28;22;24;?;?;?;?
0.42,212;18;170;?;?;?;?
0.43,20;75;22;22;22;?;?
0.55,29;25;22;174;?;?;?
0.49,19;174;22;18;?;?;?
0.42,20;14;212;22;19;?;?
0.41,88;212;22;18;170;?;?
0.42,22;18;170;147;?;?;?
0.63,12;88;174;?;?;?;?
0.45,29;18;147;?;?;?;?
0.4,12;88;19;22;18;?;?
0.49,29;19;174;22;18;?;?
0.91,29;22;174;?;?;?;?
0.41,20;88;212;?;?;?;?
0.4,20;75;19;18;?;?;?
0.59,22;22;170;?;?;?;?
0.51,29;174;22;18;?;?;?
0.48,12;19;18;170;?;?;?
0.5,29;19;174;24;?;?;?
0.52,20;14;19;174;?;?;?
0.41,29;63;22;18;170;?;?
0.55,20;14;75;?;?;?;?
0.53,29;25;19;174;?;?;?
0.48,88;19;22;170;?;?;?
0.44,88;22;174;24;?;?;?
0.45,28;19;174;22;170;?;?
0.44,29;25;63;174;?;?;?
0.41,20;14;75;22;19;?;?
0.58,12;22;170;?;?;?;?
0.46,20;174;170;?;?;?;?
0.42,11;22;22;174;?;?;?
0.56,20;14;212;?;?;?;?
0.47,20;14;75;212;19;174;?
0.58,20;75;212;22;174;?;?
0.5,20;14;75;174;?;?;?
0.52,29;22;22;24;?;?;?
0.55,63;22;22;?;?;?;?
0.47,88;22;174;170;?;?;?
0.51,12;22;174;22;?;?;?
0.62,14;19;174;?;?;?;?
0.45,29;22;19;22;170;?;?
0.43,29;22;19;18;170;?;?
0.42,20;88;22;22;?;?;?
0.43,12;25;22;174;?;?;?
0.45,28;22;174;24;?;?;?
0.44,19;22;174;?;?;?;?
0.43,12;20;19;22;?;?;?
0.43,12;75;22;22;174;?;?
0.59,22;22;174;22;?;?;?
0.42,28;22;22;174;22;18;?
0.46,88;19;18;170;?;?;?
0.52,29;17;174;?;?;?;?
0.77,12;22;174;?;?;?;?
0.4,12;63;22;22;174;?;?
0.44,20;22;22;18;170;?;?
0.48,88;22;174;18;?;?;?
0.44,88;19;22;18;170;?;?
0.55,29;19;174;170;?;?;?
0.49,28;19;22;170;?;?;?
0.44,12;75;212;22;22;?;?
0.45,28;174;24;?;?;?;?
0.55,29;22;22;18;170;?;?
0.41,20;14;170;?;?;?;?
0.58,12;212;22;?;?;?;?
0.44,88;29;174;?;?;?;?
0.4,14;22;22;174;22;170;?
0.42,14;212;22;22;22;?;?
0.43,29;22;18;24;?;?;?
0.42,20;212;22;22;22;?;?
0.45,29;22;170;147;?;?;?
0.42,22;22;22;24;?;?;?
0.43,29;63;22;18;?;?;?
0.42,29;63;18;170;?;?;?
0.41,12;22;22;22;18;170;?
0.41,20;29;19;?;?;?;?
0.42,12;88;22;22;19;?;?
0.56,75;212;22;22;174;?;?
0.52,29;19;174;18;170;?;?
0.6,29;17;22;?;?;?;?
0.41,12;212;22;18;?;?;?
0.41,12;88;24;?;?;?;?
0.55,20;14;22;22;?;?;?
0.56,14;75;212;174;?;?;?
0.48,88;212;22;19;?;?;?
0.43,25;63;22;22;174;?;?
0.45,88;25;22;?;?;?;?
0.5,28;212;22;22;174;?;?
0.45,29;25;63;19;?;?;?
0.43,22;18;24;?;?;?;?
0.4,28;174;22;18;170;?;?
0.46,88;174;22;170;?;?;?
0.54,29;63;22;174;?;?;?
0.54,14;19;22;?;?;?;?
0.42,20;88;22;174;?;?;?
0.48,88;19;170;?;?;?;?
0.53,12;88;212;?;?;?;?
0.57,29;19;22;18;?;?;?
0.44,29;25;170;?;?;?;?
0.51,20;14;212;22;174;?;?
0.44,29;170;24;?;?;?;?
0.44,12;25;19;?;?;?;?
0.49,20;14;75;22;22;174;?
0.43,29;22;19;174;18;?;?
0.54,29;174;18;170;?;?;?
0.46,12;75;22;?;?;?;?
0.41,12;88;19;170;?;?;?
0.42,12;63;22;22;?;?;?
0.51,20;22;22;22;?;?;?
0.44,20;75;212;22;170;?;?
0.57,25;22;22;?;?;?;?
0.57,22;22;174;170;?;?;?
0.77,28;22;22;?;?;?;?
0.55,29;22;24;?;?;?;?
0.48,12;22;174;22;170;?;?
0.44,63;22;19;?;?;?;?
0.42,17;22;19;?;?;?;?
0.51,29;22;22;22;18;?;?
0.57,29;174;170;?;?;?;?
0.48,14;75;19;22;?;?;?
0.44,29;25;63;22;22;?;?
0.44,12;75;212;19;?;?;?
0.44,20;75;22;18;?;?;?
0.43,18;170;147;?;?;?;?
