total,winfreq,items
4,1.0,65;20;119
4,1.0,9;13;21
1,1.0,9;20;23
11,1.0,9;58;61
1,1.0,9;58;79
1,1.0,60;12;21
1,1.0,58;28;21
1,1.0,57;28;119
1,1.0,17;12;13
2,1.0,58;20;61
2,1.0,28;94;119
3,1.0,17;27;20
1,1.0,92;20;94
2,1.0,17;28;21
1,1.0,58;20;94
1,1.0,4;58;20
1,1.0,34;21;23
1,1.0,65;34;28
1,1.0,58;28;94
2,1.0,56;9;28
9,0.89,9;13;61
9,0.89,56;58;92
8,0.88,58;20;86
14,0.86,9;20;61
6,0.83,17;28;214
9,0.78,58;34;79
12,0.75,9;36;23
38,0.74,4;94;119
23,0.74,65;13;119
50,0.72,9;13;77
59,0.71,58;20;21
100,0.7,9;4;28
42,0.69,58;36;86
34,0.68,17;13;214
110,0.68,58;92;61
6,0.67,58;4;13
3,0.67,17;13;21
6,0.67,56;58;20
3,0.67,56;57;20
206,0.66,57;92;214
13,0.62,20;28;23
10,0.6,56;34;58
5,0.6,9;21;23
118,0.59,36;21;13
17,0.59,56;58;27
7,0.57,25;28;119
63,0.56,60;21;214
34,0.56,57;58;34
59,0.54,56;12;94
36,0.53,57;34;28
50,0.52,58;13;21
2,0.5,9;36;21
2,0.5,25;20;13
2,0.5,56;28;94
2,0.5,9;13;86
4,0.5,56;9;57
10,0.5,25;34;119
2,0.5,56;57;13
2,0.5,20;28;57
2,0.5,56;34;20
33,0.45,20;28;4
20,0.45,20;21;23
64,0.45,65;20;28
20,0.45,12;92;61
9,0.44,20;92;21
26,0.42,17;20;12
5,0.4,20;13;79
5,0.4,65;20;13
5,0.4,17;28;13
15,0.4,34;92;94
23,0.39,65;58;36
3,0.33,20;13;61
3,0.33,57;34;20
4,0.25,25;36;28
4,0.25,56;9;34
8,0.25,9;4;36
1,0.0,17;28;12
1,0.0,56;20;94
1,0.0,58;28;61
3,0.0,28;21;23
1,0.0,9;28;23
1,0.0,34;28;21
1,0.0,25;34;92
1,0.0,56;57;28
1,0.0,27;92;61
1,0.0,9;13;65
2,0.0,25;58;92
1,0.0,34;28;23
3,0.0,9;36;65
1,0.0,56;34;92
