freq,items
0.48,69;145;2;149;51;?;?;?
0.42,145;3;149;51;141;?;?;?
0.41,182;29;5;149;141;?;?;?
0.54,11;3;145;3;?;?;?;?
0.56,20;3;3;?;?;?;?;?
0.45,29;56;69;3;3;149;?;?
0.7,56;3;149;?;?;?;?;?
0.41,41;29;69;145;3;149;?;?
0.53,41;69;2;149;?;?;?;?
0.41,182;41;145;3;2;?;?;?
0.43,182;29;3;145;51;?;?;?
0.47,56;5;145;2;149;?;?;?
0.47,20;57;145;3;2;?;?;?
0.47,29;69;145;2;149;51;?;?
0.56,56;69;145;3;2;149;?;?
0.42,41;29;5;3;149;?;?;?
0.64,56;69;3;149;?;?;?;?
0.42,182;29;20;2;149;?;?;?
0.4,182;29;69;2;51;?;?;?
0.45,182;41;29;69;145;?;?;?
0.49,5;149;141;?;?;?;?;?
0.61,29;69;5;?;?;?;?;?
0.45,69;3;145;3;149;?;?;?
0.5,20;56;145;3;149;?;?;?
0.47,56;5;3;2;?;?;?;?
0.47,57;3;145;149;?;?;?;?
0.49,56;5;2;149;?;?;?;?
0.51,182;29;56;69;2;149;?;?
0.71,69;145;2;?;?;?;?;?
0.41,182;69;2;51;?;?;?;?
0.41,11;56;145;3;2;149;?;?
0.46,29;57;145;2;149;141;?;?
0.63,11;5;3;?;?;?;?;?
0.44,29;5;3;145;2;?;?;?
0.42,182;69;145;141;?;?;?;?
0.47,182;20;3;3;?;?;?;?
0.42,14;3;145;2;?;?;?;?
0.44,56;69;2;149;141;?;?;?
0.49,29;56;57;145;3;2;?;?
0.46,29;56;69;57;2;?;?;?
0.41,182;57;5;149;?;?;?;?
0.45,182;41;3;3;149;?;?;?
0.48,29;48;3;?;?;?;?;?
0.49,29;20;3;3;?;?;?;?
0.46,29;56;145;3;149;141;?;?
0.62,29;57;5;?;?;?;?;?
0.45,2;51;141;?;?;?;?;?
0.46,3;145;2;51;?;?;?;?
0.54,182;11;3;2;?;?;?;?
0.57,56;57;3;2;149;?;?;?
0.47,11;56;145;149;?;?;?;?
0.41,5;145;2;149;51;141;?;?
0.4,29;69;3;2;149;51;141;?
0.48,182;41;20;?;?;?;?;?
0.41,69;3;145;3;2;?;?;?
0.53,182;56;69;2;149;?;?;?
0.43,14;69;3;149;?;?;?;?
0.47,41;57;145;3;2;?;?;?
0.64,20;5;3;?;?;?;?;?
0.45,182;41;5;2;149;?;?;?
0.45,182;20;145;149;?;?;?;?
0.49,56;3;149;141;?;?;?;?
0.44,29;5;69;?;?;?;?;?
0.49,182;29;20;57;145;?;?;?
0.4,182;56;5;145;149;?;?;?
0.51,182;29;56;5;?;?;?;?
0.46,182;41;11;?;?;?;?;?
0.55,29;56;69;145;3;2;?;?
0.42,41;29;57;3;2;?;?;?
0.44,14;5;2;?;?;?;?;?
0.43,41;56;3;3;?;?;?;?
0.54,182;41;69;3;?;?;?;?
0.42,56;69;5;2;149;?;?;?
0.41,29;56;145;2;51;141;?;?
