total,winfreq,items
2,1.0,2;30;182;?
2,1.0,9;13;21;?
1,1.0,162;92;22;?
2,1.0,41;92;20;?
1,1.0,92;116;108;?
1,1.0,17;21;61;?
1,1.0,4;21;182;?
1,1.0,36;4;13;?
2,1.0,11;13;29;?
1,1.0,36;13;63;?
1,1.0,17;108;30;?
1,1.0,116;50;60;?
1,1.0,182;6;143;?
1,1.0,61;22;23;?
1,1.0,50;28;151;?
1,1.0,17;13;6;?
2,1.0,25;6;7;?
1,1.0,17;4;23;?
1,1.0,17;50;20;?
2,1.0,26;13;6;?
1,1.0,4;60;182;?
2,1.0,25;26;13;?
1,1.0,92;60;181;?
1,1.0,50;6;7;?
2,1.0,26;21;7;?
1,1.0,9;2;21;?
4,1.0,9;13;55;?
1,1.0,17;116;22;?
1,1.0,41;34;108;?
1,1.0,9;2;13;?
9,0.78,92;4;22;?
4,0.75,50;28;55;?
38,0.74,28;61;23;?
11,0.73,25;2;143;?
25,0.72,182;22;7;?
21,0.71,4;60;36;?
198,0.7,2;4;55;?
19,0.68,25;116;108;?
3,0.67,41;108;13;?
3,0.67,20;30;182;?
6,0.67,25;92;143;?
3,0.67,34;116;23;?
3,0.67,63;20;23;?
3,0.67,36;13;30;?
40,0.65,36;116;28;?
14,0.64,50;61;23;?
81,0.63,25;50;26;?
8,0.63,50;11;13;?
8,0.63,34;4;21;?
41,0.63,36;28;30;?
131,0.62,41;22;182;?
37,0.62,36;4;182;?
26,0.62,9;2;28;?
217,0.61,17;34;116;?
107,0.61,50;92;26;?
170,0.6,8;25;143;?
173,0.6,34;182;30;?
5,0.6,2;116;7;?
5,0.6,50;92;125;?
37,0.59,92;116;7;?
108,0.58,41;108;28;?
12,0.58,17;50;55;?
35,0.57,28;182;30;?
9,0.56,25;34;30;?
9,0.56,17;11;28;?
56,0.55,25;26;22;?
29,0.55,4;13;182;?
110,0.55,21;182;63;?
89,0.54,28;21;181;?
17,0.53,25;2;23;?
2,0.5,41;13;22;?
2,0.5,17;26;6;?
2,0.5,25;20;182;?
2,0.5,13;22;7;?
4,0.5,13;182;7;?
24,0.5,8;25;20;?
2,0.5,41;50;108;?
12,0.5,26;27;21;?
2,0.5,116;20;22;?
6,0.5,50;116;22;?
2,0.5,26;2;22;?
2,0.5,17;4;55;?
62,0.5,17;4;13;?
2,0.5,34;2;30;?
2,0.5,36;182;63;?
29,0.48,56;17;21;?
17,0.47,17;26;22;?
13,0.46,162;2;22;?
22,0.45,25;4;182;?
42,0.45,25;182;6;?
12,0.42,17;108;41;?
52,0.42,17;28;151;?
5,0.4,26;13;7;?
8,0.38,25;2;4;?
25,0.36,41;50;34;?
25,0.36,17;2;11;?
3,0.33,8;50;20;?
3,0.33,50;21;125;?
12,0.33,25;2;116;?
7,0.29,27;21;13;?
7,0.29,8;34;182;?
7,0.29,50;92;30;23
22,0.27,41;2;17;?
8,0.25,2;22;7;?
8,0.25,50;92;162;?
4,0.25,2;34;182;23
5,0.2,41;50;13;?
16,0.13,116;13;182;?
13,0.08,92;36;63;?
5,0.0,25;28;30;?
1,0.0,8;60;63;?
1,0.0,17;26;7;?
2,0.0,8;50;23;?
2,0.0,17;50;36;?
1,0.0,17;50;116;?
3,0.0,8;25;23;?
3,0.0,36;92;182;23
1,0.0,56;50;21;13
1,0.0,8;25;6;?
2,0.0,34;92;21;63
1,0.0,25;2;60;?
2,0.0,26;27;13;?
1,0.0,9;50;4;?
1,0.0,25;182;41;?
2,0.0,2;182;143;?
1,0.0,26;12;21;?
1,0.0,108;30;182;?
1,0.0,8;50;143;?
2,0.0,25;116;13;?
1,0.0,28;60;61;?
2,0.0,25;182;143;?
1,0.0,21;182;143;?
1,0.0,41;23;25;?
1,0.0,92;21;55;?
1,0.0,41;28;17;?
1,0.0,92;21;151;?
1,0.0,17;13;61;?
1,0.0,8;25;50;?
1,0.0,25;4;22;?
1,0.0,17;2;108;13
1,0.0,8;50;13;182
1,0.0,8;182;23;?
1,0.0,2;13;162;?
2,0.0,28;182;63;?
1,0.0,25;28;4;?
1,0.0,182;6;21;?
1,0.0,8;25;7;?
1,0.0,41;60;20;?
