freq,items
0.42,29;27;1
0.4,12;27;214
0.47,29;214;27
0.47,12;214;27
0.47,29;27;27
0.55,29;12;214
0.4,29;21;22
0.4,29;12;23
0.49,12;214;23
0.5,29;214;23
0.52,29;12;27
0.45,12;27;23
0.49,29;27;214
0.56,29;27;23
