freq,items
0.45,20;75;28;?
0.53,29;25;166;?
0.47,14;25;166;?
0.47,14;75;29;25
0.55,20;14;75;?
0.44,20;29;63;?
0.52,14;75;8;?
0.45,20;75;2;?
0.41,75;212;25;?
0.61,14;29;17;?
0.46,14;25;8;?
0.45,20;8;166;?
0.42,75;25;166;?
0.41,14;75;25;166
0.48,20;14;25;?
0.41,20;22;170;?
0.43,14;75;29;17
0.47,75;88;212;?
0.54,14;88;212;?
0.44,20;75;63;?
0.51,14;29;63;?
0.47,14;29;2;?
0.41,14;75;8;166
0.44,14;29;25;63
0.48,20;29;8;?
0.56,14;75;212;?
0.53,20;75;8;?
0.42,29;17;25;?
0.41,14;75;12;?
0.42,20;75;12;?
0.54,29;25;63;?
0.43,14;29;26;?
0.43,14;29;8;166
0.47,20;14;75;29
0.46,14;75;88;?
0.41,88;212;25;?
0.5,14;25;17;?
0.43,25;8;166;?
0.43,20;25;8;?
0.47,20;75;88;212
0.46,14;75;88;212
0.44,20;75;29;17
0.62,14;75;25;?
0.41,29;25;8;166
0.43,29;63;8;?
0.45,20;25;166;?
0.43,14;29;25;166
0.49,20;75;29;25
0.41,14;75;26;?
0.42,14;75;166;?
0.46,20;12;212;?
0.43,14;75;2;?
0.55,14;75;17;?
0.41,20;14;212;?
0.47,29;17;8;?
0.43,14;29;25;8
0.44,75;29;17;?
0.41,14;18;170;?
0.49,75;29;25;?
0.42,20;75;25;166
0.4,14;17;8;?
0.47,14;12;212;?
0.43,20;14;29;25
0.54,20;29;17;?
0.41,14;212;25;?
0.43,14;75;63;?
0.41,20;75;25;17
0.55,14;29;8;?
0.42,20;75;26;?
0.57,20;75;212;?
0.41,14;29;18;?
0.6,20;75;29;?
0.4,20;18;170;?
0.44,14;29;166;?
0.4,14;29;22;?
0.46,14;28;212;?
0.44,29;215;152;?
0.48,14;25;63;?
0.53,20;88;212;?
0.46,14;29;25;17
0.45,20;28;212;?
0.42,20;14;17;?
0.45,29;18;170;?
0.41,20;212;25;?
0.59,20;29;25;?
0.41,28;88;212;?
0.42,75;8;166;?
0.52,20;14;29;?
0.47,14;8;166;?
0.43,20;25;63;?
0.54,29;8;166;?
0.56,29;25;17;?
0.46,29;22;170;?
0.45,20;14;75;25
0.42,20;75;8;166
0.44,14;75;28;?
0.46,20;25;17;?
0.41,20;75;18;?
0.63,20;75;25;?
0.58,14;75;29;?
0.43,20;75;166;?
0.41,20;75;212;25
0.47,20;75;88;?
0.42,14;22;170;?
0.68,14;29;25;?
0.41,75;25;17;?
0.53,29;25;8;?
0.42,20;29;2;?
0.56,20;75;17;?
