freq,items
0.5,25;21;8;?;?
0.55,29;26;21;?;?
0.53,29;63;17;?;?
0.49,26;21;116;?;?
0.49,25;63;8;116;?
0.47,25;21;8;116;?
0.43,11;29;17;?;?
0.43,25;17;26;?;?
0.49,63;21;8;?;?
0.61,29;63;21;116;?
0.49,29;63;21;8;?
0.41,25;63;3;149;?
0.43,11;29;63;?;?
0.46,17;3;2;?;?
0.53,29;63;149;?;?
0.52,17;3;149;?;?
0.47,29;25;63;21;116
0.46,29;26;8;116;?
0.44,17;26;21;?;?
0.41,26;3;2;?;?
0.47,25;26;172;?;?
0.46,63;21;8;116;?
0.63,29;63;116;?;?
0.44,25;63;3;?;?
0.41,25;17;2;?;?
0.45,29;17;63;?;?
0.46,29;25;21;8;116
0.5,26;8;116;?;?
0.62,63;8;116;?;?
0.69,29;25;17;?;?
0.41,25;63;2;149;?
0.72,29;25;63;?;?
0.46,25;17;8;116;?
0.41,25;26;8;?;?
0.46,17;21;8;116;?
0.62,29;25;116;?;?
0.48,29;25;63;8;116
0.53,25;63;8;?;?
0.41,29;26;172;21;?
0.62,17;8;116;?;?
0.46,29;63;21;8;116
0.45,63;26;172;?;?
0.59,29;17;26;?;?
0.44,25;63;2;?;?
0.48,29;17;1;?;?
0.55,25;17;21;?;?
0.43,11;29;25;?;?
0.42,182;29;63;?;?
0.48,29;25;17;8;?
0.4,29;25;63;3;149
0.52,29;63;3;149;?
0.52,29;21;8;?;?
0.67,29;63;8;?;?
0.62,17;21;116;?;?
0.45,29;26;21;116;?
0.43,20;21;116;?;?
0.62,29;25;8;116;?
0.43,29;25;51;?;?
0.45,29;25;26;172;?
0.52,29;25;63;8;?
0.45,29;63;26;172;?
0.5,29;17;172;?;?
0.75,29;25;21;?;?
0.4,29;63;17;21;?
0.41,29;25;63;149;?
0.45,25;17;21;116;?
0.6,29;17;21;116;?
0.45,17;3;2;149;?
0.44,26;172;21;?;?
0.4,63;17;21;?;?
0.49,17;21;8;?;?
0.53,29;25;149;?;?
0.43,29;63;51;?;?
0.49,29;21;8;116;?
0.42,182;29;17;?;?
0.41,26;172;8;?;?
0.5,29;26;8;?;?
0.41,29;172;8;?;?
0.48,29;17;21;8;?
0.46,25;17;116;?;?
0.6,29;63;26;?;?
0.43,29;25;26;21;?
0.47,25;3;2;?;?
0.5,25;17;8;?;?
0.43,29;63;26;21;?
0.45,29;63;3;2;149
0.49,29;63;1;?;?
0.51,29;17;2;149;?
0.65,29;21;116;?;?
0.52,63;3;149;?;?
0.61,29;25;21;116;?
0.55,29;25;3;?;?
0.49,21;8;116;?;?
0.55,29;2;149;?;?
0.54,29;17;2;?;?
0.45,29;26;2;?;?
0.44,20;8;116;?;?
0.45,25;3;2;149;?
0.47,25;63;26;?;?
0.51,29;25;2;149;?
0.46,29;25;63;26;?
0.45,63;3;2;149;?
0.52,17;2;149;?;?
0.42,29;17;51;?;?
0.49,29;3;2;?;?
0.44,29;25;3;2;149
0.56,29;63;3;?;?
0.56,29;25;2;?;?
0.46,26;3;149;?;?
0.47,3;2;149;?;?
0.52,29;25;3;149;?
0.43,29;172;21;?;?
0.45,29;17;21;8;116
0.45,17;26;172;?;?
0.49,29;25;63;17;?
0.44,29;25;17;8;116
0.48,29;25;63;116;?
0.47,29;3;2;149;?
0.43,29;25;63;2;?
0.44,29;25;17;21;116
0.52,63;2;149;?;?
0.47,63;3;2;?;?
0.67,29;25;8;?;?
0.42,29;26;3;149;?
0.55,29;3;149;?;?
0.42,29;25;17;26;?
0.42,182;29;25;?;?
0.62,29;63;8;116;?
0.51,29;17;3;149;?
0.49,25;63;116;?;?
0.44,29;17;26;172;?
0.45,29;25;17;116;?
0.47,29;63;3;2;?
0.52,29;63;2;149;?
0.5,25;63;17;?;?
0.61,29;17;8;116;?
0.56,29;26;172;?;?
0.42,29;26;2;149;?
0.66,29;8;116;?;?
0.53,29;25;17;21;?
0.43,29;26;149;?;?
0.61,29;25;26;?;?
0.49,29;25;21;8;?
0.43,63;26;21;?;?
0.62,25;21;116;?;?
0.54,29;17;3;?;?
0.75,29;63;21;?;?
0.53,25;3;149;?;?
0.66,29;17;8;?;?
0.56,29;63;2;?;?
0.73,29;17;21;?;?
0.63,25;8;116;?;?
0.61,63;21;116;?;?
0.45,29;26;3;?;?
0.41,25;17;3;?;?
0.42,25;63;149;?;?
0.59,25;63;21;?;?
0.46,29;17;3;2;?
0.52,25;2;149;?;?
0.43,29;25;63;3;?
0.62,29;17;116;?;?
0.44,29;17;3;2;149
0.45,25;26;21;?;?
0.46,26;2;149;?;?
0.51,29;25;172;?;?
0.58,29;25;63;21;?
0.48,25;63;21;116;?
0.46,29;25;3;2;?
0.42,29;17;26;21;?
0.52,29;17;149;?;?
0.51,29;63;172;?;?
0.47,29;26;116;?;?
0.49,29;25;1;?;?
