total,winfreq,items
2,1.0,25;58;36;?;?
1,1.0,17;34;21;79;?
1,1.0,1;77;22;?;?
1,1.0,25;27;59;?;?
3,1.0,25;58;34;?;?
1,1.0,25;59;94;?;?
1,1.0,1;36;15;?;?
1,1.0,34;61;79;?;?
1,1.0,58;108;34;?;?
2,1.0,58;4;22;?;?
1,1.0,129;20;23;?;?
1,1.0,58;59;36;?;?
1,1.0,108;77;86;?;?
2,1.0,58;108;61;?;?
1,1.0,17;36;21;4;?
1,1.0,180;36;94;60;?
1,1.0,25;58;20;?;?
1,1.0,17;34;60;4;?
1,1.0,25;4;61;?;?
2,1.0,17;20;94;22;?
6,1.0,108;20;231;?;?
2,1.0,25;58;61;?;?
1,1.0,36;94;15;?;?
7,0.86,58;21;94;?;?
42,0.83,58;61;94;?;?
5,0.8,61;94;63;?;?
10,0.8,79;61;23;?;?
14,0.79,23;180;15;?;?
155,0.78,58;59;108;?;?
40,0.78,20;4;61;?;?
9,0.78,25;36;4;108;?
13,0.77,129;27;20;?;?
148,0.77,34;23;231;?;?
8,0.75,108;34;27;180;?
140,0.74,36;61;22;?;?
87,0.74,58;36;94;?;?
168,0.73,34;59;61;?;?
386,0.72,94;61;22;?;?
7,0.71,59;61;86;?;?
10,0.7,25;20;61;?;?
10,0.7,27;28;23;?;?
481,0.68,1;108;36;?;?
3,0.67,25;58;108;?;?
15,0.67,60;61;79;?;?
3,0.67,1;77;21;?;?
6,0.67,58;27;23;?;?
3,0.67,94;77;22;?;?
3,0.67,104;34;63;?;?
3,0.67,59;77;21;?;?
3,0.67,34;58;94;?;?
38,0.66,58;94;63;?;?
249,0.66,1;60;63;?;?
62,0.66,104;108;63;?;?
11,0.64,58;59;94;?;?
14,0.64,1;34;22;?;?
8,0.63,25;36;22;94;?
49,0.63,59;108;77;?;?
13,0.62,27;21;61;?;?
214,0.62,104;17;34;?;?
18,0.61,4;61;22;?;?
10,0.6,1;20;63;?;?
78,0.6,108;180;36;?;?
35,0.6,58;36;23;?;?
10,0.6,34;59;77;?;?
46,0.59,25;59;4;?;?
149,0.59,108;77;94;?;?
264,0.58,4;36;15;?;?
86,0.58,4;77;63;?;?
46,0.57,1;60;77;?;?
7,0.57,108;4;77;?;?
75,0.57,59;86;15;?;?
7,0.57,1;36;77;?;?
25,0.56,59;36;77;?;?
39,0.56,34;20;231;?;?
44,0.55,17;60;61;?;?
147,0.53,36;86;63;?;?
15,0.53,20;58;4;?;?
17,0.53,58;60;63;?;?
47,0.51,28;27;60;?;?
35,0.51,20;27;28;?;?
10,0.5,17;34;108;79;?
2,0.5,25;20;21;79;?
2,0.5,27;36;77;?;?
2,0.5,25;4;15;?;?
4,0.5,25;58;4;?;?
2,0.5,36;180;21;86;?
2,0.5,25;34;1;?;?
4,0.5,25;59;21;?;?
2,0.5,59;36;94;22;?
2,0.5,1;108;15;?;?
4,0.5,60;20;231;?;?
2,0.5,58;27;61;?;?
2,0.5,25;61;86;?;?
10,0.5,34;21;231;?;?
96,0.48,28;60;20;?;?
36,0.44,104;34;60;?;?
7,0.43,104;17;60;?;?
5,0.4,17;77;94;?;?
5,0.4,58;20;61;?;?
47,0.4,17;34;77;?;?
10,0.4,60;180;15;?;?
24,0.38,17;94;15;?;?
3,0.33,17;4;94;36;?
3,0.33,36;61;23;?;?
3,0.33,1;21;63;?;?
3,0.33,25;34;94;22;?
3,0.33,1;60;25;?;?
3,0.33,34;79;15;?;?
3,0.33,17;36;86;?;?
10,0.3,1;36;63;?;?
7,0.29,27;36;21;63;?
7,0.29,20;28;23;?;?
4,0.25,60;77;79;?;?
4,0.25,27;180;15;?;?
4,0.25,1;60;36;?;?
4,0.25,25;61;23;?;?
1,0.0,180;27;36;21;?
1,0.0,17;27;36;23;?
2,0.0,1;36;23;?;?
1,0.0,59;4;77;?;?
1,0.0,34;180;94;22;?
2,0.0,25;36;77;?;?
1,0.0,36;77;94;?;?
4,0.0,63;27;15;?;?
8,0.0,104;25;21;?;?
1,0.0,180;36;4;23;?
2,0.0,60;27;36;63;?
1,0.0,17;4;77;?;?
3,0.0,58;20;63;?;?
1,0.0,1;34;21;?;?
1,0.0,60;61;86;?;?
1,0.0,25;58;23;?;?
3,0.0,58;94;23;?;?
1,0.0,58;4;61;?;?
1,0.0,58;4;94;?;?
6,0.0,180;23;36;79;?
1,0.0,129;27;22;?;?
1,0.0,25;27;4;20;108
1,0.0,17;36;21;94;?
1,0.0,59;60;61;94;?
1,0.0,20;21;231;?;?
2,0.0,25;34;4;22;?
1,0.0,25;77;1;?;?
1,0.0,58;27;36;?;?
1,0.0,34;4;77;?;?
1,0.0,25;59;15;?;?
3,0.0,104;34;21;?;?
1,0.0,36;4;94;63;?
1,0.0,25;58;21;?;?
2,0.0,1;36;21;?;?
1,0.0,60;61;63;?;?
1,0.0,17;36;15;?;?
1,0.0,59;4;61;94;?
