total,winfreq,items
1,1.0,36;28;22;?
2,1.0,180;27;28;60
1,1.0,12;27;60;?
1,1.0,28;21;13;?
1,1.0,36;108;94;?
1,1.0,17;60;20;?
1,1.0,57;59;21;?
1,1.0,13;94;21;?
1,1.0,57;59;23;?
1,1.0,27;59;36;22
1,1.0,28;27;12;23
1,1.0,34;27;12;?
7,0.86,73;34;22;?
7,0.86,17;60;21;?
17,0.82,60;61;23;?
5,0.8,180;34;27;108
9,0.78,180;28;36;?
4,0.75,73;27;59;?
7,0.71,15;27;23;?
7,0.71,59;28;94;?
7,0.71,57;59;20;?
20,0.7,12;27;108;?
22,0.68,57;20;22;?
3,0.67,20;108;79;?
3,0.67,180;34;108;13
3,0.67,20;28;4;?
56,0.66,34;12;21;?
88,0.64,4;28;94;?
8,0.63,17;20;23;?
58,0.62,27;77;22;?
47,0.6,34;108;15;?
5,0.6,108;13;94;?
9,0.56,34;23;79;?
29,0.55,59;28;13;?
123,0.54,36;21;13;?
33,0.52,34;22;79;?
62,0.52,57;180;23;?
2,0.5,231;20;23;?
10,0.5,28;34;12;?
10,0.5,178;21;23;?
32,0.5,108;180;15;?
46,0.46,59;13;79;?
34,0.41,23;36;15;?
123,0.39,25;23;17;?
16,0.38,27;59;15;?
3,0.33,34;60;94;?
3,0.33,34;180;77;?
6,0.33,180;28;22;?
4,0.25,34;21;79;?
4,0.25,57;59;60;?
7,0.14,20;12;22;?
1,0.0,17;20;21;?
1,0.0,27;12;21;?
1,0.0,20;13;86;?
1,0.0,108;28;12;?
1,0.0,36;108;86;?
1,0.0,27;36;13;?
1,0.0,34;27;13;?
1,0.0,36;59;60;28
1,0.0,73;34;60;?
1,0.0,57;60;20;?
1,0.0,34;27;15;?
1,0.0,180;77;22;?
1,0.0,34;4;13;?
