freq,items
0.46,29;8;51;?;?;?
0.44,29;63;1;?;?;?
0.52,29;63;8;?;?;?
0.41,14;75;29;168;?;?
0.42,20;41;8;8;168;?
0.42,41;8;8;8;?;?
0.44,41;17;168;?;?;?
0.48,29;25;168;?;?;?
0.44,17;63;8;?;?;?
0.41,75;29;168;?;?;?
0.44,41;8;51;?;?;?
0.61,41;29;2;?;?;?
0.4,14;41;8;168;?;?
0.42,20;75;41;?;?;?
0.41,41;1;51;?;?;?
0.46,29;25;63;8;8;?
0.43,20;14;75;8;8;168
0.41,8;168;149;?;?;?
0.47,29;25;17;?;?;?
0.43,20;41;29;8;8;?
0.41,20;41;29;1;?;?
0.52,29;17;8;?;?;?
0.84,41;29;8;?;?;?
0.44,14;75;8;8;168;?
0.41,29;8;1;?;?;?
0.53,41;29;1;8;?;?
0.41,20;14;41;29;?;?
0.44,41;29;63;8;168;?
0.41,14;75;29;8;168;?
0.42,29;25;17;8;?;?
0.52,20;14;75;?;?;?
0.48,20;75;168;?;?;?
0.41,29;8;168;2;?;?
0.47,29;17;63;?;?;?
0.4,168;3;149;?;?;?
0.48,75;8;8;?;?;?
0.47,41;29;63;8;?;?
0.43,20;14;29;8;?;?
0.4,8;8;2;149;?;?
0.51,14;75;8;?;?;?
0.42,41;29;8;168;21;?
0.43,41;29;25;63;168;?
0.51,20;75;8;?;?;?
0.46,29;25;63;8;168;?
0.42,14;75;41;?;?;?
0.4,20;14;75;29;8;8
0.74,41;29;1;?;?;?
0.44,29;17;8;8;168;?
0.41,41;29;63;8;8;168
0.43,34;8;8;?;?;?
0.43,41;8;168;51;?;?
0.43,41;29;8;8;21;?
0.41,14;75;29;8;8;?
0.43,14;41;29;?;?;?
0.46,20;14;75;168;?;?
0.41,29;168;149;?;?;?
0.47,29;17;8;8;?;?
0.5,20;29;168;?;?;?
0.5,25;63;8;?;?;?
0.49,41;29;25;63;?;?
0.41,14;41;29;8;?;?
0.82,41;8;168;?;?;?
0.46,29;25;63;168;?;?
0.87,29;8;8;?;?;?
0.44,41;8;168;21;?;?
0.4,20;75;41;29;?;?
0.43,41;25;17;?;?;?
0.74,41;29;8;8;168;?
0.47,41;8;21;?;?;?
0.43,29;17;1;?;?;?
0.45,25;8;8;168;?;?
0.41,29;8;8;149;?;?
0.46,14;29;8;?;?;?
0.48,20;41;8;?;?;?
0.46,20;14;29;?;?;?
0.43,29;3;149;?;?;?
0.48,20;41;29;?;?;?
0.41,29;8;168;149;?;?
0.46,8;168;21;?;?;?
0.4,14;75;41;8;?;?
0.45,29;168;51;?;?;?
0.46,14;8;8;168;?;?
0.4,41;8;8;168;51;?
0.44,20;1;8;?;?;?
0.45,29;8;8;51;?;?
0.77,41;8;8;168;?;?
0.45,41;63;168;?;?;?
0.45,29;8;168;51;?;?
0.46,20;14;75;29;?;?
0.45,41;63;8;168;?;?
0.43,41;29;8;51;?;?
0.41,29;8;8;3;?;?
0.7,20;8;8;?;?;?
0.4,41;3;149;?;?;?
0.51,41;29;25;?;?;?
0.45,41;25;168;?;?;?
0.4,29;36;8;?;?;?
0.43,29;2;149;?;?;?
0.42,20;14;41;?;?;?
0.46,25;63;8;168;?;?
0.48,14;75;168;?;?;?
0.43,20;41;29;168;?;?
0.4,29;8;168;3;149;?
0.41,41;63;1;?;?;?
0.55,41;1;8;?;?;?
0.4,20;36;168;?;?;?
0.4,41;29;116;?;?;?
0.42,29;1;51;?;?;?
0.4,75;41;8;?;?;?
0.42,29;8;149;?;?;?
0.42,41;29;168;51;?;?
0.79,41;29;168;?;?;?
0.5,29;25;63;8;?;?
0.4,41;20;8;?;?;?
0.48,20;75;8;8;?;?
0.46,20;14;75;8;168;?
0.44,41;29;17;63;?;?
0.46,29;168;21;?;?;?
0.43,29;25;63;8;8;168
0.41,20;14;75;41;?;?
0.49,29;8;21;?;?;?
0.44,41;25;63;168;?;?
0.42,29;3;2;?;?;?
0.41,29;8;2;149;?;?
0.47,17;8;168;?;?;?
0.44,41;17;8;8;?;?
0.4,75;41;29;?;?;?
0.54,20;29;8;?;?;?
0.44,29;8;8;168;21;?
0.4,29;168;3;149;?;?
0.44,8;168;8;?;?;?
0.51,41;25;63;?;?;?
0.43,20;41;1;?;?;?
0.48,29;63;8;8;?;?
0.44,41;29;25;8;8;?
0.46,29;8;8;21;?;?
0.58,29;1;8;?;?;?
0.45,20;41;8;168;?;?
0.43,25;63;1;?;?;?
0.43,41;29;17;8;168;?
0.43,75;29;8;?;?;?
0.45,41;25;8;168;?;?
0.4,20;36;8;168;?;?
0.42,41;17;63;8;?;?
0.47,41;29;17;8;?;?
0.41,20;34;8;?;?;?
0.51,20;29;8;8;?;?
0.4,20;14;75;29;168;?
0.45,29;25;8;8;168;?
0.42,41;8;116;?;?;?
0.4,41;29;8;116;?;?
0.46,20;14;75;8;8;?
0.45,41;17;63;?;?;?
0.46,41;29;25;63;8;?
0.64,20;8;8;168;?;?
0.45,8;8;51;?;?;?
0.46,25;63;168;?;?;?
0.47,20;14;8;8;?;?
0.43,14;75;29;8;?;?
0.41,17;63;168;?;?;?
0.41,41;2;149;?;?;?
0.42,41;29;8;168;51;?
0.45,20;41;8;8;?;?
0.44,41;29;25;8;168;?
