freq,items
0.48,29;28;61;?
0.45,27;28;121;?
0.52,28;178;121;?
0.42,29;28;61;129
0.46,27;178;129;?
0.62,29;180;59;?
0.41,29;180;60;129
0.42,20;27;178;?
0.48,29;27;178;121
0.44,180;59;60;?
0.41,20;28;178;?
0.46,29;59;129;121
0.41,20;29;59;?
0.41,180;61;129;?
0.42,29;178;129;?
0.52,60;129;121;?
0.55,29;60;121;?
0.44,20;60;129;?
0.48,60;61;121;?
0.49,29;180;60;?
0.46,28;129;121;?
0.44,29;27;61;?
0.4,60;61;129;121
0.55,29;61;121;?
0.44,28;60;129;?
0.51,29;178;121;?
0.44,28;178;129;?
0.41,178;61;129;?
0.42,29;59;60;61
0.42,28;60;61;?
0.4,180;129;121;?
0.5,29;59;28;?
0.43,29;27;28;178
0.56,29;28;178;?
0.42,29;178;60;?
0.46,27;28;178;?
0.43,29;59;27;?
0.43,59;61;121;?
0.62,29;60;129;?
0.53,27;178;121;?
0.59,29;59;60;?
0.41,29;59;61;121
0.47,29;180;61;?
0.51,60;61;129;?
0.45,29;59;60;129
0.47,59;60;129;?
0.45,29;27;60;?
0.41,29;178;61;?
0.42,28;61;121;?
0.44,29;180;59;60
0.41,180;59;129;?
0.42,20;61;129;?
0.57,29;59;129;?
0.52,29;60;129;121
0.47,59;61;129;?
0.46,27;178;60;?
0.42,20;60;61;?
0.47,29;60;61;121
0.45,29;59;61;129
0.51,29;28;60;?
0.59,29;60;61;?
0.41,59;60;121;?
0.51,29;60;61;129
0.43,27;61;129;?
0.56,29;27;178;?
0.41,180;59;61;?
0.55,29;59;61;?
0.48,61;129;121;?
0.4,29;180;59;129
0.45,28;178;60;?
0.51,29;27;28;?
0.44,59;60;61;?
0.45,29;180;129;?
0.42,180;60;129;?
0.46,28;61;129;?
0.56,29;129;121;?
0.49,59;129;121;?
0.4,29;28;59;?
0.48,29;61;129;121
0.44,28;178;61;?
0.41,29;28;129;121
0.51,29;28;121;?
0.44,27;129;121;?
0.58,29;61;129;?
0.48,29;28;129;?
0.44,29;27;129;?
0.42,178;129;121;?
0.45,27;178;61;?
0.41,29;27;28;121
0.41,29;180;59;61
0.47,29;28;178;121
0.5,29;27;121;?
0.54,29;59;121;?
0.45,29;180;28;?
