total,winfreq,items
1,1.0,58;4;61;?;?;?
1,1.0,9;20;23;?;?;?
1,1.0,48;9;23;?;?;?
3,1.0,48;9;21;?;?;?
1,1.0,121;20;182;127;?;?
1,1.0,36;60;119;?;?;?
1,1.0,9;36;23;?;?;?
1,1.0,48;58;108;34;?;?
1,1.0,3;20;21;?;?;?
2,1.0,20;182;119;?;?;?
2,1.0,9;58;22;?;?;?
1,1.0,9;58;36;182;60;?
133,0.8,48;20;119;?;?;?
10,0.8,48;9;22;?;?;?
9,0.78,178;235;23;?;?;?
7,0.71,48;9;34;?;?;?
24,0.71,48;182;119;?;?;?
145,0.7,34;27;235;?;?;?
44,0.7,235;182;23;?;?;?
27,0.7,61;21;119;?;?;?
48,0.67,48;21;119;?;?;?
3,0.67,235;21;182;?;?;?
48,0.67,48;36;178;108;182;?
154,0.64,4;58;60;?;?;?
11,0.64,121;58;36;108;?;?
78,0.55,27;36;119;?;?;?
263,0.53,129;21;127;?;?;?
21,0.52,9;34;21;?;?;?
134,0.51,121;36;1;?;?;?
2,0.5,21;182;127;?;?;?
6,0.5,1;20;61;182;?;?
2,0.5,9;58;182;23;?;?
2,0.5,121;19;180;182;36;?
24,0.5,9;108;36;?;?;?
6,0.5,9;108;182;?;?;?
271,0.47,41;27;60;?;?;?
11,0.45,121;4;23;?;?;?
5,0.4,58;4;34;?;?;?
66,0.36,121;36;182;127;?;?
6,0.33,41;60;61;?;?;?
13,0.31,19;180;23;?;?;?
23,0.26,19;27;23;?;?;?
4,0.25,129;19;21;?;?;?
33,0.24,34;4;21;?;?;?
5,0.2,34;235;182;?;?;?
8,0.13,1;178;180;182;36;?
1,0.0,9;21;182;23;?;?
1,0.0,48;58;36;23;?;?
1,0.0,48;58;36;21;?;?
4,0.0,1;60;182;36;?;?
7,0.0,41;59;61;?;?;?
1,0.0,129;27;36;182;127;?
2,0.0,121;19;36;182;4;?
3,0.0,34;19;21;?;?;?
1,0.0,180;3;20;182;121;?
2,0.0,129;127;180;182;36;?
3,0.0,36;182;27;60;61;127
