total,winfreq,items
1,1.0,1;23;60;77;36
1,1.0,20;28;21;?;?
1,1.0,36;58;28;?;?
1,1.0,48;34;23;?;?
3,1.0,25;69;23;?;?
1,1.0,24;34;58;23;?
1,1.0,41;60;77;36;?
1,1.0,24;1;36;77;23
1,1.0,1;204;57;?;?
1,1.0,1;41;69;23;?
1,1.0,34;77;22;?;?
1,1.0,123;20;63;?;?
1,1.0,202;28;63;?;?
5,0.8,28;60;63;?;?
8,0.75,58;100;15;?;?
4,0.75,48;1;34;?;?
8,0.75,48;57;20;?;?
26,0.73,48;34;15;?;?
20,0.7,100;58;36;?;?
13,0.69,58;36;77;?;?
128,0.68,36;69;23;?;?
37,0.68,48;57;15;?;?
3,0.67,41;60;36;17;?
3,0.67,24;58;100;?;?
15,0.67,48;41;77;23;?
62,0.66,57;34;204;?;?
55,0.65,34;204;63;?;?
5,0.6,56;34;23;?;?
19,0.58,28;60;15;?;?
157,0.55,96;41;23;?;?
13,0.54,1;123;41;?;?
47,0.53,56;41;36;?;?
29,0.52,100;60;63;?;?
68,0.51,25;108;15;?;?
2,0.5,57;202;28;?;?
10,0.5,57;204;41;?;?
2,0.5,41;202;28;?;?
4,0.5,17;58;77;23;?
2,0.5,41;100;201;?;?
6,0.5,57;28;21;?;?
6,0.5,25;36;22;?;?
96,0.5,104;25;100;?;?
19,0.47,41;34;108;?;?
75,0.47,60;100;77;?;?
13,0.46,24;25;58;36;?
38,0.45,56;17;77;?;?
7,0.43,56;77;23;?;?
31,0.42,96;1;77;?;?
19,0.37,24;34;100;?;?
3,0.33,41;17;21;77;?
3,0.33,56;24;36;?;?
6,0.33,36;100;60;?;?
3,0.33,41;58;100;?;?
10,0.3,34;203;63;?;?
21,0.29,104;34;28;?;?
4,0.25,57;34;21;?;?
5,0.2,36;204;41;?;?
6,0.17,28;21;63;?;?
8,0.13,1;202;36;17;?
12,0.08,57;21;15;?;?
1,0.0,34;108;77;?;?
2,0.0,25;58;28;?;?
1,0.0,41;108;57;?;?
1,0.0,24;17;36;77;?
1,0.0,104;17;28;?;?
1,0.0,28;34;60;?;?
1,0.0,24;17;36;15;?
1,0.0,41;77;69;?;?
1,0.0,57;34;201;?;?
2,0.0,24;41;58;36;?
1,0.0,24;41;100;17;?
1,0.0,17;15;21;23;?
1,0.0,17;202;57;?;?
1,0.0,24;41;34;15;23
1,0.0,56;41;25;15;?
1,0.0,56;1;63;23;?
1,0.0,17;34;21;?;?
1,0.0,17;203;36;?;?
1,0.0,48;57;23;?;?
2,0.0,57;58;36;17;?
2,0.0,34;21;77;?;?
2,0.0,57;201;1;41;17
4,0.0,24;28;77;?;?
