freq,items
0.43,54;22;170;?;?
0.5,54;137;22;?;?
0.51,11;29;170;?;?
0.43,29;22;170;147;?
0.42,54;137;22;170;?
0.47,182;29;22;170;?
0.61,11;54;137;?;?
0.42,182;54;137;22;?
0.41,54;22;18;?;?
0.44,29;22;147;?;?
0.51,11;18;170;?;?
0.43,182;54;22;?;?
0.44,11;29;19;?;?
0.4,11;29;24;?;?
0.42,18;170;147;?;?
0.4,182;29;17;?;?
0.41,29;2;50;?;?
0.42,29;137;170;?;?
0.42,54;18;170;?;?
0.4,29;54;137;170;?
0.45,11;137;22;?;?
0.66,29;54;137;?;?
0.47,11;22;18;170;?
0.48,29;54;22;?;?
0.58,29;22;18;?;?
0.5,182;22;18;?;?
0.59,182;29;22;?;?
0.43,54;137;170;?;?
0.47,182;29;170;?;?
0.54,22;18;170;?;?
0.42,182;29;22;18;170
0.42,137;18;170;?;?
0.43,54;137;18;?;?
0.49,11;29;18;170;?
0.43,29;25;63;?;?
0.41,29;22;22;?;?
0.54,182;29;137;?;?
0.42,29;137;18;?;?
0.5,11;22;18;?;?
0.41,29;54;170;?;?
0.6,182;54;137;?;?
0.44,11;54;137;22;?
0.43,137;22;170;?;?
0.4,182;29;19;?;?
0.42,11;29;63;?;?
0.55,182;29;54;?;?
0.4,29;54;137;18;?
0.41,137;22;18;?;?
0.52,182;29;54;137;?
0.4,11;182;29;?;?
0.56,11;29;137;?;?
0.4,11;29;137;22;?
0.45,11;29;17;?;?
0.41,29;24;147;?;?
0.4,54;137;22;18;?
0.43,182;137;22;?;?
0.5,182;18;170;?;?
0.41,22;18;147;?;?
0.52,11;29;18;?;?
0.47,11;29;22;18;?
0.41,29;54;18;?;?
0.64,11;29;22;?;?
0.47,29;54;137;22;?
0.41,29;2;2;?;?
0.57,11;29;54;?;?
0.49,29;137;22;?;?
0.45,11;54;22;?;?
0.42,29;18;170;147;?
0.47,182;22;18;170;?
0.45,182;29;18;170;?
0.51,182;29;61;?;?
0.42,29;22;24;?;?
0.52,182;22;170;?;?
0.44,29;170;147;?;?
0.53,11;22;170;?;?
0.61,29;22;170;?;?
0.44,29;18;147;?;?
0.43,22;170;147;?;?
0.54,11;29;54;137;?
0.48,182;29;18;?;?
0.4,29;54;22;170;?
0.41,29;22;18;147;?
0.45,11;29;22;18;170
0.41,29;137;22;170;?
0.42,11;29;25;?;?
0.5,11;29;22;170;?
0.56,11;29;61;?;?
0.41,54;137;18;170;?
0.59,29;18;170;?;?
0.54,29;22;18;170;?
0.44,182;29;22;18;?
