total,winfreq,items
1,1.0,25;69;182;?;?
1,1.0,56;41;180;102;20
1,1.0,41;34;59;110;?
1,1.0,41;27;180;69;182
4,1.0,20;110;182;?;?
2,1.0,27;180;110;182;?
10,0.8,34;182;110;?;?
74,0.76,41;180;110;36;?
4,0.75,41;59;182;102;57
118,0.73,41;110;182;?;?
212,0.72,1;58;59;?;?
184,0.71,36;110;182;?;?
3,0.67,56;20;102;182;?
26,0.65,59;102;110;182;?
5,0.6,17;36;182;?;?
7,0.57,41;34;27;110;?
69,0.57,9;59;41;?;?
97,0.56,41;17;57;?;?
303,0.54,1;116;41;?;?
46,0.54,20;69;63;?;?
179,0.53,56;17;34;?;?
58,0.53,180;21;23;?;?
23,0.52,59;36;102;110;?
2,0.5,56;180;20;182;?
2,0.5,25;34;182;?;?
4,0.5,41;59;20;110;?
2,0.5,41;182;17;?;?
35,0.49,20;69;102;182;?
146,0.46,1;5;41;?;?
28,0.46,41;11;57;?;?
35,0.43,41;182;63;?;?
96,0.41,25;36;182;?;?
5,0.4,25;57;41;?;?
5,0.4,57;59;36;182;?
26,0.38,56;34;59;182;?
26,0.35,17;20;182;?;?
57,0.35,41;34;25;?;?
6,0.33,8;41;59;?;?
3,0.33,41;59;20;69;102
6,0.33,20;180;182;57;?
3,0.33,41;36;110;23;?
24,0.33,1;69;63;?;?
6,0.33,56;41;34;182;?
53,0.3,41;21;23;?;?
69,0.29,180;27;20;182;41
27,0.26,41;102;182;69;?
9,0.22,27;59;21;?;?
5,0.2,41;20;110;23;?
25,0.2,56;41;27;180;36
6,0.17,34;182;63;?;?
6,0.17,57;36;180;41;23
16,0.13,41;180;21;?;?
1,0.0,56;41;59;102;182
1,0.0,41;23;180;182;36
4,0.0,57;36;17;?;?
1,0.0,41;34;180;69;102
3,0.0,25;182;41;?;?
1,0.0,41;34;17;?;?
1,0.0,56;41;11;?;?
1,0.0,23;41;59;182;57
1,0.0,180;27;36;110;?
1,0.0,41;180;69;20;23
1,0.0,57;27;20;182;?
2,0.0,41;34;59;102;182
2,0.0,56;41;63;?;?
