total,winfreq,items
5,1.0,20;60;13;?
1,1.0,8;34;12;21
1,1.0,8;1;12;?
1,1.0,34;102;215;?
1,1.0,34;22;31;?
5,1.0,36;60;13;?
1,1.0,36;102;215;?
1,1.0,36;22;31;?
1,1.0,31;102;214;215
1,1.0,108;20;215;?
5,1.0,31;28;23;?
1,1.0,8;1;27;?
26,0.85,1;21;13;?
6,0.83,12;34;28;23
22,0.82,60;13;214;23
5,0.8,12;215;36;1
51,0.78,8;34;23;?
15,0.73,1;34;60;?
86,0.73,1;20;22;?
64,0.73,8;21;214;23
461,0.71,1;108;215;?
7,0.71,1;60;20;?
276,0.7,8;1;214;?
147,0.69,34;28;254;?
28,0.68,108;34;12;20
6,0.67,73;34;23;?
3,0.67,1;108;31;?
6,0.67,8;20;23;?
3,0.67,8;27;215;?
3,0.67,27;36;22;23
3,0.67,1;13;31;?
467,0.66,8;21;215;?
569,0.66,36;21;13;?
312,0.65,1;13;215;?
8,0.63,34;108;215;?
8,0.63,28;13;215;?
289,0.63,12;254;102;?
132,0.62,73;21;1;?
120,0.61,1;36;13;?
135,0.61,60;36;215;?
5,0.6,8;215;23;?
5,0.6,73;23;215;?
5,0.6,73;34;254;?
35,0.6,1;254;23;?
224,0.58,28;13;254;?
42,0.57,1;36;23;?
164,0.57,73;36;215;?
7,0.57,73;23;31;?
104,0.56,1;36;254;?
20,0.55,1;254;22;?
44,0.55,28;254;23;?
56,0.54,73;21;215;?
48,0.54,73;36;23;?
13,0.54,215;28;214;23
68,0.53,36;28;23;?
33,0.52,1;13;23;?
48,0.52,20;116;214;?
12,0.5,34;21;13;?
2,0.5,1;34;13;?
10,0.5,34;28;215;?
6,0.5,8;1;23;?
14,0.5,34;102;31;?
2,0.5,34;28;13;214
2,0.5,8;1;34;?
2,0.5,1;60;13;?
2,0.5,1;12;21;215
6,0.5,8;1;215;?
4,0.5,8;34;20;21
23,0.48,1;60;31;?
23,0.48,73;21;23;?
11,0.45,1;60;36;?
18,0.44,28;20;13;23
17,0.41,31;13;21;?
5,0.4,28;20;31;?
8,0.38,8;1;20;?
16,0.38,1;21;31;?
8,0.38,1;36;21;?
3,0.33,1;34;12;23
6,0.33,34;28;31;?
3,0.33,215;21;13;?
13,0.31,36;28;13;214
16,0.31,60;20;31;?
4,0.25,73;34;1;?
9,0.22,254;36;21;214
5,0.2,8;34;21;214
1,0.0,1;60;215;?
3,0.0,28;13;31;?
1,0.0,34;23;21;215
1,0.0,27;36;21;254
2,0.0,1;31;12;36
1,0.0,1;27;36;31
1,0.0,1;34;27;23
4,0.0,73;34;31;?
2,0.0,34;60;215;?
