freq,items
0.45,29;27;4;79;?
0.41,12;4;79;?;?
0.45,12;214;60;?;?
0.52,29;27;94;?;?
0.47,29;12;27;?;?
0.42,27;21;22;?;?
0.48,29;94;79;?;?
0.44,27;27;94;?;?
0.48,27;4;79;?;?
0.41,27;23;108;?;?
0.49,27;94;79;?;?
0.42,214;27;94;?;?
0.62,12;214;23;?;?
0.56,29;27;27;?;?
0.42,12;27;60;?;?
0.42,29;60;108;?;?
0.49,27;4;86;?;?
0.43,12;214;4;?;?
0.46,29;27;4;86;?
0.59,29;214;23;?;?
0.5,29;12;214;?;?
0.43,29;214;60;?;?
0.5,29;4;86;?;?
0.49,29;27;214;?;?
0.47,29;27;60;?;?
0.44,12;214;21;?;?
0.4,12;27;21;?;?
0.45,29;27;21;?;?
0.47,27;4;86;79;?
0.4,12;94;79;?;?
0.41,12;214;86;?;?
0.44,12;27;94;?;?
0.64,29;27;23;?;?
0.41,29;214;21;?;?
0.43,214;27;23;?;?
0.43,12;27;4;?;?
0.41,12;214;27;94;?
0.43,29;23;108;?;?
0.43,12;27;214;?;?
0.49,29;4;79;?;?
0.41,29;214;27;23;?
0.49,4;86;79;?;?
0.48,29;27;86;?;?
0.41,29;27;22;?;?
0.5,29;27;4;?;?
0.46,29;27;86;79;?
0.41,29;60;23;?;?
0.4,214;4;86;?;?
0.41,27;21;108;?;?
0.4,12;27;94;79;?
0.48,29;27;79;?;?
0.51,12;27;27;?;?
0.41,12;27;86;?;?
0.47,29;27;94;79;?
0.43,29;21;108;?;?
0.4,29;60;22;?;?
0.41,12;86;79;?;?
0.41,12;27;79;?;?
0.42,12;214;94;?;?
0.65,12;214;27;?;?
0.42,12;4;86;?;?
0.44,29;23;22;?;?
0.41,27;27;79;?;?
0.44,29;27;4;86;79
0.42,27;23;22;?;?
0.43,27;214;23;?;?
0.5,29;86;79;?;?
0.48,29;4;86;79;?
0.49,27;86;79;?;?
0.43,12;214;27;23;?
0.41,29;214;4;?;?
0.63,29;214;27;?;?
0.44,29;21;22;?;?
0.58,12;27;23;?;?
