freq,items
0.41,22;170;147;?;?;?
0.41,63;25;18;170;?;?
0.41,29;170;147;?;?;?
0.42,63;17;18;?;?;?
0.67,29;25;170;?;?;?
0.43,29;63;25;18;?;?
0.52,25;17;22;170;?;?
0.44,29;25;6;18;?;?
0.41,29;63;6;22;170;?
0.72,29;25;63;?;?;?
0.55,29;63;151;?;?;?
0.51,20;18;170;?;?;?
0.46,20;6;151;?;?;?
0.53,25;63;22;?;?;?
0.44,20;73;25;?;?;?
0.47,29;6;18;170;?;?
0.63,17;18;170;?;?;?
0.43,29;151;18;?;?;?
0.66,29;18;170;?;?;?
0.4,13;25;18;?;?;?
0.4,29;6;151;170;?;?
0.45,17;25;2;151;?;?
0.63,29;63;18;170;?;?
0.59,25;22;18;?;?;?
0.65,25;18;170;?;?;?
0.4,25;63;21;?;?;?
0.44,63;25;2;151;?;?
0.44,29;19;185;?;?;?
0.51,29;17;21;?;?;?
0.53,29;63;21;?;?;?
0.66,29;17;25;?;?;?
0.46,20;25;6;?;?;?
0.49,6;25;151;?;?;?
0.4,25;25;2;151;?;?
0.49,29;63;6;151;?;?
0.76,29;25;17;?;?;?
0.42,13;73;18;?;?;?
0.68,29;25;18;?;?;?
0.5,29;6;18;?;?;?
0.44,29;17;25;22;170;?
0.42,25;63;22;18;170;?
0.43,2;151;18;?;?;?
0.41,29;63;25;18;170;?
0.66,29;63;6;?;?;?
0.41,29;2;151;170;?;?
0.44,29;6;22;18;?;?
0.67,29;63;22;?;?;?
0.63,29;63;17;?;?;?
0.47,20;25;22;?;?;?
0.42,13;73;22;?;?;?
0.68,29;22;170;?;?;?
0.42,20;73;22;?;?;?
0.44,2;22;170;?;?;?
0.61,29;2;151;?;?;?
0.49,29;25;63;22;170;?
0.65,29;17;170;?;?;?
0.44,29;25;26;?;?;?
0.43,29;63;6;22;?;?
0.44,6;151;170;?;?;?
0.42,29;25;25;18;?;?
0.42,29;151;22;170;?;?
0.45,20;25;22;170;?;?
