total,winfreq,items
4,1.0,50;28;94;?
1,1.0,8;28;21;?
3,1.0,23;20;79;?
1,1.0,34;59;23;?
1,1.0,12;59;20;?
3,1.0,2;92;181;?
1,1.0,20;92;23;?
1,1.0,168;28;13;?
3,1.0,4;20;57;?
1,1.0,180;12;13;?
1,1.0,88;20;181;?
1,1.0,50;20;13;181
1,1.0,59;229;181;?
1,1.0,19;181;94;?
1,1.0,27;20;182;?
3,1.0,168;181;182;?
3,1.0,34;2;181;?
2,1.0,92;20;94;?
1,1.0,2;27;182;?
1,1.0,19;27;4;?
1,1.0,20;180;92;?
1,1.0,34;27;92;?
2,1.0,59;36;23;?
1,1.0,59;86;23;?
1,1.0,12;180;181;?
1,1.0,57;4;181;?
6,0.83,27;19;20;?
12,0.83,4;28;57;?
11,0.82,57;27;20;?
5,0.8,24;57;28;?
4,0.75,20;13;182;?
19,0.74,104;59;181;?
262,0.71,57;4;94;?
14,0.71,180;20;12;?
10,0.7,8;20;181;?
122,0.68,28;69;181;?
265,0.67,36;180;13;?
470,0.67,79;180;23;?
12,0.67,27;181;182;?
6,0.67,92;4;23;?
3,0.67,19;4;94;?
3,0.67,8;27;20;?
3,0.67,28;50;19;20
3,0.67,32;20;181;?
50,0.66,4;59;12;?
37,0.65,1;59;181;?
8,0.63,34;13;231;?
19,0.63,50;20;94;?
8,0.63,104;28;180;?
173,0.62,32;27;59;?
13,0.62,8;27;13;?
33,0.61,88;4;13;?
18,0.61,2;181;94;?
120,0.6,32;187;20;?
5,0.6,8;182;94;?
5,0.6,8;50;181;?
392,0.59,20;21;181;?
17,0.59,81;20;4;?
19,0.58,20;2;92;?
7,0.57,88;13;181;?
64,0.56,168;50;20;?
27,0.56,28;21;181;?
29,0.55,27;59;15;?
225,0.55,50;13;94;?
219,0.55,73;28;181;?
84,0.55,36;28;79;?
39,0.54,8;181;13;?
116,0.54,34;50;13;?
21,0.52,8;27;181;?
184,0.51,92;181;23;?
2,0.5,34;181;231;?
2,0.5,12;181;13;?
28,0.5,59;36;79;?
2,0.5,88;2;181;?
18,0.5,180;13;23;?
4,0.5,2;27;13;?
2,0.5,8;20;12;?
38,0.5,19;13;94;?
8,0.5,50;19;181;?
4,0.5,8;181;21;?
2,0.5,181;94;229;?
12,0.5,57;20;181;?
2,0.5,8;28;94;?
4,0.5,8;27;12;?
6,0.5,34;27;23;?
2,0.5,88;50;20;?
12,0.5,168;13;182;?
14,0.5,20;181;182;?
2,0.5,34;28;23;?
2,0.5,57;28;20;?
2,0.5,180;34;92;?
4,0.5,8;20;182;?
238,0.49,50;28;71;?
95,0.49,2;28;21;?
37,0.49,2;27;36;?
84,0.48,34;181;23;?
30,0.47,28;77;181;?
34,0.47,19;4;181;?
17,0.47,8;28;182;?
13,0.46,27;181;15;?
13,0.46,36;50;28;?
26,0.46,2;20;182;?
37,0.46,2;20;21;?
157,0.45,168;2;181;?
44,0.45,2;13;182;?
9,0.44,27;19;13;?
22,0.41,168;2;13;?
17,0.41,57;28;13;?
10,0.4,8;20;94;?
36,0.39,8;2;21;?
16,0.38,59;92;79;?
8,0.38,10;28;181;?
22,0.36,57;28;94;?
31,0.35,8;50;94;?
3,0.33,56;181;94;?
9,0.33,24;57;181;?
6,0.33,26;20;181;?
3,0.33,4;19;28;?
6,0.33,27;13;182;?
7,0.29,34;28;79;?
5,0.2,57;20;13;?
5,0.2,2;28;14;?
5,0.2,8;50;12;?
6,0.17,28;20;21;?
6,0.17,19;4;13;?
12,0.08,187;181;79;?
2,0.0,34;28;50;?
2,0.0,4;182;94;?
1,0.0,180;181;229;?
1,0.0,8;50;27;?
5,0.0,8;20;21;?
1,0.0,4;181;182;?
1,0.0,187;181;86;?
1,0.0,56;28;181;?
2,0.0,20;12;13;?
4,0.0,4;13;182;?
3,0.0,27;28;15;?
2,0.0,8;50;28;13
1,0.0,8;20;13;?
4,0.0,50;181;21;?
1,0.0,50;27;181;?
1,0.0,19;50;27;?
2,0.0,88;2;13;?
3,0.0,20;4;182;?
1,0.0,2;19;28;13
1,0.0,81;4;181;?
1,0.0,24;28;181;?
