total,winfreq,items
2,1.0,1;59;21;?
1,1.0,41;20;13;23
1,1.0,1;28;41;?
2,1.0,180;36;28;4
2,1.0,15;13;23;?
1,1.0,1;180;23;?
1,1.0,20;180;182;41
4,1.0,28;180;182;36
1,1.0,59;36;77;?
2,1.0,41;86;182;?
1,1.0,1;182;41;?
1,1.0,36;27;92;23
2,1.0,1;20;22;?
2,1.0,1;60;22;?
1,1.0,41;182;63;?
1,1.0,41;21;17;?
1,1.0,1;59;41;?
1,1.0,27;59;21;?
2,1.0,1;27;60;?
1,1.0,20;13;86;?
3,1.0,34;59;60;?
3,1.0,60;34;28;?
1,1.0,180;77;23;?
1,1.0,1;34;27;?
1,1.0,41;180;60;?
6,1.0,41;180;77;?
2,1.0,1;180;20;?
1,1.0,41;20;63;?
1,1.0,1;27;23;?
1,1.0,4;34;180;182
1,1.0,34;180;31;?
1,1.0,20;180;28;41
1,1.0,27;28;21;?
1,1.0,180;21;13;?
1,1.0,41;60;28;?
1,1.0,25;182;23;?
6,0.83,108;59;20;?
18,0.83,34;180;22;?
10,0.8,41;36;15;?
14,0.79,1;27;13;?
12,0.75,20;13;79;?
4,0.75,92;22;182;?
4,0.75,180;60;13;?
11,0.73,92;182;94;?
141,0.7,34;94;23;?
143,0.69,41;108;28;?
34,0.68,41;59;108;?
219,0.67,1;34;182;?
9,0.67,34;27;31;?
12,0.67,41;22;182;?
3,0.67,41;108;20;?
3,0.67,17;36;21;?
38,0.66,27;59;31;?
45,0.64,92;77;23;?
56,0.64,1;27;20;?
11,0.64,17;21;182;?
8,0.63,41;23;17;?
8,0.63,1;180;22;?
8,0.63,92;27;60;?
8,0.63,180;182;22;?
66,0.62,36;21;13;?
13,0.62,41;77;23;?
95,0.61,36;92;77;?
10,0.6,41;34;94;?
25,0.6,4;94;23;?
5,0.6,41;34;180;13
5,0.6,25;28;20;?
5,0.6,13;102;182;?
20,0.6,108;20;182;?
144,0.58,180;92;31;?
19,0.58,59;36;21;?
30,0.57,36;28;86;?
7,0.57,1;28;21;?
7,0.57,1;20;41;?
7,0.57,20;182;94;?
7,0.57,25;34;182;?
9,0.56,60;59;36;?
25,0.56,92;77;6;?
31,0.55,23;36;15;?
22,0.55,1;180;41;?
57,0.54,41;13;86;?
19,0.53,41;92;17;?
62,0.52,17;28;182;?
67,0.52,1;59;92;?
165,0.5,25;23;17;?
2,0.5,1;92;182;?
2,0.5,59;27;60;?
4,0.5,41;94;86;?
4,0.5,34;59;102;?
12,0.5,20;19;28;?
4,0.5,41;4;182;?
10,0.5,4;19;28;?
2,0.5,41;22;1;?
2,0.5,1;180;182;?
8,0.5,28;180;102;?
15,0.47,59;6;15;?
24,0.46,41;4;23;?
41,0.46,36;13;102;?
7,0.43,1;34;60;?
14,0.43,41;28;102;?
5,0.4,180;20;31;?
5,0.4,59;182;102;?
5,0.4,59;86;182;?
5,0.4,41;182;94;?
3,0.33,28;180;36;23
3,0.33,34;13;31;?
16,0.25,180;36;102;?
2,0.0,17;13;182;?
1,0.0,92;34;180;4
1,0.0,25;13;23;?
1,0.0,180;60;182;?
1,0.0,28;182;22;?
1,0.0,17;20;13;?
1,0.0,92;60;182;?
1,0.0,1;21;182;?
1,0.0,28;102;182;?
1,0.0,41;27;36;13
1,0.0,180;20;60;?
1,0.0,27;28;31;?
1,0.0,34;23;15;?
3,0.0,17;21;23;?
1,0.0,41;28;63;?
1,0.0,41;23;25;?
1,0.0,34;27;21;?
2,0.0,34;28;79;?
1,0.0,17;13;21;?
1,0.0,25;20;41;?
1,0.0,180;28;31;?
1,0.0,1;36;28;?
2,0.0,41;4;36;?
1,0.0,36;92;94;?
1,0.0,59;13;6;?
3,0.0,59;28;77;?
1,0.0,27;13;31;?
1,0.0,34;27;60;?
1,0.0,41;77;13;?
5,0.0,41;27;21;?
1,0.0,180;13;31;?
1,0.0,20;13;22;?
1,0.0,59;94;23;?
1,0.0,41;28;77;?
1,0.0,41;34;15;?
1,0.0,4;13;23;?
2,0.0,19;20;13;?
