total,winfreq,items
2,1.0,34;59;15;?
1,1.0,20;100;21;?
1,1.0,34;27;21;?
2,1.0,36;100;60;?
1,1.0,4;12;23;?
3,1.0,180;20;60;?
2,1.0,27;180;15;?
3,1.0,36;100;102;?
1,1.0,34;23;180;79
1,1.0,4;34;100;?
1,1.0,57;12;102;?
1,1.0,57;59;21;?
3,1.0,59;27;22;?
15,0.8,180;100;15;?
26,0.77,59;27;108;?
4,0.75,34;59;60;?
4,0.75,34;12;102;?
4,0.75,36;100;21;?
4,0.75,180;6;15;?
14,0.71,180;20;21;?
144,0.71,34;180;22;?
59,0.71,180;36;102;?
7,0.71,34;180;102;?
21,0.71,28;20;79;?
20,0.7,59;27;6;?
124,0.68,60;27;100;?
12,0.67,180;100;60;?
3,0.67,57;20;4;?
3,0.67,28;6;23;?
133,0.67,57;36;15;?
3,0.67,34;20;22;?
3,0.67,59;36;77;?
11,0.64,34;100;77;?
19,0.63,59;36;6;?
19,0.63,59;28;21;?
32,0.63,60;100;21;?
174,0.63,57;59;79;?
23,0.61,34;12;94;?
5,0.6,36;12;15;?
5,0.6,27;20;22;?
207,0.59,20;214;102;?
19,0.58,100;12;94;?
37,0.57,59;6;23;?
7,0.57,100;180;94;?
23,0.57,60;27;36;?
27,0.56,34;100;79;?
62,0.56,57;180;102;?
11,0.55,4;12;94;?
50,0.54,100;214;102;?
28,0.54,34;28;79;?
17,0.53,59;36;21;?
6,0.5,57;27;21;?
4,0.5,27;28;22;?
2,0.5,34;100;102;?
12,0.5,12;94;23;?
4,0.5,60;59;36;?
2,0.5,59;28;77;?
2,0.5,57;12;4;?
24,0.46,180;100;36;?
21,0.43,27;59;77;?
17,0.41,57;20;86;?
18,0.33,100;12;15;?
12,0.33,60;27;180;?
3,0.33,28;180;102;?
3,0.33,57;180;77;?
3,0.33,20;12;4;?
9,0.33,27;59;21;?
10,0.3,23;12;15;?
8,0.25,36;180;94;23
4,0.25,57;180;4;?
5,0.2,28;102;214;?
2,0.0,57;34;21;?
1,0.0,36;28;4;?
1,0.0,57;20;94;?
1,0.0,20;12;102;?
1,0.0,28;36;77;?
4,0.0,34;6;23;?
1,0.0,57;36;94;?
3,0.0,180;28;60;?
1,0.0,28;59;60;?
1,0.0,27;190;23;?
1,0.0,57;20;21;?
