total,winfreq,items
1,1.0,58;69;15;?;?
2,1.0,9;77;17;?;?
1,1.0,24;61;102;?;?
1,1.0,57;58;22;?;?
3,1.0,63;110;15;?;?
4,1.0,58;34;206;?;?
1,1.0,58;60;61;21;?
1,1.0,60;36;61;?;?
1,1.0,69;102;21;?;?
2,1.0,24;60;61;?;?
1,1.0,17;23;119;?;?
1,1.0,24;17;36;102;63
3,1.0,57;108;102;?;?
15,0.87,63;27;235;?;?
77,0.78,59;102;15;?;?
8,0.75,48;20;23;?;?
15,0.73,24;41;36;?;?
7,0.71,24;60;21;?;?
10,0.7,41;61;57;?;?
15,0.67,17;58;108;?;?
18,0.67,96;34;21;?;?
35,0.66,9;58;102;?;?
8,0.63,41;60;61;?;?
26,0.62,96;21;102;?;?
142,0.61,57;206;63;?;?
58,0.6,77;102;69;?;?
128,0.59,58;116;102;?;?
17,0.59,56;60;15;?;?
50,0.56,36;58;108;?;?
29,0.55,96;36;102;?;?
20,0.55,98;20;63;?;?
133,0.52,17;28;77;?;?
14,0.5,41;116;102;?;?
2,0.5,20;27;4;?;?
6,0.5,58;19;77;?;?
4,0.5,17;102;9;?;?
2,0.5,56;58;27;?;?
6,0.5,34;116;58;?;?
2,0.5,206;102;21;?;?
2,0.5,24;41;21;?;?
2,0.5,8;57;102;?;?
2,0.5,17;58;19;?;?
4,0.5,17;36;22;?;?
56,0.45,77;206;21;?;?
7,0.43,58;108;102;?;?
7,0.43,8;57;58;?;?
29,0.41,34;27;108;?;?
13,0.38,24;41;102;?;?
21,0.38,34;27;206;?;?
8,0.38,24;36;77;?;?
58,0.36,41;36;21;?;?
25,0.36,17;19;23;?;?
9,0.33,8;36;102;?;?
6,0.33,19;28;23;?;?
3,0.33,17;34;206;?;?
7,0.29,65;77;17;?;?
11,0.27,41;22;15;?;?
12,0.25,25;20;4;?;?
8,0.25,58;102;206;?;?
5,0.2,28;77;23;?;?
26,0.19,65;23;15;?;?
14,0.07,19;77;102;?;?
1,0.0,24;17;58;27;36
2,0.0,41;22;17;?;?
1,0.0,17;58;206;15;?
1,0.0,17;19;15;?;?
1,0.0,58;19;102;?;?
2,0.0,24;36;21;?;?
4,0.0,24;41;34;?;?
1,0.0,8;34;77;?;?
1,0.0,34;108;77;?;?
1,0.0,41;58;60;?;?
1,0.0,41;17;61;77;?
1,0.0,58;27;206;?;?
1,0.0,41;34;61;?;?
1,0.0,9;77;23;?;?
8,0.0,41;36;102;?;?
1,0.0,57;36;41;?;?
1,0.0,96;17;21;77;?
4,0.0,41;61;102;?;?
2,0.0,25;10;77;?;?
1,0.0,129;17;77;23;?
5,0.0,65;23;17;?;?
1,0.0,58;36;21;15;?
2,0.0,34;116;77;?;?
1,0.0,8;41;34;?;?
1,0.0,36;60;77;102;?
1,0.0,20;116;41;?;?
1,0.0,8;36;15;?;?
1,0.0,41;58;61;?;?
2,0.0,17;28;23;?;?
2,0.0,17;36;77;102;57
1,0.0,41;22;63;?;?
1,0.0,27;59;77;?;?
1,0.0,8;41;102;?;?
