freq,items
0.58,29;48;104;201;202;?;?;?;?
0.41,20;41;29;48;23;104;?;?;?
0.45,41;27;1;23;201;202;?;?;?
0.43,15;27;23;201;?;?;?;?;?
0.43,15;41;29;48;23;104;?;?;?
0.41,20;41;29;48;178;?;?;?;?
0.45,41;29;48;23;104;201;202;203;?
0.51,41;29;23;104;201;202;?;?;?
0.44,77;27;28;?;?;?;?;?;?
0.42,77;29;48;27;?;?;?;?;?
0.49,28;23;104;203;?;?;?;?;?
0.43,178;203;204;?;?;?;?;?;?
0.46,48;1;104;201;202;203;?;?;?
0.45,77;27;104;?;?;?;?;?;?
0.66,27;1;23;?;?;?;?;?;?
0.5,41;28;23;201;202;?;?;?;?
0.42,41;27;178;1;23;104;201;202;?
0.42,20;77;29;48;27;?;?;?;?
0.52,15;77;41;48;1;?;?;?;?
0.43,27;23;201;202;204;?;?;?;?
0.46,28;178;1;23;202;?;?;?;?
0.41,20;77;41;28;1;23;?;?;?
0.4,15;77;29;27;23;104;?;?;?
0.41,41;29;28;178;23;104;202;?;?
0.49,20;15;41;29;27;?;?;?;?
0.45,23;104;201;204;?;?;?;?;?
0.45,15;41;48;28;?;?;?;?;?
0.63,77;104;201;?;?;?;?;?;?
0.52,20;77;41;48;1;?;?;?;?
0.44,41;29;27;23;104;201;202;?;?
0.49,178;1;23;104;201;202;?;?;?
0.44,27;178;1;203;?;?;?;?;?
0.45,41;28;23;203;?;?;?;?;?
0.45,77;23;104;202;203;?;?;?;?
0.45,41;1;23;202;203;?;?;?;?
0.44,77;178;23;104;?;?;?;?;?
0.53,20;15;77;41;178;?;?;?;?
0.41,28;178;1;104;202;203;?;?;?
0.42,20;15;203;204;?;?;?;?;?
0.42,15;1;23;104;201;?;?;?;?
0.51,48;1;23;104;202;?;?;?;?
0.45,77;41;29;23;?;?;?;?;?
0.51,77;48;23;?;?;?;?;?;?
0.48,41;48;1;23;202;?;?;?;?
0.43,15;1;202;?;?;?;?;?;?
0.4,41;29;27;104;201;202;203;?;?
0.52,77;104;203;?;?;?;?;?;?
0.5,41;178;23;104;201;202;?;?;?
0.41,41;29;48;178;104;?;?;?;?
0.45,20;77;201;204;?;?;?;?;?
0.45,41;29;1;23;202;?;?;?;?
0.46,29;48;1;104;201;203;?;?;?
0.48,41;29;178;1;104;?;?;?;?
0.41,20;77;29;27;1;23;?;?;?
0.44,27;1;23;201;202;203;?;?;?
0.47,15;178;23;104;?;?;?;?;?
0.53,29;27;104;201;?;?;?;?;?
0.5,15;77;23;104;202;?;?;?;?
0.43,178;201;202;204;?;?;?;?;?
0.58,48;23;104;202;?;?;?;?;?
0.48,20;15;104;201;202;203;?;?;?
0.4,20;48;201;202;?;?;?;?;?
0.54,29;1;23;104;201;?;?;?;?
0.68,41;28;178;1;?;?;?;?;?
0.4,27;178;201;202;203;204;?;?;?
0.42,20;28;178;23;104;?;?;?;?
0.48,29;48;1;203;?;?;?;?;?
0.48,41;29;178;23;104;201;?;?;?
0.59,29;104;202;?;?;?;?;?;?
0.43,15;77;41;29;28;178;1;?;?
0.48,20;15;104;202;203;?;?;?;?
0.43,41;48;1;23;201;203;?;?;?
0.6,41;29;48;23;104;?;?;?;?
0.41,20;15;77;41;48;23;104;?;?
0.42,41;29;28;1;201;202;?;?;?
0.4,15;77;29;178;23;104;?;?;?
0.47,41;27;178;23;202;?;?;?;?
0.5,29;27;201;202;?;?;?;?;?
0.46,48;1;23;203;?;?;?;?;?
0.4,20;15;29;178;1;23;?;?;?
0.4,48;1;104;202;204;?;?;?;?
0.44,29;48;203;204;?;?;?;?;?
0.44,29;27;23;201;202;203;?;?;?
0.52,29;23;201;202;203;?;?;?;?
0.42,28;23;104;201;202;204;?;?;?
0.46,29;27;178;201;202;?;?;?;?
0.51,77;29;28;178;?;?;?;?;?
0.46,77;29;28;178;1;?;?;?;?
0.41,20;15;41;28;1;23;?;?;?
0.41,20;15;1;201;?;?;?;?;?
0.48,20;15;77;203;?;?;?;?;?
0.46,20;27;104;?;?;?;?;?;?
0.42,41;29;28;178;23;201;202;?;?
0.48,20;77;41;23;?;?;?;?;?
