total,winfreq,items
1,1.0,57;34;182;?;?
1,1.0,56;58;36;?;?
2,1.0,1;4;110;?;?
1,1.0,27;20;182;?;?
3,1.0,34;110;94;?;?
1,1.0,34;27;13;?;?
1,1.0,20;13;94;?;?
1,1.0,57;58;180;20;1
1,1.0,1;59;94;31;?
3,1.0,59;110;94;?;?
2,1.0,9;34;110;?;?
1,1.0,20;69;119;?;?
4,1.0,27;36;110;?;?
1,1.0,9;13;69;?;?
2,1.0,57;34;94;?;?
14,0.86,56;36;182;?;?
18,0.78,58;20;110;?;?
30,0.77,9;58;110;?;?
187,0.75,4;180;110;?;?
4,0.75,56;34;86;?;?
167,0.74,34;69;119;?;?
7,0.71,34;58;69;?;?
15,0.67,36;110;94;?;?
18,0.67,1;36;119;?;?
82,0.65,9;27;36;?;?
8,0.63,57;79;1;?;?
13,0.62,56;20;86;?;?
196,0.62,73;19;1;?;?
18,0.61,57;20;86;?;?
5,0.6,34;20;231;?;?
54,0.57,57;36;13;?;?
7,0.57,34;13;110;?;?
7,0.57,56;9;27;?;?
7,0.57,9;36;69;?;?
31,0.55,34;27;31;?;?
64,0.55,57;27;182;?;?
22,0.55,1;27;182;?;?
86,0.55,9;13;1;?;?
13,0.54,20;34;180;31;?
110,0.52,59;13;94;?;?
98,0.5,1;59;102;?;?
16,0.5,56;27;182;?;?
2,0.5,27;59;182;?;?
16,0.5,56;27;13;?;?
2,0.5,56;36;4;?;?
2,0.5,1;13;94;?;?
2,0.5,56;1;27;180;31
4,0.5,56;20;31;?;?
6,0.5,1;27;59;9;?
29,0.48,19;180;13;?;?
58,0.47,20;69;182;?;?
13,0.46,56;59;94;31;?
9,0.44,1;19;20;59;?
5,0.4,57;34;4;?;?
5,0.4,57;36;94;?;?
8,0.38,27;36;13;?;?
3,0.33,1;34;180;31;?
3,0.33,36;4;13;?;?
28,0.32,1;34;231;?;?
28,0.29,73;180;110;1;?
4,0.25,56;34;182;?;?
2,0.0,56;4;13;?;?
1,0.0,1;58;180;36;9
1,0.0,180;58;20;69;?
1,0.0,56;73;36;?;?
2,0.0,9;20;13;?;?
1,0.0,9;27;20;?;?
2,0.0,73;34;69;?;?
2,0.0,1;34;20;31;?
1,0.0,9;34;27;?;?
1,0.0,1;34;180;13;69
