freq,items
0.5,25;63;6;?;?
0.42,29;25;63;17;?
0.4,26;164;6;?;?
0.41,6;2;21;?;?
0.41,29;2;17;?;?
0.4,63;26;6;?;?
0.45,29;25;151;164;?
0.73,29;26;164;?;?
0.48,25;25;21;?;?
0.58,6;151;21;?;?
0.52,13;29;63;?;?
0.48,13;26;164;?;?
0.43,29;63;25;?;?
0.58,29;25;2;?;?
0.47,6;25;164;?;?
0.48,6;25;26;?;?
0.42,13;29;26;6;?
0.49,29;6;2;151;?
0.45,13;13;26;?;?
0.44,13;29;6;151;?
0.46,29;25;164;21;?
0.41,29;17;26;6;?
0.43,13;13;151;?;?
0.5,6;151;17;?;?
0.49,29;151;6;?;?
0.53,29;17;164;?;?
0.44,29;6;26;164;?
0.44,13;13;25;6;?
0.69,29;25;63;?;?
0.8,29;25;6;?;?
0.45,25;17;6;?;?
0.53,29;151;21;?;?
0.51,13;13;25;?;?
0.49,6;6;21;?;?
0.64,29;6;21;?;?
0.5,29;151;26;?;?
0.48,29;2;26;?;?
0.48,29;63;26;?;?
0.43,13;29;26;164;?
0.53,29;6;25;151;?
0.42,6;26;21;?;?
0.52,13;6;151;?;?
0.45,25;6;151;?;?
0.54,29;25;6;21;?
0.41,13;13;25;17;?
0.49,13;29;164;?;?
0.43,17;26;164;?;?
0.42,13;13;29;63;?
0.42,29;6;25;6;?
0.41,29;164;6;?;?
0.45,2;6;21;?;?
0.71,29;2;151;?;?
0.59,29;17;6;?;?
0.49,13;13;29;?;?
0.47,29;26;6;21;?
0.58,25;2;151;?;?
0.48,13;6;25;?;?
0.42,25;26;6;21;?
0.44,13;25;2;?;?
0.42,17;26;6;?;?
0.62,6;25;151;?;?
0.44,29;151;26;164;?
0.42,29;25;6;151;?
0.6,29;25;26;164;?
0.47,25;151;26;164;?
0.47,13;26;6;?;?
0.45,29;2;151;26;?
0.73,29;25;151;?;?
0.5,25;164;21;?;?
0.44,13;6;6;?;?
0.4,13;63;6;?;?
0.53,29;164;21;?;?
0.68,29;6;164;?;?
0.42,63;26;164;?;?
0.45,13;29;25;63;?
0.45,29;6;25;21;?
0.43,29;25;63;164;?
0.42,13;6;2;?;?
0.55,6;151;6;?;?
0.74,29;25;17;?;?
0.43,29;25;17;6;?
0.44,13;13;29;17;?
0.41,29;6;25;17;?
0.55,13;29;17;?;?
0.53,6;26;164;?;?
0.4,13;29;21;?;?
0.5,13;29;26;?;?
0.49,29;6;151;21;?
0.55,2;151;6;?;?
0.43,25;26;164;21;?
0.49,29;2;151;21;?
0.5,6;25;17;?;?
0.5,29;25;151;21;?
0.46,6;151;26;6;?
0.5,25;26;21;?;?
0.47,13;29;151;?;?
0.44,13;13;2;?;?
0.43,6;25;151;21;?
0.53,25;151;26;?;?
0.53,6;25;21;?;?
0.48,2;26;6;?;?
0.48,13;13;17;?;?
0.42,13;29;25;26;?
0.47,25;151;17;?;?
0.55,29;2;6;?;?
0.43,13;13;164;?;?
0.48,29;17;26;?;?
0.52,13;25;151;?;?
0.43,25;2;6;?;?
0.54,2;151;164;?;?
0.53,13;25;6;?;?
0.52,29;17;25;?;?
0.44,29;151;17;?;?
0.66,25;26;164;?;?
0.45,29;6;151;26;?
0.41,13;29;6;25;?
0.4,29;25;151;26;164
0.44,29;2;151;164;?
0.5,151;26;164;?;?
0.44,2;6;164;?;?
0.53,29;6;17;?;?
0.58,13;29;25;?;?
0.5,26;164;21;?;?
0.46,29;25;26;21;?
0.41,25;17;164;?;?
0.45,25;63;164;?;?
0.51,29;25;6;164;?
0.51,13;13;6;?;?
0.49,29;151;164;?;?
0.44,29;6;164;21;?
0.55,6;151;164;?;?
0.45,29;6;151;6;?
0.49,2;151;26;164;?
