freq,items
0.61,29;25;18;170;24;?;?;?;?
0.61,29;17;22;170;24;?;?;?;?
0.47,182;56;145;12;?;?;?;?;?
0.41,11;3;12;26;?;?;?;?;?
0.43,5;145;170;147;7;143;?;?;?
0.4,182;56;5;145;18;170;147;7;?
0.68,182;56;24;?;?;?;?;?;?
0.48,25;145;170;?;?;?;?;?;?
0.41,29;25;22;24;17;?;?;?;?
0.49,182;56;25;18;170;24;?;?;?
0.51,182;56;57;145;18;170;24;147;?
0.44,29;17;5;22;?;?;?;?;?
0.41,56;22;170;147;17;143;?;?;?
0.43,56;57;5;145;18;170;24;147;?
0.65,18;24;147;?;?;?;?;?;?
0.43,182;57;145;94;?;?;?;?;?
0.42,182;11;29;69;18;?;?;?;?
0.43,11;57;22;170;7;143;?;?;?
0.53,29;5;170;24;147;?;?;?;?
0.67,182;145;170;147;?;?;?;?;?
0.44,182;56;69;145;170;147;7;?;?
0.53,182;56;3;145;22;147;?;?;?
0.48,5;145;26;81;?;?;?;?;?
0.41,29;25;63;88;81;?;?;?;?
0.6,29;57;145;18;170;?;?;?;?
0.91,11;69;145;?;?;?;?;?;?
0.46,182;56;57;145;88;?;?;?;?
0.43,56;57;3;145;170;24;?;?;?
0.76,182;56;3;22;?;?;?;?;?
0.63,56;69;5;18;?;?;?;?;?
0.45,11;56;29;17;170;?;?;?;?
0.5,182;69;3;18;24;?;?;?;?
0.61,17;22;18;?;?;?;?;?;?
0.4,182;29;63;18;24;7;?;?;?
0.5,182;11;57;18;147;?;?;?;?
0.47,11;56;69;5;147;?;?;?;?
0.43,182;11;57;5;145;18;?;?;?
0.41,182;56;29;25;63;18;?;?;?
0.41,29;28;170;?;?;?;?;?;?
0.42,182;29;57;3;22;170;147;?;?
0.68,182;5;24;?;?;?;?;?;?
0.41,11;29;22;18;170;24;147;?;?
0.44,11;29;69;18;170;24;?;?;?
0.42,11;5;145;22;17;143;?;?;?
0.5,182;29;25;63;18;24;?;?;?
0.43,182;11;57;5;170;?;?;?;?
0.46,56;69;145;7;143;?;?;?;?
0.47,56;5;3;22;18;?;?;?;?
0.48,56;5;145;22;18;170;24;?;?
0.43,14;71;145;?;?;?;?;?;?
0.51,25;63;18;24;147;?;?;?;?
0.45,29;18;147;143;?;?;?;?;?
0.42,29;69;5;147;?;?;?;?;?
0.41,11;56;57;145;94;?;?;?;?
0.46,182;29;25;63;22;24;147;?;?
0.41,56;94;18;?;?;?;?;?;?
0.44,11;56;5;3;24;?;?;?;?
0.52,11;57;5;147;?;?;?;?;?
0.44,11;25;17;22;24;147;?;?;?
0.47,29;63;3;22;?;?;?;?;?
0.47,56;57;3;145;24;?;?;?;?
0.42,11;29;7;143;?;?;?;?;?
0.42,182;56;5;145;18;170;7;?;?
0.46,29;25;17;18;170;24;?;?;?
0.52,182;56;25;18;24;?;?;?;?
0.65,11;57;22;170;24;?;?;?;?
0.43,56;69;145;18;24;17;?;?;?
0.4,5;22;170;24;143;?;?;?;?
0.47,11;27;28;81;?;?;?;?;?
0.56,11;94;81;?;?;?;?;?;?
0.44,182;29;3;145;170;24;?;?;?
0.44,11;3;22;170;147;17;?;?;?
0.4,182;56;5;145;22;147;17;?;?
0.45,182;5;22;147;7;?;?;?;?
0.51,29;63;7;?;?;?;?;?;?
0.68,56;57;18;170;147;?;?;?;?
0.42,182;57;22;143;?;?;?;?;?
0.42,11;29;69;5;170;?;?;?;?
0.58,182;11;69;145;170;?;?;?;?
0.48,69;22;170;17;?;?;?;?;?
0.43,145;18;147;7;143;?;?;?;?
0.72,182;56;69;18;170;?;?;?;?
0.46,5;145;22;24;7;?;?;?;?
0.4,182;11;69;5;18;170;?;?;?
0.46,182;56;57;5;18;24;?;?;?
0.48,182;11;56;57;18;170;?;?;?
0.62,25;17;170;?;?;?;?;?;?
0.42,182;5;145;24;17;?;?;?;?
0.49,11;29;25;18;170;24;147;?;?
0.49,5;145;18;147;7;?;?;?;?
0.72,29;5;145;18;?;?;?;?;?
0.61,56;69;5;22;170;?;?;?;?
