freq,items
0.57,20;18;24;?;?;?
0.5,29;63;22;18;?;?
0.41,182;29;63;170;?;?
0.42,182;29;22;24;?;?
0.41,14;75;22;170;24;?
0.42,20;17;18;?;?;?
0.43,11;18;170;?;?;?
0.52,14;170;24;?;?;?
0.51,14;212;22;?;?;?
0.41,14;18;170;147;?;?
0.44,28;170;24;?;?;?
0.4,20;75;22;18;170;?
0.42,182;29;25;22;?;?
0.41,29;13;73;?;?;?
0.49,20;88;212;?;?;?
0.54,20;18;170;24;?;?
0.45,29;22;18;147;?;?
0.48,14;75;212;170;?;?
0.44,29;20;24;?;?;?
0.44,29;18;170;24;147;?
0.53,29;22;18;24;?;?
0.48,25;63;22;170;?;?
0.4,20;14;22;18;?;?
0.49,14;75;212;18;?;?
0.41,28;18;170;24;?;?
0.43,20;88;22;170;?;?
0.41,28;212;18;170;?;?
0.41,88;212;22;18;?;?
0.48,25;17;18;?;?;?
0.41,88;22;18;170;?;?
0.45,22;24;24;?;?;?
0.51,20;75;18;170;?;?
0.52,14;75;18;?;?;?
0.46,17;18;24;?;?;?
0.49,182;29;25;?;?;?
0.41,212;22;18;?;?;?
0.42,29;25;17;24;?;?
0.51,75;212;170;?;?;?
0.4,75;212;22;170;24;?
0.63,14;18;170;?;?;?
0.82,29;18;170;?;?;?
0.42,18;170;24;24;?;?
0.44,12;22;24;?;?;?
0.44,182;170;24;?;?;?
0.41,29;63;21;?;?;?
0.69,29;22;18;?;?;?
0.43,20;75;22;18;?;?
0.44,14;88;22;?;?;?
0.43,20;28;170;?;?;?
0.47,29;25;17;22;?;?
0.43,182;25;22;170;?;?
0.56,182;22;170;?;?;?
0.43,29;22;18;170;147;?
0.5,29;63;17;?;?;?
0.53,12;18;170;?;?;?
0.52,182;29;18;170;?;?
0.45,29;22;170;24;147;?
0.44,63;18;170;24;?;?
0.45,182;20;170;?;?;?
0.52,14;18;24;?;?;?
0.6,29;17;22;170;?;?
0.54,29;170;147;?;?;?
0.54,29;22;147;?;?;?
0.46,22;170;24;147;?;?
0.52,14;75;22;?;?;?
0.46,14;75;212;18;170;?
0.43,14;20;170;?;?;?
0.46,29;63;22;170;24;?
0.47,20;14;18;170;?;?
0.43,20;14;75;212;170;?
0.41,20;212;170;24;?;?
0.44,28;22;24;?;?;?
0.44,182;22;18;170;?;?
0.42,20;88;212;22;170;?
0.66,22;170;24;?;?;?
0.43,20;14;75;212;22;?
0.48,14;75;212;22;170;?
0.45,20;24;147;?;?;?
0.48,25;17;170;?;?;?
0.5,20;75;212;22;170;?
0.41,75;22;18;170;?;?
0.49,29;17;22;18;?;?
0.64,18;170;24;?;?;?
0.44,20;14;75;18;170;?
0.44,12;212;22;170;?;?
0.43,20;75;22;170;24;?
0.41,29;22;60;?;?;?
0.42,14;22;147;?;?;?
0.41,75;212;22;24;?;?
0.42,14;22;170;147;?;?
0.41,29;170;181;?;?;?
0.44,28;22;18;?;?;?
0.42,14;75;22;24;?;?
0.41,20;75;212;22;18;?
0.45,29;17;22;170;24;?
0.45,17;22;170;24;?;?
0.62,25;22;170;?;?;?
0.47,29;25;63;22;170;?
0.45,14;212;24;?;?;?
0.43,24;24;160;?;?;?
0.4,20;20;18;?;?;?
