freq,items
0.41,29;25;21;108;55;?
0.41,29;63;23;108;55;?
0.53,29;25;63;22;?;?
0.56,29;23;55;?;?;?
0.55,17;60;108;?;?;?
0.48,23;22;55;?;?;?
0.41,25;60;55;?;?;?
0.51,25;63;23;108;?;?
0.51,29;63;60;21;?;?
0.4,29;25;63;60;22;108
0.42,29;1;60;23;22;?
0.51,29;25;63;21;22;?
0.45,1;23;22;108;?;?
0.42,20;36;60;?;?;?
0.5,25;60;23;108;?;?
0.53,29;63;21;22;108;?
0.46,60;21;55;?;?;?
0.41,63;60;55;?;?;?
0.47,63;60;21;108;?;?
0.45,17;60;21;108;?;?
0.44,20;36;21;?;?;?
0.44,29;25;60;23;22;?
0.45,29;17;63;?;?;?
0.41,29;63;108;55;?;?
0.4,29;60;23;22;55;?
0.45,60;21;108;55;?;?
0.44,17;23;22;108;?;?
0.56,29;22;55;?;?;?
0.44,41;22;108;?;?;?
0.42,63;22;55;?;?;?
0.6,29;17;23;?;?;?
0.51,29;25;60;23;?;?
0.59,29;1;60;?;?;?
0.55,29;17;60;108;?;?
0.46,29;63;23;22;108;?
0.45,29;1;55;?;?;?
0.46,25;63;21;22;108;?
0.46,63;23;22;108;?;?
0.45,1;60;21;22;?;?
0.45,29;25;63;21;22;108
0.46,29;25;60;21;22;?
0.53,29;22;108;55;?;?
0.63,29;25;23;?;?;?
0.46,25;23;22;108;?;?
0.6,29;17;60;?;?;?
0.6,63;21;108;?;?;?
0.56,29;25;17;?;?;?
0.44,29;17;60;21;22;?
0.51,29;60;23;22;108;?
0.56,29;1;108;?;?;?
0.56,20;21;108;?;?;?
0.41,29;25;108;55;?;?
0.64,60;22;108;?;?;?
0.5,29;23;21;?;?;?
0.41,41;60;21;?;?;?
0.4,25;63;60;21;108;?
0.6,29;1;23;?;?;?
0.41,25;63;60;22;108;?
0.48,29;1;60;23;?;?
0.62,29;25;60;?;?;?
0.5,29;21;22;108;55;?
0.44,29;25;17;21;108;?
0.44,29;17;23;22;108;?
0.5,17;60;21;?;?;?
0.8,29;21;22;?;?;?
0.53,22;108;55;?;?;?
0.5,20;60;22;?;?;?
0.44,63;60;23;22;?;?
0.41,63;23;108;55;?;?
0.56,60;21;22;108;?;?
0.46,25;17;60;?;?;?
0.75,29;22;108;?;?;?
0.48,29;17;60;23;108;?
0.56,21;108;55;?;?;?
0.51,1;60;22;?;?;?
0.71,29;21;22;108;?;?
0.41,36;21;108;?;?;?
0.45,41;60;108;?;?;?
0.6,29;25;21;108;?;?
0.53,63;60;22;?;?;?
0.45,29;25;63;60;22;?
0.6,29;25;108;?;?;?
0.46,25;63;60;22;?;?
0.53,1;22;108;?;?;?
0.43,60;21;22;55;?;?
0.53,29;25;63;60;?;?
0.45,29;1;60;21;108;?
0.55,20;21;22;?;?;?
0.54,25;21;22;108;?;?
0.54,25;63;23;?;?;?
0.48,29;25;17;21;?;?
0.5,20;23;22;?;?;?
0.46,25;17;22;?;?;?
0.51,29;1;23;22;?;?
0.56,63;22;108;?;?;?
0.41,29;63;23;55;?;?
0.42,29;25;22;55;?;?
0.57,29;17;21;22;?;?
0.58,29;17;21;108;?;?
0.44,25;17;23;108;?;?
0.43,29;25;17;21;22;?
0.49,25;63;22;108;?;?
0.42,29;17;60;23;22;?
0.48,20;60;23;?;?;?
0.46,25;60;21;22;?;?
0.62,29;60;21;22;?;?
0.51,29;25;63;21;108;?
0.41,63;108;55;?;?;?
0.41,25;23;108;55;?;?
0.45,25;17;108;?;?;?
0.41,41;60;23;?;?;?
0.47,29;25;60;21;108;?
0.61,29;1;21;?;?;?
0.44,25;63;60;23;?;?
0.47,29;1;60;23;108;?
0.53,29;63;23;22;?;?
0.5,1;60;21;?;?;?
0.5,29;1;60;22;?;?
0.62,23;22;108;?;?;?
0.6,29;63;21;108;?;?
0.46,41;21;22;?;?;?
0.5,29;25;60;23;108;?
0.51,29;17;23;22;?;?
0.48,29;21;23;?;?;?
0.64,60;21;108;?;?;?
0.58,29;17;108;?;?;?
0.52,25;60;21;?;?;?
0.45,34;21;108;?;?;?
0.47,29;60;23;108;55;?
0.67,29;60;23;108;?;?
0.44,29;25;63;60;21;?
0.46,29;25;17;22;?;?
0.51,17;23;22;?;?;?
0.45,29;17;55;?;?;?
0.41,36;21;22;?;?;?
0.5,29;60;22;55;?;?
0.53,63;23;22;?;?;?
0.54,21;22;55;?;?;?
0.5,60;22;55;?;?;?
0.52,25;63;108;?;?;?
0.59,63;23;108;?;?;?
0.46,1;60;22;108;?;?
0.46,29;25;23;22;108;?
0.42,25;108;55;?;?;?
0.55,20;23;108;?;?;?
0.4,1;22;55;?;?;?
0.41,29;25;60;21;22;108
0.55,29;1;21;22;?;?
0.62,29;63;60;?;?;?
0.43,29;23;22;108;55;?
0.66,29;25;21;?;?;?
0.6,25;21;22;?;?;?
0.63,29;25;22;?;?;?
0.48,29;25;63;60;108;?
0.45,29;63;60;21;22;?
0.52,25;60;23;?;?;?
0.45,29;21;23;108;?;?
0.51,29;17;21;22;108;?
0.47,63;60;22;108;?;?
0.57,1;21;22;?;?;?
0.7,29;60;21;?;?;?
0.54,60;108;55;?;?;?
0.56,29;1;21;108;?;?
0.59,29;60;23;22;?;?
0.56,29;60;55;?;?;?
0.46,29;60;22;108;55;?
0.71,21;22;108;?;?;?
0.42,29;63;21;55;?;?
0.81,29;21;108;?;?;?
0.53,29;60;108;55;?;?
0.46,29;63;60;21;108;?
0.48,25;60;22;108;?;?
0.55,29;23;108;55;?;?
0.44,29;1;60;21;22;?
0.42,25;21;108;55;?;?
0.46,29;60;21;55;?;?
0.43,20;60;21;22;?;?
0.4,20;36;21;108;?;?
0.57,63;60;108;?;?;?
0.41,29;25;60;55;?;?
0.47,60;23;55;?;?;?
0.44,29;25;63;60;23;?
0.41,41;21;22;108;?;?
0.4,41;29;21;?;?;?
0.54,25;23;22;?;?;?
0.41,29;25;23;55;?;?
0.42,20;36;22;?;?;?
0.52,29;1;22;108;?;?
0.45,29;60;21;108;55;?
0.62,29;63;22;?;?;?
0.44,20;23;22;108;?;?
0.58,17;21;108;?;?;?
0.59,29;63;21;22;?;?
0.4,17;23;55;?;?;?
0.47,29;63;60;22;108;?
0.44,29;1;23;22;108;?
0.61,25;21;108;?;?;?
0.41,20;36;108;?;?;?
0.42,29;25;21;55;?;?
0.45,25;60;23;22;?;?
0.51,29;17;60;22;?;?
0.46,29;25;17;23;?;?
0.51,63;60;23;?;?;?
0.45,34;21;22;?;?;?
0.47,29;25;60;22;108;?
0.49,63;60;23;108;?;?
0.44,29;63;60;23;22;?
0.48,1;60;23;108;?;?
0.45,29;25;17;60;?;?
0.43,1;60;23;22;?;?
0.56,29;108;55;?;?;?
0.53,29;25;23;22;?;?
0.46,1;60;21;108;?;?
0.49,29;1;60;21;?;?
0.65,29;63;21;?;?;?
0.72,29;60;22;?;?;?
0.55,23;108;55;?;?;?
0.45,29;1;60;22;108;?
0.52,20;22;108;?;?;?
0.54,25;63;22;?;?;?
0.52,29;25;60;21;?;?
0.44,25;63;60;21;?;?
0.47,60;23;108;55;?;?
0.47,41;21;108;?;?;?
0.49,29;17;60;23;?;?
0.42,29;63;22;55;?;?
0.46,60;22;108;55;?;?
0.48,25;60;21;108;?;?
0.56,29;25;22;108;?;?
0.64,29;60;22;108;?;?
0.44,17;60;21;22;?;?
0.41,17;21;55;?;?;?
0.52,17;60;22;?;?;?
0.44,20;60;22;108;?;?
0.54,29;17;22;108;?;?
0.46,29;25;55;?;?;?
0.58,25;60;108;?;?;?
0.53,29;25;21;22;108;?
0.43,29;60;21;22;55;?
0.42,41;23;22;?;?;?
0.42,34;22;108;?;?;?
0.56,29;1;23;108;?;?
0.48,17;60;23;108;?;?
0.59,63;21;22;?;?;?
0.43,25;63;60;23;108;?
0.52,25;63;21;108;?;?
0.7,29;60;23;?;?;?
0.62,29;63;23;?;?;?
0.5,17;60;23;?;?;?
0.54,29;25;63;23;?;?
0.5,21;22;108;55;?;?
0.46,20;60;23;108;?;?
0.77,29;60;108;?;?;?
0.57,25;22;108;?;?;?
0.4,25;63;55;?;?;?
0.62,60;21;22;?;?;?
0.56,29;21;55;?;?;?
0.8,29;23;108;?;?;?
0.44,23;22;108;55;?;?
0.4,29;17;21;55;?;?
0.41,29;25;17;22;108;?
0.49,20;60;21;?;?;?
0.54,25;60;22;?;?;?
0.54,29;25;60;22;?;?
0.41,29;63;60;55;?;?
0.51,60;23;22;108;?;?
0.57,29;17;23;108;?;?
0.4,60;23;22;55;?;?
0.45,63;60;21;22;?;?
0.46,25;63;23;22;?;?
0.41,29;63;60;21;22;108
0.46,29;17;60;22;108;?
0.44,25;17;21;108;?;?
0.51,29;25;63;23;108;?
0.4,17;108;55;?;?;?
0.55,1;60;108;?;?;?
0.44,20;60;21;108;?;?
0.58,17;21;22;?;?;?
0.6,29;17;22;?;?;?
0.43,29;25;17;23;108;?
0.59,60;23;22;?;?;?
0.57,29;25;60;108;?;?
0.42,63;21;55;?;?;?
0.4,29;17;22;55;?;?
0.41,29;25;23;108;55;?
0.49,25;17;21;?;?;?
0.59,29;1;22;?;?;?
0.4,34;60;22;?;?;?
0.57,1;21;108;?;?;?
0.49,29;63;60;23;108;?
0.46,29;63;55;?;?;?
0.53,29;63;60;22;?;?
0.52,1;23;22;?;?;?
0.54,25;63;60;?;?;?
0.41,36;23;108;?;?;?
0.42,25;23;55;?;?;?
0.41,25;17;22;108;?;?
0.5,20;21;22;108;?;?
0.46,25;17;23;?;?;?
0.42,17;60;23;22;?;?
0.49,25;63;60;108;?;?
0.59,29;63;23;108;?;?
0.6,29;25;21;22;?;?
0.5,1;60;23;?;?;?
0.53,20;60;108;?;?;?
0.4,25;21;22;55;?;?
0.45,29;25;63;23;22;?
0.43,34;60;108;?;?;?
0.56,29;63;60;108;?;?
0.45,29;17;60;21;108;?
0.44,25;17;21;22;?;?
0.62,29;23;22;108;?;?
0.52,29;25;63;108;?;?
0.42,29;25;63;60;23;108
0.47,29;60;23;55;?;?
0.4,1;23;55;?;?;?
0.56,29;21;108;55;?;?
0.56,29;25;63;21;?;?
0.44,34;23;108;?;?;?
0.51,29;63;60;23;?;?
0.42,25;22;55;?;?;?
0.54,29;21;22;55;?;?
0.54,17;22;108;?;?;?
0.46,17;60;22;108;?;?
0.5,1;21;22;108;?;?
0.47,41;23;108;?;?;?
0.41,63;21;108;55;?;?
0.48,29;25;63;22;108;?
0.57,25;63;21;?;?;?
0.41,63;60;21;22;108;?
0.56,29;63;22;108;?;?
0.59,29;25;23;108;?;?
0.42,25;17;60;108;?;?
0.43,20;36;23;?;?;?
0.64,29;60;21;108;?;?
0.41,29;63;21;108;55;?
0.64,29;25;63;?;?;?
0.57,17;23;108;?;?;?
0.41,34;23;22;?;?;?
0.55,29;60;21;22;108;?
0.52,17;21;22;108;?;?
0.49,29;1;21;22;108;?
0.43,25;21;55;?;?;?
0.6,29;63;108;?;?;?
0.57,1;23;108;?;?;?
0.42,25;60;21;22;108;?
0.45,21;23;108;?;?;?
0.42,41;60;22;?;?;?
0.53,63;21;22;108;?;?
0.44,29;25;17;108;?;?
0.67,60;23;108;?;?;?
0.54,29;1;60;108;?;?
0.51,63;60;21;?;?;?
0.51,25;63;21;22;?;?
0.42,20;60;23;22;?;?
0.48,29;23;22;55;?;?
0.4,17;22;55;?;?;?
0.63,29;17;21;?;?;?
0.71,29;23;22;?;?;?
0.4,20;36;21;22;?;?
0.5,29;17;60;21;?;?
0.41,29;25;17;60;108;?
0.6,25;23;108;?;?;?
0.4,1;21;55;?;?;?
0.41,63;23;55;?;?;?
