freq,items
0.42,28;212;164;21;?;?
0.41,29;2;162;154;?;?
0.49,26;6;21;?;?;?
0.65,29;2;6;?;?;?
0.4,29;21;7;?;?;?
0.42,20;50;2;26;?;?
0.59,20;29;2;50;?;?
0.42,28;2;50;6;?;?
0.45,75;22;21;?;?;?
0.41,20;29;26;164;21;?
0.42,2;26;8;116;?;?
0.47,50;21;8;116;?;?
0.53,29;26;164;21;?;?
0.66,2;50;6;?;?;?
0.42,2;2;26;8;116;?
0.5,14;212;22;170;?;?
0.44,88;212;21;154;?;?
0.4,20;14;18;154;?;?
0.41,75;212;26;164;21;?
0.63,29;26;6;?;?;?
0.46,12;17;162;?;?;?
0.43,20;75;164;21;116;?
0.41,20;14;50;6;?;?
0.41,20;14;2;2;26;?
0.56,2;2;26;164;?;?
0.51,29;2;164;21;?;?
0.41,12;21;51;?;?;?
0.44,2;2;26;8;?;?
0.42,26;164;8;116;?;?
0.46,12;22;21;?;?;?
0.42,14;75;26;8;116;?
0.44,50;26;8;?;?;?
0.41,14;75;18;21;?;?
0.41,75;2;2;8;?;?
0.53,14;212;22;?;?;?
0.56,75;164;21;?;?;?
0.51,29;2;50;22;?;?
0.5,75;2;2;21;?;?
0.43,20;212;51;?;?;?
0.56,20;88;26;?;?;?
0.56,20;2;164;?;?;?
0.46,20;14;88;21;?;?
0.48,20;14;164;21;?;?
0.43,14;88;21;116;?;?
0.46,88;21;162;154;?;?
0.4,2;22;18;?;?;?
0.41,88;18;170;21;?;?
0.6,75;212;8;?;?;?
0.54,20;29;2;50;21;?
0.41,212;164;116;?;?;?
0.44,2;50;26;8;?;?
0.44,50;2;116;?;?;?
0.63,29;2;2;164;?;?
0.4,12;88;18;170;?;?
0.5,12;21;8;116;?;?
0.47,2;2;18;170;?;?
0.45,20;29;2;50;2;?
0.44,2;50;21;162;?;?
0.52,14;212;18;?;?;?
0.49,75;212;26;6;?;?
0.42,20;29;212;?;?;?
0.5,20;26;8;116;?;?
0.43,20;75;29;6;?;?
0.46,20;75;162;154;?;?
0.43,14;12;21;?;?;?
0.41,2;2;6;116;?;?
0.49,20;29;22;?;?;?
0.44,212;17;162;?;?;?
0.43,75;29;6;?;?;?
0.4,75;212;6;116;?;?
0.48,29;2;50;18;?;?
0.44,29;26;164;8;?;?
0.43,14;26;6;21;?;?
0.54,14;21;8;?;?;?
0.57,29;50;116;?;?;?
0.4,20;14;22;154;?;?
0.46,14;75;88;?;?;?
0.41,75;212;164;116;?;?
0.55,12;212;8;116;?;?
0.49,14;75;22;170;?;?
0.6,20;75;8;116;?;?
0.5,29;2;2;26;21;?
0.47,14;17;162;?;?;?
0.45,29;21;51;?;?;?
0.58,29;2;2;8;?;?
0.47,88;162;154;?;?;?
0.42,212;17;162;154;?;?
0.42,14;29;22;?;?;?
0.43,20;212;21;162;154;?
0.49,20;28;212;21;?;?
0.44,14;50;21;116;?;?
0.6,14;26;21;?;?;?
0.55,12;164;21;?;?;?
0.44,14;2;2;8;116;?
0.43,12;212;18;154;?;?
0.43,14;88;212;8;116;?
0.46,88;212;21;162;?;?
0.41,14;212;18;170;154;?
0.41,20;75;50;8;?;?
0.54,20;75;170;?;?;?
0.51,29;6;116;?;?;?
0.41,2;2;6;8;116;?
0.44,20;75;17;162;154;?
0.44,12;17;162;154;?;?
0.41,20;14;88;6;?;?
0.4,12;88;212;6;21;?
0.5,20;212;21;8;?;?
0.49,29;2;50;6;21;?
0.42,75;212;170;21;?;?
0.49,14;75;212;22;?;?
0.4,20;14;75;88;?;?
0.46,20;14;21;8;?;?
0.44,14;212;18;154;?;?
0.66,20;26;164;?;?;?
0.44,75;212;22;154;?;?
0.52,75;212;18;?;?;?
0.58,2;2;21;116;?;?
0.44,20;14;29;6;?;?
0.43,20;29;50;116;?;?
0.5,14;88;212;26;?;?
0.5,12;212;6;21;?;?
0.54,20;75;29;?;?;?
0.49,14;28;164;?;?;?
0.55,20;14;8;?;?;?
0.48,75;212;18;170;?;?
0.44,20;212;17;162;?;?
0.41,29;28;21;?;?;?
0.48,20;75;212;18;170;?
0.5,20;14;88;212;?;?
0.42,2;2;170;154;?;?
0.41,29;164;22;?;?;?
0.51,20;50;2;?;?;?
0.42,88;212;26;116;?;?
0.44,14;29;164;21;?;?
0.41,12;18;170;21;?;?
0.4,14;212;26;21;116;?
0.41,14;75;50;26;?;?
0.48,29;2;50;21;8;?
0.67,20;14;75;?;?;?
0.63,12;212;6;?;?;?
0.41,50;164;8;116;?;?
0.41,12;88;212;170;?;?
0.41,20;14;50;164;?;?
0.47,20;18;170;154;?;?
0.41,20;212;164;116;?;?
0.43,20;75;212;21;162;154
0.55,12;88;6;?;?;?
0.65,29;50;6;?;?;?
0.43,212;22;170;154;?;?
0.41,29;50;21;154;?;?
0.62,20;88;21;?;?;?
0.57,20;21;8;?;?;?
0.42,2;50;18;154;?;?
0.4,29;2;50;154;?;?
0.44,12;212;154;?;?;?
0.41,75;26;6;21;?;?
0.48,75;26;8;?;?;?
0.4,29;50;6;116;?;?
0.5,20;17;154;?;?;?
0.41,75;212;22;18;?;?
0.48,28;2;50;21;?;?
0.49,29;2;2;6;21;?
0.46,12;2;2;26;?;?
0.57,2;2;8;116;?;?
0.4,20;28;88;212;?;?
0.4,20;212;164;8;116;?
0.44,75;6;116;?;?;?
0.4,20;88;212;26;6;?
0.41,12;88;212;164;21;?
0.41,75;88;212;6;?;?
0.44,20;50;6;21;?;?
0.5,14;50;6;?;?;?
0.51,212;164;21;?;?;?
0.43,20;14;212;6;21;?
0.64,14;212;6;?;?;?
0.41,14;212;164;116;?;?
0.56,20;2;2;26;?;?
0.49,2;50;22;170;?;?
0.49,12;212;21;8;?;?
0.45,20;212;154;?;?;?
0.48,20;2;50;8;116;?
0.43,75;212;51;?;?;?
0.42,20;2;50;170;?;?
0.54,2;2;26;21;?;?
0.54,20;75;2;2;?;?
0.5,29;2;26;6;?;?
0.48,12;26;8;?;?;?
0.43,14;75;212;162;?;?
0.48,20;2;8;116;?;?
0.44,20;75;212;18;154;?
0.43,20;75;6;8;116;?
0.45,14;29;8;116;?;?
0.51,20;14;2;?;?;?
0.45,20;75;18;21;?;?
0.58,20;75;212;116;?;?
