total,winfreq,items
2,1.0,1;12;37;?
3,1.0,1;27;13;23
4,1.0,36;13;23;?
11,0.73,1;27;37;?
10,0.7,1;27;36;13
10,0.7,20;254;214;?
3,0.67,20;60;13;?
21,0.67,34;27;215;?
279,0.66,36;21;13;?
407,0.64,1;20;102;?
115,0.63,1;12;254;?
24,0.63,34;20;215;?
586,0.62,34;214;215;?
518,0.6,1;37;214;?
259,0.59,60;21;13;?
23,0.57,1;20;254;?
23,0.57,34;21;13;?
70,0.56,4;20;94;?
306,0.55,15;214;23;?
13,0.54,73;12;23;?
315,0.52,20;4;214;?
2,0.5,1;20;215;?
6,0.5,1;12;13;23
2,0.5,1;21;13;?
2,0.5,27;20;254;?
29,0.48,73;36;23;?
37,0.46,23;20;29;15
29,0.41,1;34;102;?
5,0.4,1;34;31;?
10,0.4,1;60;13;?
57,0.35,73;36;1;?
20,0.35,60;13;23;?
3,0.33,1;36;31;?
27,0.33,36;60;13;?
3,0.33,73;34;1;?
3,0.33,15;12;23;?
39,0.31,36;214;31;?
4,0.25,1;20;31;?
14,0.21,20;12;94;?
6,0.17,13;214;21;?
1,0.0,23;21;13;?
1,0.0,34;13;23;?
1,0.0,1;34;215;?
2,0.0,73;23;1;?
