total,winfreq,items
1,1.0,10;12;14;?;?
1,1.0,34;212;22;?;?
1,1.0,32;75;52;22;?
1,1.0,154;212;26;?;?
1,1.0,17;10;52;170;?
1,1.0,18;5;20;26;149
1,1.0,25;51;172;?;?
1,1.0,26;36;22;?;?
1,1.0,152;26;75;141;?
1,1.0,28;52;63;?;?
2,1.0,26;52;170;63;?
1,1.0,26;12;141;?;?
1,1.0,32;170;75;63;?
2,1.0,17;26;139;25;?
1,1.0,152;25;26;8;?
1,1.0,88;24;2;?;?
3,1.0,8;2;170;?;?
1,1.0,75;172;149;?;?
1,1.0,2;51;172;?;?
1,1.0,51;172;22;?;?
1,1.0,26;147;21;?;?
1,1.0,25;26;135;?;?
1,1.0,51;164;149;5;?
1,1.0,17;26;75;139;?
8,0.88,17;51;164;215;?
13,0.85,3;12;147;?;?
68,0.82,26;139;22;?;?
11,0.82,18;139;63;?;?
27,0.81,25;212;52;?;?
5,0.8,17;26;135;?;?
13,0.77,75;51;5;6;?
13,0.77,24;28;21;?;?
21,0.76,162;51;6;?;?
4,0.75,8;2;215;?;?
4,0.75,24;3;164;?;?
46,0.72,18;5;141;?;?
7,0.71,26;116;5;?;?
7,0.71,162;51;215;?;?
10,0.7,88;26;141;?;?
20,0.7,24;51;75;?;?
3,0.67,26;36;170;?;?
9,0.67,63;147;212;215;?
3,0.67,8;88;6;?;?
3,0.67,152;34;21;?;?
3,0.67,34;21;170;?;?
3,0.67,51;147;63;?;?
3,0.67,24;164;21;?;?
202,0.66,3;162;75;?;?
71,0.66,24;6;215;?;?
126,0.65,17;28;141;?;?
155,0.65,88;147;21;?;?
22,0.64,152;24;2;?;?
19,0.63,2;212;6;?;?
5,0.6,2;34;14;?;?
5,0.6,152;170;172;?;?
24,0.58,172;212;21;?;?
26,0.58,17;75;135;?;?
23,0.57,8;6;215;?;?
34,0.56,8;17;51;?;?
56,0.54,36;212;22;?;?
19,0.53,25;20;249;?;?
64,0.53,8;212;215;?;?
38,0.53,2;172;215;?;?
47,0.53,116;18;212;?;?
109,0.51,8;149;5;?;?
2,0.5,88;152;2;51;?
2,0.5,2;34;215;?;?
2,0.5,2;172;22;?;?
2,0.5,147;21;14;63;?
4,0.5,26;36;21;?;?
2,0.5,24;21;5;?;?
4,0.5,212;51;172;?;?
2,0.5,8;3;6;?;?
2,0.5,26;10;170;?;?
54,0.48,18;51;172;?;?
25,0.48,34;28;215;?;?
13,0.46,88;172;215;?;?
9,0.44,24;212;6;?;?
75,0.44,36;21;14;?;?
7,0.43,32;26;170;?;?
5,0.4,164;162;28;?;?
8,0.38,18;116;6;?;?
39,0.38,172;2;12;?;?
9,0.33,152;162;164;?;?
3,0.33,212;172;22;17;?
3,0.33,170;172;149;?;?
3,0.33,26;75;135;?;?
3,0.33,88;52;63;?;?
9,0.33,34;5;22;?;?
3,0.33,8;17;3;?;?
10,0.3,152;164;170;212;?
7,0.29,152;26;36;?;?
4,0.25,22;172;21;14;?
4,0.25,2;12;18;215;?
5,0.2,17;36;5;25;?
5,0.2,2;18;162;?;?
14,0.14,8;18;5;?;?
1,0.0,162;164;149;?;?
1,0.0,17;215;164;149;63
1,0.0,170;215;2;21;?
1,0.0,3;28;21;?;?
1,0.0,25;2;5;14;21
1,0.0,25;147;51;?;?
1,0.0,63;26;75;147;215
2,0.0,17;116;25;215;?
4,0.0,26;149;22;215;?
1,0.0,28;26;36;?;?
1,0.0,51;21;5;?;?
1,0.0,162;51;22;?;?
4,0.0,152;162;28;22;?
1,0.0,152;162;28;63;?
3,0.0,8;3;215;?;?
1,0.0,152;25;75;116;?
1,0.0,212;141;215;?;?
1,0.0,17;26;7;14;25
6,0.0,172;21;5;?;?
1,0.0,26;28;162;5;?
2,0.0,17;2;34;?;?
1,0.0,162;6;215;?;?
2,0.0,75;3;164;215;?
2,0.0,17;26;75;7;?
2,0.0,32;17;10;22;?
1,0.0,7;25;26;51;17
1,0.0,8;3;212;?;?
1,0.0,17;135;20;63;?
1,0.0,162;3;22;?;?
3,0.0,170;75;162;5;63
2,0.0,152;25;212;24;17
2,0.0,18;12;6;215;?
1,0.0,17;172;21;22;?
1,0.0,8;2;6;?;?
1,0.0,26;116;215;?;?
2,0.0,25;18;172;12;?
1,0.0,34;18;215;?;?
1,0.0,162;75;164;22;?
1,0.0,14;51;149;6;63
2,0.0,8;170;164;?;?
1,0.0,212;51;164;?;?
