freq,items
0.44,29;214;23;22;?
0.46,12;214;22;108;?
0.46,29;214;23;108;?
0.52,23;22;108;?;?
0.42,60;21;22;108;?
0.43,12;214;23;22;108
0.47,214;60;108;?;?
0.42,29;27;60;21;?
0.41,214;60;23;108;?
0.45,29;214;21;22;?
0.59,29;21;108;?;?
0.44,27;60;22;108;?
0.44,12;27;21;108;?
0.43,214;23;22;108;?
0.43,29;214;60;23;?
0.41,29;27;94;?;?
0.51,27;60;23;?;?
0.45,12;21;22;108;?
0.42,29;12;23;?;?
0.42,12;27;23;22;?
0.6,12;27;23;?;?
0.42,27;60;21;22;?
0.56,12;214;21;?;?
0.52,29;214;60;?;?
0.49,60;23;108;?;?
0.54,27;23;108;?;?
0.54,27;21;22;?;?
0.57,29;214;27;?;?
0.47,12;22;108;?;?
0.53,27;23;22;?;?
0.5,12;21;22;?;?
0.44,12;214;60;22;?
0.49,12;23;22;?;?
0.6,12;214;27;?;?
0.45,12;60;22;?;?
0.69,29;27;23;?;?
0.5,214;23;108;?;?
0.57,29;23;22;?;?
0.41,12;27;60;23;?
0.53,21;22;108;?;?
0.48,12;60;23;?;?
0.47,214;60;23;?;?
0.41,214;27;23;?;?
0.48,214;23;22;?;?
0.56,12;214;60;?;?
0.42,12;27;27;?;?
0.47,29;214;22;?;?
0.5,12;27;60;?;?
0.4,12;60;21;108;?
0.59,29;21;22;?;?
0.5,27;22;108;?;?
0.46,60;23;22;?;?
0.5,12;27;21;?;?
0.47,12;60;108;?;?
0.41,12;27;60;108;?
0.41,12;27;22;108;?
0.51,29;23;22;108;?
0.49,27;60;22;?;?
0.44,12;214;21;22;108
0.45,12;27;22;?;?
0.46,29;27;60;108;?
0.51,29;60;21;?;?
0.43,214;60;21;?;?
0.43,12;27;23;108;?
0.44,27;60;23;108;?
0.52,29;214;21;?;?
0.49,12;214;23;108;?
0.47,27;23;22;108;?
0.41,29;60;23;22;108
0.49,12;214;21;108;?
0.43,27;60;21;108;?
0.46,29;60;23;22;?
0.41,12;214;27;23;?
0.51,12;214;22;?;?
0.42,29;27;23;22;108
0.5,12;23;108;?;?
0.52,29;21;22;108;?
0.41,29;214;60;22;?
0.5,214;21;108;?;?
0.43,12;27;21;22;?
0.49,29;27;27;?;?
0.43,29;27;60;22;?
0.48,29;60;23;108;?
0.46,12;214;60;23;?
0.53,29;60;22;?;?
0.47,29;12;27;?;?
0.5,12;21;108;?;?
0.46,29;214;108;?;?
0.43,29;214;60;108;?
0.48,27;21;22;108;?
0.51,29;27;22;?;?
0.42,29;21;23;?;?
0.51,27;60;108;?;?
0.56,29;27;60;?;?
0.45,27;214;23;?;?
0.42,12;214;60;21;?
0.49,12;214;21;22;?
0.46,29;214;21;108;?
0.46,29;60;21;22;?
0.4,12;60;22;108;?
0.43,29;214;22;108;?
0.47,29;60;21;108;?
0.46,29;27;60;23;?
0.43,12;60;21;?;?
0.4,29;214;21;22;108
0.41,12;60;23;108;?
0.44,214;21;22;108;?
0.47,27;60;21;?;?
0.44,12;23;22;108;?
0.49,214;21;22;?;?
0.48,60;22;108;?;?
0.48,29;27;21;22;?
0.54,27;21;108;?;?
0.4,12;214;60;23;108
0.62,29;214;23;?;?
0.48,60;21;108;?;?
0.46,214;22;108;?;?
0.48,29;60;22;108;?
0.56,29;60;108;?;?
0.42,27;60;23;22;?
0.51,29;12;214;?;?
0.46,60;21;22;?;?
0.49,29;27;21;108;?
0.44,214;60;22;?;?
0.49,29;27;23;108;?
0.45,29;27;22;108;?
0.42,29;60;21;22;108
0.55,29;27;21;?;?
0.59,29;23;108;?;?
0.41,29;12;214;23;?
0.47,29;27;23;22;?
0.43,29;27;21;22;108
0.41,60;23;22;108;?
0.46,12;214;60;108;?
0.48,12;214;23;22;?
0.56,29;60;23;?;?
0.5,12;214;108;?;?
0.44,12;27;108;?;?
0.49,29;27;108;?;?
0.67,12;214;23;?;?
0.43,29;27;214;?;?
0.55,29;22;108;?;?
