total,winfreq,items
2,1.0,56;36;182;31
1,1.0,180;21;127;?
1,1.0,56;59;61;23
1,1.0,27;21;61;?
1,1.0,28;131;4;?
2,1.0,108;28;182;?
2,1.0,231;28;23;?
1,1.0,19;59;60;?
1,1.0,34;131;180;94
1,1.0,20;12;23;?
1,1.0,12;180;31;?
1,1.0,27;61;23;?
1,1.0,60;34;28;?
1,1.0,56;34;12;?
1,1.0,34;27;61;86
1,1.0,56;34;79;?
1,1.0,79;28;23;?
1,1.0,59;3;20;182
1,1.0,56;28;108;?
1,1.0,28;180;4;31
1,1.0,4;60;61;?
1,1.0,3;86;23;?
2,1.0,34;27;22;182
2,1.0,12;61;86;?
3,1.0,242;34;94;?
1,1.0,56;20;23;?
6,1.0,34;28;31;?
1,1.0,56;28;36;?
1,1.0,3;21;86;?
1,1.0,36;3;60;?
18,1.0,60;22;231;?
1,1.0,20;61;94;?
1,1.0,19;20;86;?
16,0.94,56;182;231;?
12,0.92,34;28;231;?
12,0.92,34;60;61;?
7,0.86,27;3;28;?
6,0.83,56;231;23;?
152,0.82,36;108;94;?
5,0.8,4;59;108;28
61,0.8,20;28;231;?
42,0.79,94;61;22;?
135,0.78,56;22;231;?
9,0.78,31;4;23;?
4,0.75,125;86;23;?
79,0.75,60;182;231;?
4,0.75,28;60;61;?
4,0.75,131;28;182;?
4,0.75,36;28;79;?
44,0.75,23;36;79;?
4,0.75,28;21;94;?
4,0.75,88;94;23;?
11,0.73,131;36;182;?
18,0.72,20;61;23;?
310,0.71,56;20;79;?
7,0.71,88;60;36;?
38,0.71,28;21;31;?
38,0.71,12;21;86;?
42,0.71,4;61;22;?
156,0.7,3;27;60;?
91,0.7,56;34;108;?
53,0.7,27;28;22;?
216,0.7,20;12;22;?
44,0.68,125;86;31;?
3,0.67,21;182;231;?
3,0.67,56;34;231;?
6,0.67,34;19;21;?
3,0.67,27;19;23;?
88,0.67,12;125;23;?
152,0.67,34;21;31;?
9,0.67,56;27;108;?
3,0.67,34;23;231;?
3,0.67,88;36;23;?
9,0.67,56;79;31;?
6,0.67,180;86;94;127
27,0.67,56;34;23;?
9,0.67,34;21;231;?
310,0.66,4;60;31;?
34,0.65,12;28;31;?
223,0.65,88;27;61;?
17,0.65,79;28;31;?
13,0.62,20;28;22;?
13,0.62,34;108;79;?
66,0.62,36;28;31;?
26,0.62,88;4;125;?
46,0.61,79;182;31;?
87,0.61,28;86;127;?
61,0.61,34;131;61;?
5,0.6,56;12;79;?
15,0.6,131;28;61;?
5,0.6,108;180;61;?
10,0.6,27;28;125;?
10,0.6,28;182;231;?
15,0.6,88;182;79;?
33,0.58,79;20;31;?
53,0.58,34;12;21;?
110,0.58,19;61;86;?
40,0.57,79;12;31;?
21,0.57,56;61;22;?
18,0.56,131;180;61;?
9,0.56,12;27;60;?
9,0.56,3;28;125;?
20,0.55,4;12;21;?
22,0.55,56;34;19;?
20,0.55,34;12;79;?
26,0.54,108;59;12;?
317,0.53,34;125;127;?
134,0.52,59;60;127;?
4,0.5,59;19;36;182
8,0.5,34;131;182;?
10,0.5,27;19;125;?
2,0.5,28;61;23;?
2,0.5,36;12;31;?
14,0.5,180;182;94;127
2,0.5,56;19;20;?
2,0.5,23;21;127;?
2,0.5,61;86;31;?
2,0.5,108;20;86;?
12,0.5,20;19;28;?
4,0.5,88;36;182;?
2,0.5,20;61;31;?
2,0.5,60;20;231;?
6,0.5,34;61;127;?
22,0.5,21;94;31;?
4,0.5,88;59;125;?
2,0.5,4;59;12;61
8,0.5,34;28;61;?
2,0.5,28;94;23;?
2,0.5,20;108;79;?
4,0.5,56;3;21;?
4,0.5,23;182;231;?
89,0.46,36;28;127;?
33,0.45,3;20;94;?
9,0.44,31;21;23;?
27,0.44,242;59;20;?
7,0.43,34;31;79;?
12,0.42,23;182;127;?
5,0.4,36;60;79;?
5,0.4,59;28;125;86
5,0.4,56;3;94;?
5,0.4,12;61;94;?
14,0.36,59;108;182;79
3,0.33,59;125;23;?
3,0.33,12;21;182;?
3,0.33,3;21;23;?
3,0.33,20;61;21;?
3,0.33,88;4;60;?
3,0.33,27;12;23;?
3,0.33,12;182;79;?
3,0.33,23;36;31;?
7,0.29,56;19;86;?
17,0.29,56;88;20;?
7,0.29,34;86;127;?
4,0.25,34;60;182;79
4,0.25,20;28;23;?
4,0.25,19;20;61;?
5,0.2,127;28;23;?
5,0.2,88;180;79;?
6,0.17,180;131;36;?
6,0.17,21;86;127;?
6,0.17,60;20;31;?
9,0.11,3;28;182;?
2,0.0,12;94;31;?
1,0.0,34;59;28;23
2,0.0,3;28;21;?
1,0.0,20;60;79;?
2,0.0,27;3;125;?
1,0.0,27;19;21;?
1,0.0,19;28;23;?
2,0.0,19;28;182;?
2,0.0,108;34;28;?
1,0.0,60;94;31;?
1,0.0,27;180;125;31
1,0.0,19;36;94;?
1,0.0,56;28;79;?
1,0.0,61;94;127;?
2,0.0,88;27;36;?
1,0.0,90;86;182;?
1,0.0,59;28;182;31
2,0.0,28;34;180;79
1,0.0,27;36;125;?
1,0.0,4;27;28;23
1,0.0,19;20;23;?
2,0.0,60;12;86;?
1,0.0,27;61;127;?
1,0.0,36;27;60;182
2,0.0,36;28;21;?
1,0.0,242;20;34;?
1,0.0,56;20;34;28
1,0.0,59;36;125;86
1,0.0,56;28;231;?
1,0.0,3;61;23;?
1,0.0,27;3;86;182
1,0.0,56;3;36;?
1,0.0,3;125;86;?
2,0.0,36;21;79;?
