freq,items
0.52,11;12;29;?;?;?;?
0.42,11;28;81;25;?;?;?
0.44,94;81;17;193;?;?;?
0.41,28;29;63;17;?;?;?
0.46,28;88;29;?;?;?;?
0.47,88;81;106;?;?;?;?
0.42,27;94;23;193;194;?;?
0.44,28;25;8;?;?;?;?
0.44,27;17;193;?;?;?;?
0.41,11;27;94;17;8;?;?
0.45,27;23;193;?;?;?;?
0.47,12;26;25;17;?;?;?
0.54,27;94;81;21;?;?;?
0.42,11;94;29;17;?;?;?
0.41,11;12;28;17;?;?;?
0.42,27;81;17;194;?;?;?
0.43,12;94;81;25;63;?;?
0.44,11;12;88;81;?;?;?
0.45,88;94;81;8;?;?;?
0.49,29;25;8;?;?;?;?
0.44,27;94;8;116;?;?;?
0.45,28;27;8;?;?;?;?
0.62,88;27;81;?;?;?;?
0.47,26;17;106;?;?;?;?
0.71,12;27;94;17;?;?;?
0.49,12;26;63;?;?;?;?
0.48,12;94;21;?;?;?;?
0.46,11;28;88;17;?;?;?
0.42,27;81;106;193;194;?;?
0.43,28;193;194;?;?;?;?
0.49,12;27;94;8;?;?;?
0.51,28;29;63;?;?;?;?
0.44,11;27;94;81;21;?;?
0.45,27;81;116;?;?;?;?
0.42,27;94;23;194;?;?;?
0.67,88;26;17;?;?;?;?
0.42,81;23;106;193;194;?;?
0.41,26;81;17;193;?;?;?
0.46,23;106;193;?;?;?;?
0.47,11;28;27;94;81;17;?
0.59,11;28;94;?;?;?;?
0.41,28;88;26;81;?;?;?
0.43,12;88;25;63;?;?;?
0.42,28;81;23;106;193;194;?
0.41,12;27;26;81;17;?;?
0.41,12;29;23;?;?;?;?
0.43,11;27;25;17;?;?;?
0.42,27;94;194;?;?;?;?
0.41,12;17;21;116;?;?;?
0.44,27;94;81;8;116;?;?
0.42,29;106;194;?;?;?;?
0.43,11;26;81;21;?;?;?
0.42,29;17;193;194;?;?;?
0.42,27;94;81;194;?;?;?
0.51,12;81;29;?;?;?;?
0.42,29;106;193;194;?;?;?
0.4,26;81;17;106;193;?;?
