total,winfreq,items
1,1.0,57;59;94;?
8,1.0,27;180;254;?
1,1.0,4;94;31;?
1,1.0,12;28;94;?
3,1.0,28;13;94;?
1,1.0,34;28;231;?
1,1.0,4;12;28;?
1,1.0,59;20;102;?
1,1.0,34;59;100;?
1,1.0,59;36;215;?
1,1.0,34;59;77;?
1,1.0,36;13;23;?
1,1.0,180;34;28;79
5,0.8,27;59;92;?
18,0.78,57;20;86;?
4,0.75,4;12;23;?
18,0.72,34;27;92;?
66,0.67,100;59;20;?
9,0.67,12;28;23;?
9,0.67,57;59;36;?
3,0.67,180;27;100;?
23,0.65,15;27;23;?
66,0.62,34;27;215;?
28,0.61,59;4;31;?
18,0.61,23;36;79;?
5,0.6,180;36;254;?
14,0.57,34;12;94;?
28,0.57,57;180;86;?
27,0.56,23;13;79;?
29,0.55,36;28;12;?
8,0.5,36;28;79;?
2,0.5,20;59;4;13
2,0.5,20;180;92;?
13,0.46,34;180;102;?
43,0.44,34;23;15;?
9,0.44,34;4;13;?
7,0.43,180;34;92;?
5,0.4,20;12;4;?
6,0.33,180;77;23;?
3,0.33,28;4;13;?
4,0.25,28;13;23;?
7,0.14,27;59;77;?
2,0.0,57;28;94;?
1,0.0,27;59;15;?
1,0.0,57;27;180;23
1,0.0,28;34;12;?
1,0.0,36;13;94;?
1,0.0,34;20;102;?
1,0.0,28;180;4;36
