total,winfreq,items
1,1.0,5;8;41;17;50;21
1,1.0,4;13;182;?;?;?
2,1.0,34;27;28;?;?;?
1,1.0,41;34;19;?;?;?
2,1.0,168;41;182;?;?;?
1,1.0,41;2;4;?;?;?
1,1.0,41;162;34;?;?;?
2,1.0,41;34;4;?;?;?
1,1.0,168;50;20;162;?;?
1,1.0,21;182;215;?;?;?
2,1.0,73;162;50;?;?;?
2,1.0,28;13;215;?;?;?
4,1.0,168;41;36;21;?;?
1,1.0,1;2;34;?;?;?
1,1.0,19;13;21;?;?;?
2,1.0,2;4;215;?;?;?
4,1.0,41;50;182;?;?;?
2,1.0,8;19;21;?;?;?
1,1.0,1;20;182;?;?;?
2,1.0,168;41;20;21;?;?
13,0.92,152;41;34;168;?;?
5,0.8,152;73;162;?;?;?
8,0.75,1;36;13;?;?;?
8,0.75,4;27;28;?;?;?
8,0.75,1;4;13;?;?;?
66,0.73,168;162;36;?;?;?
110,0.72,168;41;249;?;?;?
7,0.71,168;152;36;21;?;?
7,0.71,41;4;215;?;?;?
426,0.69,1;27;20;?;?;?
22,0.68,8;41;13;?;?;?
3,0.67,1;13;41;?;?;?
3,0.67,8;50;36;21;215;?
6,0.67,4;182;215;?;?;?
6,0.67,28;2;20;?;?;?
24,0.67,249;20;41;?;?;?
6,0.67,28;27;180;?;?;?
9,0.67,20;50;4;?;?;?
177,0.66,1;27;59;?;?;?
44,0.66,41;50;4;?;?;?
40,0.65,1;2;41;?;?;?
619,0.64,1;34;182;?;?;?
152,0.64,36;2;4;?;?;?
11,0.64,28;2;4;?;?;?
11,0.64,185;50;36;?;?;?
483,0.63,8;17;182;?;?;?
46,0.63,36;59;28;?;?;?
96,0.63,4;59;28;?;?;?
115,0.62,1;20;41;?;?;?
244,0.6,59;28;13;?;?;?
5,0.6,32;4;20;?;?;?
25,0.6,1;4;20;?;?;?
289,0.6,249;34;50;?;?;?
161,0.59,8;73;41;?;?;?
29,0.59,1;2;20;?;?;?
386,0.58,20;27;28;?;?;?
50,0.56,34;4;182;?;?;?
688,0.55,41;2;19;?;?;?
117,0.55,8;34;19;?;?;?
273,0.55,50;28;215;?;?;?
341,0.54,50;19;215;?;?;?
112,0.54,17;36;13;?;?;?
13,0.54,34;50;182;?;?;?
13,0.54,41;4;36;?;?;?
45,0.53,8;73;162;?;?;?
45,0.53,1;180;20;?;?;?
21,0.52,36;50;28;?;?;?
54,0.52,34;4;215;?;?;?
29,0.52,59;36;13;?;?;?
2,0.5,4;13;215;?;?;?
323,0.5,152;73;36;?;?;?
6,0.5,8;17;20;41;?;?
10,0.5,168;41;2;162;?;?
2,0.5,17;36;5;41;?;?
132,0.5,21;182;5;?;?;?
52,0.5,28;20;215;?;?;?
2,0.5,168;50;36;21;?;?
28,0.5,152;41;19;?;?;?
2,0.5,8;21;182;?;?;?
26,0.5,2;13;182;?;?;?
2,0.5,168;152;2;13;?;?
4,0.5,1;59;4;?;?;?
2,0.5,8;34;182;?;?;?
2,0.5,152;73;34;?;?;?
4,0.5,168;41;2;17;?;?
4,0.5,168;249;20;?;?;?
12,0.5,41;36;13;?;?;?
6,0.5,50;21;182;?;?;?
8,0.5,1;27;4;?;?;?
2,0.5,17;5;182;?;?;?
2,0.5,168;162;34;?;?;?
71,0.49,168;41;50;36;?;?
15,0.47,41;4;1;?;?;?
70,0.47,41;4;182;?;?;?
48,0.46,41;36;21;215;?;?
27,0.44,1;59;13;?;?;?
45,0.42,168;152;182;?;?;?
12,0.42,19;20;21;?;?;?
182,0.41,50;36;182;?;?;?
17,0.41,41;19;13;?;?;?
5,0.4,168;41;36;17;?;?
5,0.4,2;28;13;?;?;?
15,0.4,8;73;21;?;?;?
5,0.4,8;249;50;41;?;?
13,0.38,32;20;28;?;?;?
8,0.38,8;73;36;?;?;?
45,0.36,36;182;215;?;?;?
3,0.33,34;59;13;?;?;?
6,0.33,168;13;21;?;?;?
3,0.33,34;28;215;?;?;?
9,0.33,19;36;21;?;?;?
3,0.33,34;19;215;?;?;?
22,0.32,41;162;36;?;?;?
21,0.29,168;73;5;?;?;?
11,0.27,59;20;13;?;?;?
8,0.25,17;182;215;?;?;?
4,0.25,168;50;5;34;21;?
4,0.25,1;34;180;?;?;?
4,0.25,152;19;13;?;?;?
4,0.25,41;34;13;?;?;?
5,0.2,32;4;28;?;?;?
6,0.17,17;34;182;?;?;?
7,0.14,8;41;34;21;?;?
9,0.11,152;41;182;?;?;?
1,0.0,73;50;17;?;?;?
1,0.0,50;4;182;?;?;?
1,0.0,20;21;182;?;?;?
2,0.0,41;21;182;?;?;?
1,0.0,8;21;13;5;?;?
1,0.0,73;21;41;?;?;?
1,0.0,162;34;13;?;?;?
1,0.0,168;17;36;21;?;?
13,0.0,8;41;50;34;5;?
1,0.0,8;249;2;20;?;?
1,0.0,73;5;17;?;?;?
2,0.0,1;182;41;?;?;?
1,0.0,8;17;50;36;?;?
1,0.0,1;2;13;?;?;?
3,0.0,8;50;19;?;?;?
4,0.0,152;41;13;?;?;?
1,0.0,4;20;215;?;?;?
1,0.0,73;34;21;?;?;?
1,0.0,8;19;5;?;?;?
2,0.0,73;36;5;?;?;?
1,0.0,73;2;21;215;?;?
1,0.0,13;182;215;?;?;?
1,0.0,8;73;19;?;?;?
1,0.0,8;249;36;?;?;?
2,0.0,50;4;13;?;?;?
1,0.0,1;34;27;?;?;?
1,0.0,168;34;13;?;?;?
1,0.0,41;182;215;?;?;?
1,0.0,41;2;36;21;?;?
1,0.0,168;5;182;?;?;?
1,0.0,8;50;34;13;?;?
1,0.0,50;19;21;?;?;?
2,0.0,168;17;13;?;?;?
