total,winfreq,items
1,1.0,59;28;110;22
4,1.0,56;27;180;?
1,1.0,59;13;23;?
1,1.0,34;27;60;?
1,1.0,27;20;23;?
1,1.0,88;57;34;?
1,1.0,57;28;20;?
2,1.0,180;4;23;?
1,1.0,88;59;110;?
3,1.0,34;12;69;?
1,1.0,34;27;180;?
1,1.0,36;28;108;?
11,0.82,59;22;94;?
5,0.8,56;34;27;?
14,0.79,180;108;110;12
72,0.76,59;36;110;?
11,0.73,34;180;22;110
29,0.72,34;28;69;?
126,0.69,88;36;21;?
40,0.68,180;28;110;?
6,0.67,34;27;28;?
14,0.64,88;36;180;?
45,0.64,180;60;13;?
116,0.62,180;4;21;?
13,0.62,12;27;180;?
45,0.6,20;12;69;?
5,0.6,88;34;108;?
7,0.57,56;27;22;?
37,0.54,27;20;22;?
21,0.52,60;13;23;?
18,0.5,27;12;21;?
12,0.5,4;21;23;?
6,0.5,12;34;59;108
15,0.47,56;27;28;?
5,0.4,34;27;23;?
10,0.4,20;27;180;?
4,0.25,59;20;13;?
6,0.17,28;27;180;?
2,0.0,28;20;69;?
1,0.0,34;27;20;?
1,0.0,180;21;13;?
1,0.0,180;34;28;22
2,0.0,57;36;28;?
1,0.0,56;88;20;?
2,0.0,27;28;21;?
1,0.0,56;27;23;?
1,0.0,27;28;23;?
1,0.0,56;27;12;?
