freq,items
0.43,12;214;119;?
0.44,12;13;13;?
0.52,12;214;9;?
0.41,12;20;36;?
0.4,12;214;58;119
0.51,12;27;214;?
0.44,29;214;9;?
0.43,29;27;9;?
0.42,12;9;119;?
0.46,12;29;214;27
0.4,29;27;58;?
0.43,12;29;58;?
0.41,12;27;13;?
0.43,12;27;92;?
0.4,12;58;119;?
0.5,12;214;28;?
0.43,27;28;92;?
0.47,12;27;20;?
0.42,214;28;92;?
0.49,12;27;28;?
0.41,12;214;9;119
0.5,12;27;9;?
0.53,29;214;27;?
0.45,29;28;92;?
0.67,12;29;27;?
0.43,12;13;13;92
0.48,12;214;20;?
0.42,29;13;92;?
0.41,29;58;119;?
0.43,29;9;119;?
0.42,29;214;28;?
0.4,214;58;119;?
0.42,12;214;13;?
0.45,12;28;92;?
0.41,12;27;119;?
0.53,13;13;92;?
0.41,12;27;28;92
0.42,27;9;119;?
0.41,29;214;58;?
0.41,27;58;119;?
0.48,12;214;58;?
0.42,12;214;28;92
0.4,29;214;20;?
0.66,12;29;214;?
0.46,12;29;9;?
0.47,12;29;28;?
0.41,27;13;92;?
0.46,12;27;58;?
0.4,12;29;13;?
0.42,214;9;119;?
0.45,12;214;92;?
0.6,12;214;27;?
0.45,12;29;20;?
0.44,12;13;92;?
0.42,12;29;92;?
