freq,items
0.47,20;25;63;170;?;?;?;?
0.42,14;29;63;21;162;?;?;?
0.41,20;75;17;21;8;?;?;?
0.53,17;21;162;?;?;?;?;?
0.55,14;75;41;17;21;?;?;?
0.49,41;29;212;?;?;?;?;?
0.55,20;14;41;25;17;?;?;?
0.54,29;17;22;?;?;?;?;?
0.42,20;75;29;17;18;?;?;?
0.61,14;75;17;63;?;?;?;?
0.41,41;17;22;18;170;?;?;?
0.41,75;22;170;154;?;?;?;?
0.49,14;88;212;17;?;?;?;?
0.45,14;75;215;?;?;?;?;?
0.43,41;29;22;18;170;?;?;?
0.42,75;21;154;?;?;?;?;?
0.44,14;75;29;22;170;?;?;?
0.4,14;75;29;25;21;162;?;?
0.44,20;14;75;29;212;?;?;?
0.49,41;17;21;116;?;?;?;?
0.41,20;14;29;17;22;?;?;?
0.41,29;28;88;212;21;?;?;?
0.64,14;75;29;21;?;?;?;?
0.55,20;14;41;17;21;?;?;?
0.42,14;75;29;25;8;?;?;?
0.53,20;14;41;29;25;17;?;?
0.4,75;29;17;22;170;?;?;?
0.41,20;14;41;28;88;212;?;?
0.4,41;29;17;170;154;?;?;?
0.52,20;8;116;?;?;?;?;?
0.44,20;75;5;?;?;?;?;?
0.45,14;63;22;?;?;?;?;?
0.7,14;75;29;17;?;?;?;?
0.41,29;63;22;170;154;?;?;?
0.41,41;17;63;21;116;?;?;?
0.41,20;14;75;29;63;8;?;?
0.53,75;41;29;25;17;?;?;?
0.48,20;63;21;162;?;?;?;?
0.41,20;14;75;41;29;8;?;?
0.44,25;17;8;116;?;?;?;?
0.4,20;14;25;63;21;162;?;?
0.41,14;41;29;25;8;?;?;?
0.53,20;14;75;12;?;?;?;?
0.52,29;17;8;116;?;?;?;?
0.42,20;14;41;22;?;?;?;?
0.58,20;14;41;25;63;?;?;?
0.54,29;17;18;?;?;?;?;?
0.63,20;75;63;21;?;?;?;?
0.61,14;75;41;29;17;?;?;?
0.61,41;25;17;21;?;?;?;?
0.41,14;29;25;21;116;?;?;?
0.5,41;25;22;?;?;?;?;?
0.56,20;14;29;63;21;?;?;?
0.43,20;75;25;22;170;?;?;?
0.4,41;25;17;154;?;?;?;?
0.55,75;28;212;?;?;?;?;?
0.43,75;25;22;170;?;?;?;?
0.47,41;29;63;18;?;?;?;?
0.45,14;75;29;63;17;?;?;?
0.53,75;25;17;21;?;?;?;?
0.57,20;14;41;29;63;?;?;?
0.45,41;25;21;8;?;?;?;?
0.55,14;75;41;25;17;?;?;?
0.41,20;14;41;21;162;?;?;?
0.44,29;17;63;21;162;?;?;?
0.43,75;25;17;63;?;?;?;?
0.42,41;28;88;12;?;?;?;?
0.44,14;75;152;?;?;?;?;?
0.42,20;41;63;18;?;?;?;?
0.41,20;14;75;28;88;12;?;?
0.42,75;29;17;22;?;?;?;?
0.41,25;63;17;154;?;?;?;?
0.47,41;29;12;?;?;?;?;?
0.47,14;29;88;212;?;?;?;?
0.49,75;17;8;?;?;?;?;?
0.4,20;75;29;22;18;?;?;?
0.43,14;29;22;18;?;?;?;?
0.43,41;29;17;154;?;?;?;?
0.41,75;41;22;170;?;?;?;?
0.52,29;25;116;?;?;?;?;?
0.46,20;75;29;17;162;?;?;?
0.42,41;152;21;?;?;?;?;?
0.43,29;17;63;8;116;?;?;?
0.51,75;41;29;63;21;?;?;?
0.47,29;22;154;?;?;?;?;?
0.43,20;14;29;12;?;?;?;?
0.41,14;75;41;28;88;212;?;?
0.49,14;29;63;17;?;?;?;?
0.43,20;75;25;17;63;?;?;?
0.44,20;14;75;17;170;?;?;?
0.56,14;75;88;212;?;?;?;?
0.4,75;29;12;212;?;?;?;?
0.53,14;29;17;63;21;?;?;?
0.53,25;17;162;?;?;?;?;?
0.41,14;29;88;212;21;?;?;?
0.46,14;75;17;17;?;?;?;?
0.42,20;14;215;?;?;?;?;?
0.43,14;29;17;21;116;?;?;?
0.42,14;29;25;63;162;?;?;?
0.41,20;17;63;21;162;?;?;?
0.57,20;75;88;?;?;?;?;?
0.43,20;29;63;21;116;?;?;?
0.41,20;75;29;25;170;?;?;?
0.47,20;14;75;88;212;21;?;?
0.41,14;75;29;25;22;?;?;?
0.42,14;75;17;154;?;?;?;?
0.51,63;22;170;?;?;?;?;?
0.42,14;25;63;22;170;?;?;?
0.51,41;29;21;116;?;?;?;?
0.67,20;25;63;21;?;?;?;?
0.74,20;14;75;17;?;?;?;?
0.43,20;14;17;22;170;?;?;?
0.42,14;29;63;170;?;?;?;?
0.42,29;63;22;154;?;?;?;?
0.41,20;25;17;170;?;?;?;?
0.42,20;14;63;21;162;?;?;?
0.44,14;28;88;212;17;?;?;?
0.41,20;75;29;25;63;8;?;?
0.4,17;63;21;17;?;?;?;?
0.42,20;75;29;17;170;?;?;?
0.45,20;75;63;162;?;?;?;?
0.42,20;29;25;18;170;?;?;?
0.41,20;75;21;162;154;?;?;?
0.44,20;63;18;170;?;?;?;?
0.4,14;29;17;21;8;?;?;?
0.53,41;29;170;?;?;?;?;?
0.52,20;14;75;41;25;21;?;?
0.48,41;29;21;17;?;?;?;?
0.5,25;63;116;?;?;?;?;?
0.4,14;29;17;18;170;?;?;?
0.43,20;41;17;18;?;?;?;?
0.58,14;75;29;25;21;?;?;?
0.42,20;75;29;21;116;?;?;?
0.48,20;14;75;29;17;63;21;?
0.48,20;14;22;170;?;?;?;?
0.43,20;75;41;8;?;?;?;?
0.42,14;25;17;8;?;?;?;?
0.47,20;14;63;17;?;?;?;?
0.46,14;25;170;?;?;?;?;?
0.45,41;29;17;17;162;?;?;?
0.44,14;75;17;21;162;?;?;?
0.42,17;63;17;162;?;?;?;?
0.43,20;29;17;18;170;?;?;?
0.47,20;14;75;29;25;17;21;?
0.42,20;14;75;25;63;8;?;?
0.61,14;41;29;25;63;?;?;?
0.48,14;28;212;17;?;?;?;?
0.48,29;25;21;8;?;?;?;?
0.45,20;162;154;?;?;?;?;?
0.57,20;75;29;63;21;?;?;?
0.49,14;75;88;212;21;?;?;?
0.49,29;17;18;170;?;?;?;?
0.4,20;14;41;17;8;?;?;?
0.46,29;88;212;21;?;?;?;?
0.41,17;63;21;8;?;?;?;?
0.43,20;41;212;21;?;?;?;?
0.43,14;75;17;21;116;?;?;?
0.53,75;41;29;17;21;?;?;?
0.43,41;25;63;21;8;?;?;?
0.63,14;41;25;63;?;?;?;?
0.45,41;29;17;18;170;?;?;?
0.45,20;75;25;18;?;?;?;?
0.43,14;75;88;12;?;?;?;?
0.48,75;8;116;?;?;?;?;?
0.55,20;63;17;?;?;?;?;?
0.42,17;21;162;154;?;?;?;?
0.41,20;14;75;25;17;63;?;?
0.42,29;63;17;154;?;?;?;?
0.45,20;14;75;29;8;?;?;?
0.48,20;41;18;?;?;?;?;?
0.46,20;14;75;17;8;?;?;?
0.51,14;75;17;162;?;?;?;?
0.42,20;41;63;162;?;?;?;?
0.49,41;25;116;?;?;?;?;?
0.42,14;75;18;154;?;?;?;?
0.41,20;14;29;63;8;?;?;?
0.42,20;14;75;63;22;?;?;?
0.46,20;75;17;170;?;?;?;?
0.68,14;75;41;?;?;?;?;?
0.41,20;29;25;21;8;?;?;?
0.48,20;14;88;212;21;?;?;?
0.5,14;28;212;21;?;?;?;?
0.52,14;75;22;?;?;?;?;?
0.69,20;14;75;25;?;?;?;?
0.62,14;41;29;21;?;?;?;?
0.72,41;25;21;?;?;?;?;?
0.47,29;28;88;212;?;?;?;?
0.63,20;29;25;63;21;?;?;?
0.41,20;14;75;63;21;162;?;?
0.44,14;75;28;88;212;21;?;?
0.49,14;75;17;8;?;?;?;?
0.54,41;88;212;?;?;?;?;?
0.41,20;14;25;63;170;?;?;?
0.51,20;12;21;?;?;?;?;?
0.49,20;75;29;25;17;21;?;?
0.45,41;17;162;154;?;?;?;?
0.41,14;17;22;18;?;?;?;?
0.46,41;215;152;?;?;?;?;?
0.48,20;25;21;162;?;?;?;?
0.47,41;63;22;170;?;?;?;?
0.44,25;17;18;?;?;?;?;?
0.45,28;88;12;?;?;?;?;?
0.49,41;25;170;?;?;?;?;?
0.5,20;22;18;?;?;?;?;?
0.45,41;29;25;63;22;170;?;?
0.41,29;22;18;154;?;?;?;?
0.85,29;25;63;?;?;?;?;?
0.48,14;41;212;?;?;?;?;?
0.45,20;14;75;29;18;?;?;?
0.63,14;25;63;21;?;?;?;?
0.7,20;25;21;?;?;?;?;?
0.4,14;75;25;63;116;?;?;?
0.55,20;14;88;?;?;?;?;?
0.47,63;21;17;?;?;?;?;?
0.51,41;29;28;?;?;?;?;?
0.51,14;88;21;?;?;?;?;?
0.47,20;28;12;?;?;?;?;?
0.48,14;29;170;?;?;?;?;?
0.42,20;14;75;25;17;162;?;?
0.42,75;29;17;18;?;?;?;?
0.43,41;28;88;212;21;?;?;?
0.42,14;75;29;17;17;?;?;?
0.5,41;29;17;17;?;?;?;?
0.53,20;14;41;29;17;21;?;?
0.49,14;25;8;?;?;?;?;?
0.44,20;75;63;18;?;?;?;?
0.46,41;63;17;162;?;?;?;?
0.47,14;75;88;212;17;?;?;?
0.54,20;75;17;63;21;?;?;?
0.49,29;25;63;21;116;?;?;?
0.61,75;17;63;?;?;?;?;?
0.63,14;75;25;21;?;?;?;?
0.46,20;41;29;17;162;?;?;?
0.42,41;29;25;17;63;21;?;?
0.42,20;75;29;17;17;?;?;?
0.41,20;75;41;29;22;?;?;?
0.45,20;14;29;162;?;?;?;?
0.42,20;75;41;18;?;?;?;?
0.42,20;41;25;22;?;?;?;?
0.41,20;41;29;25;18;?;?;?
0.42,29;25;22;170;154;?;?;?
0.42,14;22;18;170;?;?;?;?
0.42,20;41;25;17;162;?;?;?
0.45,20;14;75;88;212;17;?;?
0.4,20;75;29;28;88;?;?;?
0.42,14;75;41;17;162;?;?;?
0.4,20;14;75;29;17;170;?;?
0.42,29;25;22;18;170;?;?;?
0.46,41;17;18;170;?;?;?;?
0.6,75;41;25;?;?;?;?;?
0.41,25;63;22;18;170;?;?;?
0.4,75;41;17;8;?;?;?;?
0.44,29;25;17;21;116;?;?;?
0.45,20;41;28;88;212;?;?;?
0.43,14;17;18;170;?;?;?;?
0.45,20;14;41;88;212;?;?;?
0.46,20;75;41;17;63;21;?;?
0.47,41;29;17;21;116;?;?;?
0.66,20;14;75;41;?;?;?;?
0.44,20;75;29;88;?;?;?;?
0.5,17;17;162;?;?;?;?;?
0.46,14;75;25;8;?;?;?;?
0.84,41;29;17;?;?;?;?;?
0.4,20;25;17;116;?;?;?;?
0.41,14;17;63;8;?;?;?;?
0.43,41;29;17;162;154;?;?;?
0.43,14;29;17;21;162;?;?;?
0.4,20;152;21;?;?;?;?;?
0.48,41;29;63;162;?;?;?;?
0.49,20;25;18;?;?;?;?;?
0.43,14;25;8;116;?;?;?;?
0.46,29;25;63;21;8;?;?;?
0.42,14;215;152;?;?;?;?;?
0.55,75;41;17;21;?;?;?;?
0.4,20;75;25;17;8;?;?;?
0.59,14;41;17;21;?;?;?;?
0.6,75;25;63;21;?;?;?;?
0.43,14;29;25;22;?;?;?;?
0.51,29;25;21;116;?;?;?;?
0.48,41;29;17;21;162;?;?;?
0.46,20;41;63;17;?;?;?;?
0.52,17;22;170;?;?;?;?;?
0.45,14;17;8;116;?;?;?;?
0.5,14;75;22;170;?;?;?;?
0.5,14;88;17;?;?;?;?;?
0.41,14;75;29;17;170;?;?;?
0.45,14;41;17;162;?;?;?;?
0.41,20;29;25;63;8;116;?;?
0.48,25;63;17;162;?;?;?;?
0.47,14;29;25;63;17;?;?;?
0.44,41;29;28;21;?;?;?;?
0.43,14;41;29;22;?;?;?;?
0.41,14;41;29;28;212;?;?;?
0.65,20;14;29;25;?;?;?;?
0.4,20;41;29;63;170;?;?;?
0.42,75;63;116;?;?;?;?;?
0.45,20;170;154;?;?;?;?;?
0.49,20;63;162;?;?;?;?;?
0.71,41;17;63;?;?;?;?;?
0.4,14;41;88;17;?;?;?;?
0.5,29;17;17;162;?;?;?;?
0.46,14;75;17;22;?;?;?;?
0.5,14;75;212;17;?;?;?;?
0.45,29;12;21;?;?;?;?;?
0.79,29;17;21;?;?;?;?;?
0.42,63;170;154;?;?;?;?;?
0.43,41;25;17;63;21;?;?;?
0.47,17;22;18;?;?;?;?;?
0.43,41;17;63;18;?;?;?;?
0.47,41;28;17;?;?;?;?;?
0.44,20;29;25;116;?;?;?;?
0.59,14;88;212;?;?;?;?;?
0.45,20;63;8;116;?;?;?;?
0.43,29;25;21;8;116;?;?;?
0.68,20;75;41;?;?;?;?;?
0.52,17;8;116;?;?;?;?;?
0.54,41;25;63;17;?;?;?;?
0.42,75;41;12;212;?;?;?;?
0.41,20;14;41;29;18;?;?;?
0.42,20;34;17;?;?;?;?;?
0.74,25;63;21;?;?;?;?;?
0.55,20;29;25;17;21;?;?;?
0.41,20;14;41;22;170;?;?;?
0.52,41;29;116;?;?;?;?;?
0.51,75;21;162;?;?;?;?;?
0.44,14;29;21;17;?;?;?;?
0.43,41;29;162;154;?;?;?;?
0.45,20;22;154;?;?;?;?;?
0.46,25;63;18;170;?;?;?;?
0.41,20;14;28;88;212;17;?;?
0.42,14;75;154;?;?;?;?;?
0.5,41;63;162;?;?;?;?;?
0.44,20;75;29;88;212;?;?;?
0.51,20;75;28;88;212;?;?;?
0.41,20;75;25;63;22;170;?;?
0.45,20;14;75;28;212;21;?;?
0.44,20;25;21;17;?;?;?;?
0.42,20;75;22;18;170;?;?;?
0.43,20;75;29;28;212;?;?;?
0.43,41;29;170;154;?;?;?;?
0.43,20;14;75;29;88;212;?;?
0.41,20;75;41;28;88;?;?;?
0.49,20;41;29;25;17;21;?;?
0.49,20;14;17;162;?;?;?;?
0.46,20;14;41;17;63;21;?;?
0.42,14;75;29;17;18;?;?;?
0.66,20;29;25;21;?;?;?;?
0.41,20;14;29;17;18;?;?;?
0.45,20;75;29;21;162;?;?;?
0.43,14;75;25;63;162;?;?;?
0.53,29;21;8;?;?;?;?;?
0.41,25;63;18;154;?;?;?;?
0.43,14;29;25;17;162;?;?;?
0.6,14;75;41;25;?;?;?;?
0.47,14;25;63;8;?;?;?;?
0.45,14;75;41;212;?;?;?;?
0.47,41;17;17;162;?;?;?;?
0.42,75;162;154;?;?;?;?;?
0.47,20;63;116;?;?;?;?;?
0.41,14;75;29;21;17;?;?;?
0.42,14;75;25;63;18;?;?;?
0.41,20;14;75;41;28;88;?;?
0.4,29;17;63;21;17;?;?;?
0.42,63;21;154;?;?;?;?;?
0.42,20;29;21;17;162;?;?;?
0.41,25;63;21;154;?;?;?;?
0.51,20;17;22;?;?;?;?;?
0.44,17;170;154;?;?;?;?;?
0.41,14;75;29;63;162;?;?;?
0.42,41;29;17;63;18;?;?;?
0.41,20;75;41;28;88;212;?;?
0.4,41;25;21;154;?;?;?;?
0.43,41;29;18;154;?;?;?;?
0.6,14;75;41;63;?;?;?;?
0.43,41;29;154;?;?;?;?;?
0.48,75;88;17;?;?;?;?;?
0.57,14;41;63;21;?;?;?;?
0.42,20;75;29;25;8;?;?;?
0.41,20;41;17;116;?;?;?;?
0.42,25;22;170;154;?;?;?;?
0.45,20;75;25;162;?;?;?;?
0.49,41;25;17;162;?;?;?;?
0.62,20;14;29;25;63;?;?;?
0.46,41;25;63;21;116;?;?;?
0.44,75;25;63;8;?;?;?;?
0.42,20;41;17;22;170;?;?;?
0.46,14;29;25;8;?;?;?;?
0.44,20;41;21;116;?;?;?;?
0.43,20;17;63;8;?;?;?;?
0.42,41;28;88;17;?;?;?;?
0.42,20;14;41;162;?;?;?;?
0.4,75;17;22;18;?;?;?;?
0.44,25;17;22;?;?;?;?;?
0.5,29;25;63;116;?;?;?;?
0.43,14;17;17;162;?;?;?;?
