freq,items
0.43,182;25;63;8
0.43,182;3;127;?
0.48,182;17;4;?
0.47,182;29;17;8
0.55,11;29;25;?
0.55,182;29;8;?
0.53,29;17;4;?
0.48,182;29;63;8
0.48,182;63;4;?
0.54,11;25;63;?
0.46,182;4;127;?
0.73,182;29;63;?
0.53,29;4;127;?
0.42,182;25;63;4
0.43,29;25;3;?
0.43,11;29;25;17
0.5,29;3;127;?
0.51,182;29;1;?
0.54,29;25;8;?
0.51,25;63;8;?
0.55,29;17;8;?
0.44,182;29;17;63
0.4,11;63;8;?
0.44,182;1;4;?
0.4,25;63;3;?
0.46,182;29;127;?
0.42,11;25;8;?
0.44,182;29;4;127
0.46,11;29;25;63
0.41,29;63;1;?
0.45,182;29;25;8
0.45,29;4;19;?
0.47,11;29;4;?
0.45,182;29;17;4
0.54,182;29;25;17
0.4,29;25;19;?
0.57,182;29;25;63
0.58,182;29;4;?
0.45,29;25;63;8
0.41,11;29;3;?
0.61,182;25;17;?
0.73,182;29;17;?
0.4,63;4;127;?
0.51,29;17;63;?
0.49,182;17;8;?
0.41,11;17;8;?
0.65,182;25;63;?
0.43,25;63;17;?
0.42,182;29;3;127
0.41,29;19;127;?
0.68,29;25;63;?
0.4,29;8;8;?
0.51,11;25;17;?
0.48,182;63;8;?
0.64,29;25;17;?
0.42,25;17;4;?
0.44,29;17;3;?
0.43,29;63;19;?
0.45,25;17;8;?
0.57,29;63;8;?
0.42,29;25;63;4
0.4,17;4;127;?
0.46,29;63;3;?
0.44,182;29;25;4
0.45,29;63;17;?
0.42,29;63;127;?
0.47,182;29;63;4
0.55,29;63;4;?
0.59,11;29;63;?
0.48,25;63;4;?
0.47,182;29;19;?
0.5,182;25;8;?
0.44,182;1;8;?
0.49,182;25;4;?
0.41,29;17;19;?
0.58,11;29;17;?
0.52,29;25;4;?
0.7,182;29;25;?
0.46,11;29;8;?
0.42,25;4;127;?
0.5,182;29;3;?
0.41,182;25;3;?
0.48,182;17;63;?
0.4,29;17;127;?
