total,winfreq,items
1,1.0,51;4;63;?;?;?;?
1,1.0,11;12;182;?;?;?;?
2,1.0,3;28;21;?;?;?;?
2,1.0,8;88;4;?;?;?;?
1,1.0,168;19;55;?;?;?;?
1,1.0,51;182;7;?;?;?;?
1,1.0,3;11;5;?;?;?;?
1,1.0,8;1;28;182;?;?;?
1,1.0,8;20;182;63;?;?;?
1,1.0,112;8;19;?;?;?;?
1,1.0,8;12;182;?;?;?;?
1,1.0,8;11;20;?;?;?;?
3,1.0,8;51;7;?;?;?;?
1,1.0,17;34;20;1;127;?;?
1,1.0,168;1;55;4;63;?;?
1,1.0,48;17;182;?;?;?;?
1,1.0,168;1;63;182;55;?;?
1,1.0,3;25;51;?;?;?;?
1,1.0,8;1;63;182;7;?;?
3,1.0,1;6;182;63;?;?;?
2,1.0,168;3;55;?;?;?;?
5,1.0,8;48;182;?;?;?;?
1,1.0,8;1;19;182;55;?;?
1,1.0,25;215;127;?;?;?;?
17,0.88,3;51;7;?;?;?;?
39,0.85,48;1;63;?;?;?;?
12,0.83,168;1;11;55;?;?;?
60,0.8,168;9;127;?;?;?;?
224,0.8,8;17;48;?;?;?;?
5,0.8,168;1;9;?;?;?;?
623,0.78,168;9;11;?;?;?;?
21,0.76,112;8;127;?;?;?;?
4,0.75,34;11;21;?;?;?;?
51,0.75,168;25;9;?;?;?;?
4,0.75,8;182;6;?;?;?;?
4,0.75,17;2;21;?;?;?;?
23,0.74,48;1;4;?;?;?;?
17,0.71,1;11;51;?;?;?;?
16,0.69,8;11;19;55;?;?;?
41,0.68,168;55;127;?;?;?;?
3,0.67,8;152;4;?;?;?;?
85,0.67,3;51;4;?;?;?;?
3,0.67,11;51;182;?;?;?;?
6,0.67,168;21;55;?;?;?;?
3,0.67,28;4;182;1;?;?;?
3,0.67,3;51;182;?;?;?;?
105,0.66,8;51;182;?;?;?;?
718,0.65,1;51;182;?;?;?;?
40,0.65,19;21;55;?;?;?;?
174,0.64,3;116;55;?;?;?;?
94,0.6,116;182;55;?;?;?;?
5,0.6,8;152;182;63;?;?;?
282,0.57,1;182;143;?;?;?;?
14,0.57,152;11;4;?;?;?;?
717,0.55,25;11;12;?;?;?;?
22,0.55,1;2;19;?;?;?;?
87,0.55,112;11;19;?;?;?;?
169,0.54,1;28;21;?;?;?;?
13,0.54,25;143;1;?;?;?;?
549,0.52,8;20;21;?;?;?;?
49,0.51,8;2;127;?;?;?;?
2,0.5,8;28;182;63;?;?;?
24,0.5,63;182;143;?;?;?;?
2,0.5,8;2;4;?;?;?;?
28,0.5,8;19;7;?;?;?;?
2,0.5,168;11;4;55;?;?;?
2,0.5,21;182;7;?;?;?;?
2,0.5,17;20;4;182;1;?;?
4,0.5,2;3;63;?;?;?;?
8,0.5,8;11;28;?;?;?;?
2,0.5,12;3;28;?;?;?;?
2,0.5,8;152;3;?;?;?;?
2,0.5,8;63;4;7;?;?;?
2,0.5,7;17;19;1;?;?;?
12,0.5,1;3;12;?;?;?;?
4,0.5,3;28;182;?;?;?;?
2,0.5,2;4;63;?;?;?;?
4,0.5,11;51;4;?;?;?;?
2,0.5,48;17;1;?;?;?;?
605,0.49,25;5;127;?;?;?;?
160,0.49,8;5;21;?;?;?;?
82,0.48,28;182;127;?;?;?;?
212,0.48,8;25;88;?;?;?;?
13,0.46,4;21;7;?;?;?;?
24,0.46,112;19;182;?;?;?;?
69,0.45,88;25;4;?;?;?;?
30,0.43,8;1;6;?;?;?;?
207,0.43,2;19;21;?;?;?;?
70,0.43,8;36;182;?;?;?;?
120,0.43,168;19;21;?;?;?;?
12,0.42,8;4;28;?;?;?;?
12,0.42,4;28;21;?;?;?;?
5,0.4,1;2;21;?;?;?;?
10,0.4,63;21;7;?;?;?;?
220,0.4,8;2;6;?;?;?;?
5,0.4,8;51;63;?;?;?;?
8,0.38,112;8;11;1;?;?;?
86,0.37,1;168;11;182;25;127;?
64,0.36,20;21;63;?;?;?;?
11,0.36,11;19;28;?;?;?;?
21,0.33,8;3;20;?;?;?;?
3,0.33,168;1;116;?;?;?;?
3,0.33,152;17;19;?;?;?;?
9,0.33,88;1;182;?;?;?;?
3,0.33,9;21;182;?;?;?;?
3,0.33,1;51;7;?;?;?;?
3,0.33,1;34;11;?;?;?;?
6,0.33,25;51;7;?;?;?;?
37,0.32,168;116;182;?;?;?;?
13,0.31,8;34;3;?;?;?;?
13,0.31,1;11;6;?;?;?;?
61,0.31,11;20;182;?;?;?;?
47,0.3,8;34;21;?;?;?;?
65,0.29,162;182;63;?;?;?;?
70,0.29,17;151;1;?;?;?;?
41,0.29,215;182;127;?;?;?;?
7,0.29,34;19;21;?;?;?;?
4,0.25,1;11;20;?;?;?;?
28,0.25,8;17;11;5;?;?;?
12,0.25,28;21;63;?;?;?;?
13,0.23,2;11;6;?;?;?;?
22,0.23,19;36;182;?;?;?;?
9,0.22,1;127;28;25;?;?;?
14,0.21,1;11;182;55;127;63;?
79,0.18,19;1;11;116;182;?;?
65,0.18,25;2;19;?;?;?;?
12,0.17,152;11;3;?;?;?;?
12,0.17,168;1;11;21;?;?;?
6,0.17,9;3;21;?;?;?;?
6,0.17,8;9;21;?;?;?;?
6,0.17,127;1;11;116;63;?;?
14,0.07,11;9;19;?;?;?;?
2,0.0,151;182;63;?;?;?;?
4,0.0,8;1;12;?;?;?;?
1,0.0,8;19;20;?;?;?;?
3,0.0,1;168;11;17;19;182;?
1,0.0,2;11;4;182;?;?;?
2,0.0,11;28;182;?;?;?;?
1,0.0,19;5;182;?;?;?;?
3,0.0,8;25;36;1;?;?;?
1,0.0,4;11;28;?;?;?;?
2,0.0,8;34;11;?;?;?;?
1,0.0,1;19;182;7;?;?;?
2,0.0,19;28;182;?;?;?;?
1,0.0,11;6;182;63;?;?;?
1,0.0,152;11;21;?;?;?;?
1,0.0,12;4;182;?;?;?;?
1,0.0,11;21;5;?;?;?;?
1,0.0,8;17;6;?;?;?;?
1,0.0,88;8;182;?;?;?;?
1,0.0,1;3;4;168;11;182;25
1,0.0,8;25;11;5;?;?;?
1,0.0,19;11;5;?;?;?;?
1,0.0,168;1;21;182;63;?;?
1,0.0,25;4;5;182;?;?;?
2,0.0,17;127;36;1;?;?;?
3,0.0,34;63;182;127;?;?;?
8,0.0,127;11;7;?;?;?;?
2,0.0,11;21;182;55;?;?;?
1,0.0,48;25;182;?;?;?;?
1,0.0,4;21;215;?;?;?;?
1,0.0,12;11;28;?;?;?;?
1,0.0,25;12;182;1;?;?;?
1,0.0,17;19;1;55;9;?;?
1,0.0,8;25;2;182;17;?;?
2,0.0,17;28;21;?;?;?;?
1,0.0,20;4;21;?;?;?;?
1,0.0,8;17;11;1;9;?;?
1,0.0,19;17;11;116;182;?;?
3,0.0,1;3;20;182;?;?;?
1,0.0,1;2;4;29;182;?;?
1,0.0,8;11;182;215;?;?;?
1,0.0,112;1;8;182;63;?;?
2,0.0,17;55;9;182;127;?;?
2,0.0,3;21;55;?;?;?;?
1,0.0,1;3;11;116;182;63;?
2,0.0,152;21;182;63;?;?;?
3,0.0,8;1;11;7;?;?;?
12,0.0,11;34;3;?;?;?;?
2,0.0,8;1;2;11;?;?;?
2,0.0,3;215;63;?;?;?;?
