freq,items
0.51,29;25;17;?
0.44,20;14;17;?
0.43,20;75;212;17
0.4,88;25;24;?
0.4,20;14;75;17
0.44,20;17;24;?
0.48,75;88;212;?
0.5,20;14;75;212
0.45,14;75;88;212
0.42,20;29;22;?
0.4,20;75;56;?
0.5,14;29;17;?
0.42,14;29;63;24
0.55,14;88;212;?
0.55,29;25;24;?
0.46,14;63;24;?
0.5,20;14;24;?
0.41,20;75;25;17
0.53,20;212;24;?
0.52,14;75;25;?
0.5,29;17;24;?
0.44,14;29;25;63
0.48,20;75;88;212
0.42,14;75;212;25
0.42,20;75;22;170
0.4,20;75;212;22
0.41,28;88;212;?
0.41,75;17;24;?
0.43,14;18;170;?
0.44,20;75;18;?
0.49,29;22;170;?
0.45,20;14;75;24
0.46,75;25;63;?
0.44,20;75;29;24
0.52,20;75;17;?
0.45,25;63;24;?
0.42,14;75;28;?
0.52,14;212;24;?
0.4,20;14;29;25
0.43,29;24;123;?
0.41,20;28;63;?
0.41,28;25;24;?
0.4,14;212;22;?
0.53,14;29;25;?
0.45,75;212;25;?
0.46,20;22;170;?
0.4,75;212;22;?
0.4,20;212;22;?
0.43,12;25;24;?
0.57,29;25;63;?
0.46,20;75;25;63
0.42,20;75;18;170
0.47,20;14;25;?
0.46,20;75;22;?
0.45,20;14;63;?
0.4,20;29;18;?
0.44,14;212;63;?
0.42,12;29;25;?
0.41,20;14;29;24
0.43,20;75;170;?
0.41,20;88;63;?
0.48,20;75;88;?
0.41,20;14;75;63
0.53,75;212;24;?
0.41,88;25;63;?
0.4,20;24;123;?
0.43,20;75;29;63
0.43,29;25;22;?
0.44,14;28;24;?
0.4,20;29;17;24
0.43,14;29;25;24
0.49,14;75;212;24
0.44,20;14;75;29
0.44,75;29;25;?
0.45,14;75;88;?
0.43,20;14;75;25
0.42,20;29;63;24
0.42,28;25;63;?
0.4,14;88;25;?
0.45,20;28;212;?
0.43,20;29;25;24
0.43,14;75;25;63
0.43,12;25;63;?
0.45,20;75;212;25
0.47,20;63;24;?
0.41,12;63;24;?
0.41,20;69;123;?
0.41,20;88;25;?
0.42,14;75;18;?
0.46,20;88;212;24
0.4,14;29;22;?
0.45,14;25;17;?
0.44,20;212;63;?
0.41,20;57;123;?
0.59,20;75;24;?
0.43,75;212;17;?
0.5,20;25;63;?
0.43,20;14;212;24
0.42,75;18;170;?
0.44,14;88;212;24
0.42,12;212;63;?
0.43,14;28;212;?
0.55,20;75;29;?
0.63,14;75;212;?
0.53,88;212;24;?
0.52,14;29;24;?
0.42,20;75;57;?
0.42,75;29;17;?
0.41,29;22;18;?
0.4,88;212;22;?
0.56,20;75;25;?
0.42,29;69;123;?
0.52,20;29;63;?
0.44,88;212;63;?
0.51,14;75;29;?
0.43,75;29;63;?
0.4,14;75;170;?
0.5,20;14;29;?
0.57,20;14;75;?
0.43,14;75;22;?
0.49,20;25;24;?
0.43,75;63;24;?
0.66,20;75;212;?
0.56,14;75;24;?
0.45,20;212;25;?
0.43,20;212;17;?
0.4,14;29;17;24
0.45,20;18;170;?
0.41,14;75;25;24
0.42,20;28;25;?
0.44,20;29;25;63
0.4,20;24;24;?
0.43,20;14;28;?
0.53,20;29;25;?
0.43,12;212;25;?
0.48,12;88;212;?
0.46,20;28;24;?
0.44,29;25;63;24
0.44,75;212;63;?
0.41,56;69;123;?
0.43,88;212;17;?
0.51,20;29;17;?
0.42,14;212;17;?
0.44,14;17;24;?
0.45,20;25;17;?
0.5,12;212;24;?
0.44,20;75;25;24
0.53,20;75;212;24
0.43,20;75;63;24
0.44,20;75;29;25
0.57,20;88;212;?
0.46,20;88;24;?
0.49,14;25;63;?
0.45,20;75;28;?
0.4,25;17;24;?
0.41,20;75;17;24
0.52,14;29;63;?
0.41,20;56;69;?
0.42,75;22;170;?
0.41,14;75;29;24
0.49,14;75;17;?
0.44,14;22;170;?
0.45,14;212;25;?
0.41,75;25;17;?
0.44,20;14;88;?
0.4,29;57;24;?
0.44,20;14;88;212
0.44,75;29;24;?
0.41,12;29;24;?
0.4,20;12;212;?
0.44,14;88;24;?
0.43,29;24;24;?
0.54,20;75;63;?
0.54,20;14;212;?
0.41,14;75;212;63
0.42,20;75;69;?
0.53,29;63;24;?
0.45,88;212;25;?
0.44,75;25;24;?
0.42,20;75;29;17
0.54,20;29;24;?
0.5,14;75;63;?
0.41,29;57;123;?
0.48,14;25;24;?
0.41,12;212;17;?
0.44,20;75;212;63
0.41,14;75;29;25
0.48,29;18;170;?
0.44,28;212;24;?
