freq,items
0.48,29;25;61;121;?;?;?;?
0.46,15;41;67;19;?;?;?;?
0.43,29;63;10;19;28;?;?;?
0.58,41;29;28;19;98;?;?;?
0.44,20;15;41;19;19;98;?;?
0.69,29;28;67;67;?;?;?;?
0.45,20;28;10;10;?;?;?;?
0.45,77;28;28;28;?;?;?;?
0.44,41;29;19;67;10;?;?;?
0.41,20;28;178;61;121;?;?;?
0.51,15;41;29;28;28;?;?;?
0.48,41;19;67;10;?;?;?;?
0.42,25;17;63;?;?;?;?;?
0.46,20;15;77;10;67;10;?;?
0.43,15;29;63;67;67;98;?;?
0.45,15;25;63;10;?;?;?;?
0.4,41;10;28;67;10;98;?;?
0.61,29;10;67;19;?;?;?;?
0.42,20;15;77;41;28;10;98;?
0.45,20;15;77;19;28;67;98;?
0.46,15;77;67;10;67;?;?;?
0.41,20;29;63;19;10;67;98;?
0.54,25;19;10;98;?;?;?;?
0.43,20;15;77;41;98;?;?;?
0.54,20;28;67;19;98;?;?;?
0.42,41;27;59;121;?;?;?;?
0.44,20;25;63;28;98;?;?;?
0.42,29;63;28;60;?;?;?;?
0.46,15;28;60;121;?;?;?;?
0.51,25;63;19;98;?;?;?;?
0.57,15;29;63;28;?;?;?;?
0.44,20;15;77;67;28;98;?;?
0.45,77;29;10;67;67;?;?;?
0.47,27;59;121;?;?;?;?;?
0.45,20;77;63;10;?;?;?;?
0.52,20;15;41;25;?;?;?;?
0.57,77;28;10;?;?;?;?;?
0.4,77;25;19;19;98;?;?;?
0.41,20;25;63;10;28;98;?;?
0.44,77;25;10;67;?;?;?;?
0.5,77;29;28;19;?;?;?;?
0.41,20;15;77;41;29;10;10;?
0.44,41;63;19;28;67;98;?;?
0.48,17;10;98;?;?;?;?;?
0.41,20;29;25;63;60;?;?;?
0.5,20;15;29;28;10;?;?;?
0.43,15;41;29;19;10;67;?;?
0.48,20;29;63;28;28;?;?;?
0.43,41;29;25;63;10;10;98;?
0.52,15;77;28;10;67;98;?;?
0.51,41;25;10;10;?;?;?;?
0.56,20;77;19;28;?;?;?;?
0.42,41;27;178;61;129;?;?;?
0.44,20;77;28;10;28;98;?;?
0.56,15;77;19;28;?;?;?;?
0.44,15;77;29;10;67;67;98;?
0.44,20;77;29;10;67;67;98;?
0.48,15;41;25;63;28;?;?;?
0.4,41;29;25;63;28;67;10;?
0.52,77;28;10;28;?;?;?;?
0.54,20;15;67;?;?;?;?;?
0.41,15;77;29;25;28;28;?;?
0.53,41;19;28;19;?;?;?;?
0.6,29;28;121;?;?;?;?;?
0.42,15;41;29;10;67;67;98;?
0.42,15;77;25;98;?;?;?;?
0.41,20;41;25;19;28;?;?;?
0.42,15;29;63;19;10;98;?;?
0.45,20;77;63;19;?;?;?;?
0.45,20;15;77;19;10;28;?;?
0.45,29;28;10;19;67;?;?;?
0.5,20;15;77;41;63;?;?;?
0.66,41;19;19;98;?;?;?;?
0.48,77;29;10;98;?;?;?;?
0.43,15;19;67;19;98;?;?;?
0.41,15;77;41;28;19;67;?;?
0.43,20;41;29;19;28;67;98;?
0.44,25;28;67;28;98;?;?;?
0.44,20;25;63;28;67;98;?;?
0.47,15;29;28;67;19;98;?;?
0.44,20;15;41;28;28;98;?;?
0.48,20;25;67;10;?;?;?;?
0.48,20;77;29;10;67;98;?;?
0.43,20;28;10;10;98;?;?;?
0.46,15;41;29;28;10;98;?;?
0.43,63;67;10;28;?;?;?;?
0.5,29;67;19;67;98;?;?;?
0.51,25;28;10;67;98;?;?;?
0.41,20;29;63;28;28;67;?;?
0.45,41;25;63;67;28;?;?;?
0.43,41;29;27;178;129;?;?;?
0.41,15;77;25;60;?;?;?;?
0.42,20;77;25;67;67;?;?;?
0.51,15;77;29;25;28;?;?;?
0.47,20;15;29;28;28;67;?;?
0.44,29;19;67;10;67;?;?;?
0.63,20;29;25;63;?;?;?;?
0.41,20;29;25;28;28;67;98;?
0.4,20;77;41;67;19;?;?;?
0.55,20;17;28;?;?;?;?;?
0.4,25;63;10;19;28;?;?;?
0.45,15;19;10;19;?;?;?;?
0.42,15;29;63;60;?;?;?;?
0.51,20;77;28;28;67;98;?;?
0.53,20;41;28;178;?;?;?;?
0.54,27;178;60;?;?;?;?;?
0.54,25;63;28;67;?;?;?;?
0.59,29;28;10;19;?;?;?;?
0.44,15;77;41;67;67;98;?;?
0.43,10;19;28;67;98;?;?;?
0.52,63;28;10;67;?;?;?;?
0.45,41;29;63;129;?;?;?;?
0.48,20;15;29;19;98;?;?;?
0.46,20;15;29;67;10;98;?;?
0.45,20;29;28;10;28;67;?;?
0.43,20;15;28;28;28;?;?;?
