total,winfreq,items
1,1.0,60;27;28;?
1,1.0,108;20;94;?
1,1.0,34;214;86;23
13,0.77,34;22;79;?
7,0.71,12;34;20;102
3,0.67,13;214;21;?
43,0.65,36;22;86;?
54,0.65,57;27;108;?
92,0.61,20;60;102;?
53,0.58,31;214;23;?
12,0.58,60;13;23;?
52,0.56,60;12;13;?
2,0.5,36;21;94;?
2,0.5,94;21;102;?
4,0.5,60;28;23;?
2,0.5,27;28;21;?
2,0.5,20;60;4;?
2,0.5,20;22;102;?
27,0.48,60;94;102;?
114,0.48,60;12;28;?
16,0.44,12;94;102;?
13,0.38,36;214;79;?
32,0.38,79;36;23;?
3,0.33,34;94;102;?
12,0.33,20;13;23;?
3,0.33,108;20;4;?
5,0.2,34;21;102;?
1,0.0,12;36;94;23
1,0.0,20;79;12;23
1,0.0,22;94;102;?
1,0.0,60;20;13;?
2,0.0,34;21;79;?
