total,winfreq,items
2,1.0,25;75;36;51;?;?;?
4,1.0,168;12;22;?;?;?;?
1,1.0,34;21;141;?;?;?;?
1,1.0,48;20;149;?;?;?;?
2,1.0,168;1;2;20;48;?;?
1,1.0,168;1;50;141;?;?;?
2,1.0,50;51;22;?;?;?;?
2,1.0,48;21;149;?;?;?;?
1,1.0,17;116;22;?;?;?;?
1,1.0,1;28;141;?;?;?;?
3,1.0,168;1;3;48;?;?;?
1,1.0,28;149;22;?;?;?;?
1,1.0,1;2;51;116;63;?;?
2,1.0,168;147;20;?;?;?;?
2,1.0,18;12;63;?;?;?;?
1,1.0,1;168;41;116;149;20;63
1,1.0,48;1;14;?;?;?;?
1,1.0,41;50;51;116;?;?;?
1,1.0,48;41;2;51;1;?;?
1,1.0,48;2;51;20;?;?;?
1,1.0,18;36;63;?;?;?;?
1,1.0,1;34;149;14;?;?;?
4,1.0,41;3;116;51;63;?;?
27,0.89,48;1;75;?;?;?;?
7,0.86,1;147;20;?;?;?;?
23,0.83,48;2;116;?;?;?;?
74,0.82,51;149;22;?;?;?;?
51,0.8,17;36;141;?;?;?;?
69,0.8,25;170;149;?;?;?;?
5,0.8,168;1;147;?;?;?;?
14,0.79,18;12;149;?;?;?;?
18,0.78,48;51;149;?;?;?;?
84,0.76,17;28;141;?;?;?;?
4,0.75,48;20;21;?;?;?;?
23,0.74,24;2;22;?;?;?;?
104,0.72,48;116;14;?;?;?;?
361,0.72,36;51;28;?;?;?;?
442,0.7,41;149;7;?;?;?;?
60,0.7,3;50;75;?;?;?;?
317,0.68,88;50;51;?;?;?;?
125,0.68,25;21;22;?;?;?;?
59,0.68,51;36;22;?;?;?;?
6,0.67,25;3;36;51;?;?;?
3,0.67,25;2;7;?;?;?;?
57,0.67,50;3;36;?;?;?;?
3,0.67,1;50;51;21;?;?;?
98,0.66,1;41;55;?;?;?;?
23,0.65,41;50;141;1;?;?;?
28,0.64,48;51;21;?;?;?;?
22,0.64,2;14;135;?;?;?;?
14,0.64,212;2;36;?;?;?;?
128,0.64,17;116;141;?;?;?;?
91,0.63,135;116;63;?;?;?;?
13,0.62,20;149;7;?;?;?;?
42,0.62,48;3;116;?;?;?;?
321,0.61,50;3;116;?;?;?;?
77,0.6,17;18;28;?;?;?;?
5,0.6,18;116;63;?;?;?;?
15,0.6,18;36;149;?;?;?;?
309,0.59,25;170;116;?;?;?;?
17,0.59,1;25;141;14;41;?;?
69,0.58,135;14;63;?;?;?;?
7,0.57,25;170;51;?;?;?;?
7,0.57,17;21;7;?;?;?;?
7,0.57,75;149;22;?;?;?;?
88,0.56,17;2;22;?;?;?;?
200,0.55,34;22;14;?;?;?;?
23,0.52,3;212;63;?;?;?;?
4,0.5,116;63;12;41;?;?;?
18,0.5,3;28;21;?;?;?;?
2,0.5,41;50;28;?;?;?;?
10,0.5,25;34;51;116;?;?;?
4,0.5,50;20;141;?;?;?;?
2,0.5,50;18;149;?;?;?;?
2,0.5,28;22;63;?;?;?;?
2,0.5,48;41;116;1;?;?;?
4,0.5,63;21;141;?;?;?;?
2,0.5,36;21;135;?;?;?;?
4,0.5,50;116;14;?;?;?;?
2,0.5,50;3;14;?;?;?;?
2,0.5,170;3;21;?;?;?;?
2,0.5,2;75;7;?;?;?;?
2,0.5,1;147;41;?;?;?;?
26,0.46,88;50;170;?;?;?;?
26,0.46,50;14;22;?;?;?;?
59,0.44,2;116;7;?;?;?;?
9,0.44,25;18;149;?;?;?;?
25,0.44,3;75;36;?;?;?;?
279,0.43,34;12;21;?;?;?;?
23,0.43,17;34;116;149;?;?;?
30,0.43,50;51;36;?;?;?;?
23,0.43,50;116;22;?;?;?;?
5,0.4,24;168;2;?;?;?;?
10,0.4,168;1;50;22;?;?;?
5,0.4,116;36;14;63;?;?;?
47,0.38,50;75;116;?;?;?;?
50,0.38,34;170;63;?;?;?;?
33,0.36,17;36;7;?;?;?;?
98,0.35,50;34;170;?;?;?;?
6,0.33,1;168;41;51;212;25;?
3,0.33,34;141;63;?;?;?;?
3,0.33,36;28;116;?;?;?;?
6,0.33,50;75;34;?;?;?;?
51,0.31,116;50;36;?;?;?;?
90,0.3,88;1;50;?;?;?;?
7,0.29,24;1;20;?;?;?;?
7,0.29,28;51;116;?;?;?;?
14,0.29,24;2;20;?;?;?;?
15,0.27,168;36;212;63;?;?;?
19,0.26,25;2;116;14;?;?;?
35,0.26,88;1;36;63;?;?;?
12,0.25,1;18;14;17;?;?;?
4,0.25,50;51;14;?;?;?;?
4,0.25,50;141;14;?;?;?;?
35,0.23,75;36;21;63;?;?;?
11,0.18,75;21;22;?;?;?;?
6,0.17,50;36;14;?;?;?;?
14,0.14,34;28;50;?;?;?;?
28,0.14,88;17;116;1;?;?;?
17,0.06,1;168;41;212;21;63;?
23,0.04,168;50;36;21;?;?;?
7,0.0,25;75;7;?;?;?;?
1,0.0,34;3;14;63;?;?;?
1,0.0,41;147;20;?;?;?;?
4,0.0,50;18;21;?;?;?;?
3,0.0,2;212;63;?;?;?;?
1,0.0,50;34;149;?;?;?;?
2,0.0,1;170;20;50;?;?;?
2,0.0,51;21;22;?;?;?;?
6,0.0,25;2;36;21;?;?;?
8,0.0,41;50;12;?;?;?;?
1,0.0,1;3;22;?;?;?;?
1,0.0,34;18;14;?;?;?;?
1,0.0,1;2;135;20;41;?;?
1,0.0,12;3;36;?;?;?;?
1,0.0,168;25;34;18;?;?;?
1,0.0,50;51;34;?;?;?;?
1,0.0,3;36;7;?;?;?;?
1,0.0,2;36;7;?;?;?;?
1,0.0,34;75;21;63;?;?;?
1,0.0,34;3;21;63;?;?;?
1,0.0,17;34;75;51;?;?;?
1,0.0,34;51;149;63;?;?;?
2,0.0,1;50;34;21;?;?;?
2,0.0,7;36;63;?;?;?;?
1,0.0,34;116;50;?;?;?;?
1,0.0,8;18;212;?;?;?;?
1,0.0,2;21;7;?;?;?;?
1,0.0,168;36;135;?;?;?;?
2,0.0,50;21;141;?;?;?;?
3,0.0,8;170;14;63;?;?;?
1,0.0,25;12;141;?;?;?;?
1,0.0,168;88;50;?;?;?;?
1,0.0,17;2;7;?;?;?;?
2,0.0,41;170;50;1;?;?;?
4,0.0,88;50;116;?;?;?;?
1,0.0,1;50;21;14;?;?;?
2,0.0,50;212;21;?;?;?;?
6,0.0,8;1;50;18;?;?;?
2,0.0,168;50;21;149;?;?;?
1,0.0,8;1;36;7;?;?;?
2,0.0,1;34;212;63;?;?;?
3,0.0,50;34;22;?;?;?;?
6,0.0,50;75;21;?;?;?;?
1,0.0,168;41;34;212;17;?;?
