total,winfreq,items
1,1.0,59;69;23;?
1,1.0,34;27;23;?
1,1.0,20;182;23;?
2,1.0,28;13;23;?
1,1.0,28;182;22;?
1,1.0,4;20;182;?
2,1.0,34;21;13;?
1,1.0,108;20;13;?
1,1.0,1;182;22;?
2,1.0,27;12;23;?
1,1.0,27;20;13;?
1,1.0,1;34;21;?
1,1.0,4;182;23;?
2,1.0,12;94;23;?
1,1.0,20;21;182;?
65,0.83,1;108;36;?
6,0.83,180;4;23;?
15,0.8,1;21;182;?
9,0.78,34;28;13;?
8,0.75,1;20;22;?
4,0.75,27;36;23;?
18,0.72,12;28;23;?
14,0.71,21;94;23;?
66,0.7,27;4;23;?
13,0.69,1;27;60;?
95,0.68,59;108;69;?
3,0.67,59;4;182;?
6,0.67,1;27;59;?
3,0.67,20;34;4;?
6,0.67,36;27;180;?
3,0.67,180;34;4;?
88,0.65,88;27;180;?
14,0.64,20;28;23;?
36,0.64,34;182;22;?
19,0.63,108;180;13;?
41,0.63,1;27;20;?
27,0.63,28;182;23;?
53,0.58,36;21;13;?
54,0.57,1;34;182;?
7,0.57,1;59;182;?
9,0.56,27;180;13;?
9,0.56,108;27;28;?
31,0.55,34;27;28;?
2,0.5,180;13;22;?
2,0.5,180;60;69;?
2,0.5,27;36;13;?
2,0.5,34;4;94;?
12,0.5,1;34;60;?
4,0.5,60;34;28;?
13,0.46,59;182;94;?
5,0.4,20;182;94;?
5,0.4,59;28;182;?
30,0.37,34;4;182;?
3,0.33,182;94;21;?
3,0.33,1;20;182;?
1,0.0,1;60;20;?
1,0.0,60;36;182;?
1,0.0,12;27;180;?
1,0.0,27;20;22;?
3,0.0,28;60;13;?
1,0.0,20;22;182;?
1,0.0,59;27;28;23
1,0.0,36;60;13;?
