freq,items
0.42,29;60;61;60;?;?;?;?
0.41,182;29;27;60;61;121;?;?
0.52,182;27;61;129;121;?;?;?
0.56,27;28;61;?;?;?;?;?
0.58,182;29;180;59;60;61;?;?
0.49,180;27;28;178;?;?;?;?
0.73,182;178;121;?;?;?;?;?
0.52,29;180;59;28;129;?;?;?
0.57,29;60;61;129;121;?;?;?
0.6,27;28;178;?;?;?;?;?
0.41,182;180;21;?;?;?;?;?
0.74,59;61;129;?;?;?;?;?
0.46,29;180;27;178;61;121;?;?
0.51,29;180;59;27;129;?;?;?
0.45,29;59;27;60;129;?;?;?
0.69,29;178;60;?;?;?;?;?
0.6,180;27;60;?;?;?;?;?
0.41,29;178;61;60;?;?;?;?
0.52,59;178;61;121;?;?;?;?
0.47,182;29;59;27;129;121;?;?
0.56,182;29;59;28;178;?;?;?
0.45,29;180;28;60;121;?;?;?
0.61,182;59;61;129;121;?;?;?
0.46,182;29;180;59;27;61;?;?
0.43,36;129;121;?;?;?;?;?
0.55,182;59;28;60;?;?;?;?
0.55,182;29;180;60;61;121;?;?
0.45,182;180;59;27;28;?;?;?
0.61,29;27;178;61;?;?;?;?
0.44,29;180;27;178;61;129;?;?
0.44,59;27;178;60;121;?;?;?
0.42,182;180;59;27;61;121;?;?
0.63,180;59;178;?;?;?;?;?
0.54,180;27;178;61;?;?;?;?
0.41,29;180;59;178;60;121;?;?
0.62,182;29;180;59;60;121;?;?
0.58,29;59;27;178;121;?;?;?
0.41,28;60;21;?;?;?;?;?
0.43,180;59;28;60;129;?;?;?
0.66,182;28;178;121;?;?;?;?
0.58,182;29;59;27;178;?;?;?
0.44,27;178;121;60;?;?;?;?
0.45,59;178;61;129;121;?;?;?
0.52,180;28;178;129;121;?;?;?
0.41,29;27;28;61;129;?;?;?
0.52,180;59;178;60;?;?;?;?
0.67,59;28;178;?;?;?;?;?
0.61,182;59;28;178;?;?;?;?
0.53,182;180;59;27;121;?;?;?
0.48,182;29;59;178;61;?;?;?
0.68,59;60;61;121;?;?;?;?
0.5,180;28;61;129;?;?;?;?
0.58,178;61;129;121;?;?;?;?
0.58,180;27;61;?;?;?;?;?
0.64,29;180;27;178;?;?;?;?
0.51,182;34;60;?;?;?;?;?
0.53,29;180;178;129;121;?;?;?
0.68,180;27;178;?;?;?;?;?
0.56,182;27;60;121;?;?;?;?
0.66,59;178;121;?;?;?;?;?
0.43,20;129;121;?;?;?;?;?
0.44,182;180;27;60;129;?;?;?
0.46,34;61;129;?;?;?;?;?
0.42,29;180;28;178;61;129;?;?
0.46,59;27;60;61;?;?;?;?
0.48,29;180;27;61;121;?;?;?
0.55,27;178;61;129;121;?;?;?
0.7,182;28;60;?;?;?;?;?
0.45,28;129;60;?;?;?;?;?
0.5,29;27;28;60;?;?;?;?
0.41,29;180;27;61;129;121;?;?
0.44,182;178;60;61;129;?;?;?
0.81,59;129;121;?;?;?;?;?
0.42,182;34;60;129;121;?;?;?
0.57,182;28;60;121;?;?;?;?
0.53,29;27;60;61;?;?;?;?
0.45,182;180;27;61;129;?;?;?
0.43,182;59;27;178;61;129;?;?
0.77,180;59;129;?;?;?;?;?
0.67,180;28;178;?;?;?;?;?
0.56,29;180;28;178;121;?;?;?
0.47,29;180;59;28;178;129;?;?
0.57,182;180;27;178;121;?;?;?
0.8,180;61;121;?;?;?;?;?
0.41,182;59;27;28;60;?;?;?
0.67,182;180;28;?;?;?;?;?
0.46,29;59;28;61;129;?;?;?
0.4,182;59;178;60;129;121;?;?
0.58,182;28;60;129;?;?;?;?
0.56,180;27;178;129;?;?;?;?
0.48,182;29;180;27;178;60;?;?
0.46,180;121;60;?;?;?;?;?
0.43,182;180;27;178;61;129;?;?
0.41,182;121;60;?;?;?;?;?
0.43,29;180;59;27;178;61;121;?
0.67,182;59;27;?;?;?;?;?
0.49,180;27;61;129;?;?;?;?
0.51,29;59;61;60;?;?;?;?
0.51,182;59;27;129;121;?;?;?
0.77,29;60;61;?;?;?;?;?
0.62,59;27;178;121;?;?;?;?
0.42,182;60;60;?;?;?;?;?
0.68,178;61;121;?;?;?;?;?
0.75,29;180;60;129;?;?;?;?
0.72,180;59;129;121;?;?;?;?
0.43,182;59;178;60;121;?;?;?
0.43,29;180;59;27;60;129;?;?
0.59,180;59;60;61;121;?;?;?
0.59,59;28;61;?;?;?;?;?
0.4,182;27;59;?;?;?;?;?
0.57,182;178;61;129;?;?;?;?
0.68,29;28;129;?;?;?;?;?
0.76,59;60;129;121;?;?;?;?
0.6,29;180;27;121;?;?;?;?
0.66,182;29;59;60;121;?;?;?
0.64,29;27;178;60;?;?;?;?
0.54,182;29;180;59;27;178;?;?
0.44,182;180;28;60;121;?;?;?
0.45,182;29;180;59;178;129;121;?
0.55,29;59;27;60;?;?;?;?
0.47,182;29;59;27;28;?;?;?
0.46,182;29;28;61;129;121;?;?
0.44,59;27;61;129;121;?;?;?
0.4,182;180;178;60;129;121;?;?
0.51,182;28;178;61;129;?;?;?
0.49,27;178;60;61;121;?;?;?
