freq,items
0.7,27;27;4;?;?;?;?
0.44,28;178;29;27;4;?;?
0.43,182;27;29;59;?;?;?
0.46,29;180;59;27;94;?;?
0.51,59;86;79;?;?;?;?
0.49,28;27;59;231;?;?;?
0.52,28;178;94;86;79;?;?
0.56,178;79;231;?;?;?;?
0.47,182;28;27;86;?;?;?
0.55,28;27;29;59;?;?;?
0.51,27;86;1;?;?;?;?
0.48,29;27;86;231;?;?;?
0.41,28;178;27;94;4;86;79
0.41,28;27;29;27;86;?;?
0.49,27;180;1;?;?;?;?
0.56,178;4;231;?;?;?;?
0.71,27;27;86;?;?;?;?
0.57,28;178;29;94;?;?;?
0.47,29;94;79;1;?;?;?
0.57,28;79;231;?;?;?;?
0.77,28;27;94;79;?;?;?
0.51,28;27;4;86;231;?;?
0.44,28;94;86;79;231;?;?
0.51,28;27;27;86;79;?;?
0.43,28;178;94;1;?;?;?
0.52,29;94;4;79;?;?;?
0.48,178;27;94;4;86;79;?
0.49,27;29;86;231;?;?;?
0.41,28;180;94;79;?;?;?
0.45,29;59;94;79;?;?;?
0.4,182;28;29;27;?;?;?
0.49,29;180;86;79;?;?;?
0.49,28;29;27;4;86;79;?
0.5,28;27;94;1;?;?;?
0.66,28;178;27;79;?;?;?
0.51,29;180;4;86;?;?;?
0.73,178;4;86;79;?;?;?
0.46,27;29;4;86;231;?;?
0.59,178;27;94;86;79;?;?
0.42,27;29;86;1;?;?;?
0.77,178;94;79;?;?;?;?
0.49,28;27;180;231;?;?;?
0.42,28;180;4;86;79;?;?
0.41,178;180;59;86;79;?;?
0.58,29;59;231;?;?;?;?
0.46,29;27;4;79;231;?;?
0.47,182;28;178;?;?;?;?
0.77,178;27;79;?;?;?;?
0.57,182;4;86;?;?;?;?
0.44,28;27;27;94;86;79;?
0.49,182;178;86;?;?;?;?
0.42,28;178;29;180;231;?;?
0.43,28;29;94;4;79;?;?
0.45,180;59;4;79;?;?;?
0.49,178;59;1;?;?;?;?
0.47,28;27;4;1;?;?;?
0.59,178;29;4;86;79;?;?
0.48,178;79;1;?;?;?;?
0.44,28;29;59;86;?;?;?
0.54,29;4;86;79;231;?;?
0.66,94;86;79;?;?;?;?
0.49,182;29;4;86;?;?;?
0.42,27;94;4;231;?;?;?
0.49,27;27;4;231;?;?;?
0.46,178;27;86;1;?;?;?
0.49,178;180;1;?;?;?;?
0.44,178;180;59;1;?;?;?
0.7,28;29;27;?;?;?;?
0.7,178;27;4;79;?;?;?
0.49,27;178;27;?;?;?;?
0.46,28;59;4;86;?;?;?
0.42,29;180;27;94;79;?;?
0.43,27;29;180;86;?;?;?
0.42,27;180;59;4;86;?;?
0.61,28;178;27;4;79;?;?
0.54,182;86;79;?;?;?;?
0.47,182;178;86;79;?;?;?
0.49,28;29;86;79;231;?;?
0.4,182;86;231;?;?;?;?
0.45,27;59;4;79;?;?;?
0.42,27;178;4;86;79;?;?
0.52,180;27;94;?;?;?;?
0.76,178;27;94;79;?;?;?
0.7,28;178;86;?;?;?;?
0.5,27;59;4;?;?;?;?
0.51,27;94;79;1;?;?;?
0.42,178;29;27;94;4;?;?
0.41,182;29;1;?;?;?;?
0.47,180;59;79;?;?;?;?
0.49,28;27;29;4;79;?;?
0.49,27;29;4;231;?;?;?
0.41,94;4;79;231;?;?;?
0.76,178;4;86;?;?;?;?
0.48,28;178;27;94;231;?;?
0.45,27;180;86;79;?;?;?
0.77,178;4;79;?;?;?;?
0.55,178;94;4;?;?;?;?
0.7,28;29;86;?;?;?;?
0.41,182;28;29;4;?;?;?
0.45,28;29;27;94;231;?;?
0.41,28;29;180;4;86;?;?
0.46,29;59;4;86;79;?;?
0.7,28;27;4;86;79;?;?
0.42,27;180;4;86;79;?;?
0.44,178;29;94;4;?;?;?
0.4,182;27;27;4;79;?;?
0.44,27;29;59;1;?;?;?
0.51,27;4;1;?;?;?;?
0.43,27;27;86;79;1;?;?
0.43,182;27;94;86;?;?;?
0.42,182;28;27;4;86;79;?
0.45,27;27;4;86;79;231;?
0.49,28;27;29;86;79;?;?
0.41,182;29;27;4;?;?;?
0.57,28;4;231;?;?;?;?
0.47,27;4;86;79;1;?;?
0.44,178;29;180;59;231;?;?
0.48,28;27;27;4;86;?;?
0.42,182;94;86;79;?;?;?
0.5,27;4;79;1;?;?;?
0.47,180;59;4;86;?;?;?
0.45,28;180;59;86;?;?;?
0.49,29;86;1;?;?;?;?
0.41,28;29;59;27;94;?;?
0.49,178;180;27;?;?;?;?
0.41,27;29;86;79;1;?;?
0.57,29;86;79;231;?;?;?
0.48,28;29;94;231;?;?;?
0.41,27;29;180;4;86;?;?
0.48,29;59;4;79;?;?;?
0.56,178;27;231;?;?;?;?
0.41,178;180;59;27;94;?;?
0.66,27;94;86;79;?;?;?
0.5,27;27;86;79;231;?;?
0.5,28;4;1;?;?;?;?
0.69,28;27;27;?;?;?;?
0.63,178;29;27;94;?;?;?
0.41,27;27;4;79;1;?;?
0.42,27;29;59;94;?;?;?
0.48,28;27;94;79;1;?;?
0.56,178;27;79;231;?;?;?
0.41,28;29;4;79;1;?;?
0.53,27;29;27;86;79;?;?
0.45,28;29;180;59;231;?;?
0.45,27;180;4;79;?;?;?
0.58,29;86;231;?;?;?;?
0.41,182;28;27;59;?;?;?
0.49,29;180;4;79;?;?;?
0.46,182;28;4;86;?;?;?
0.41,182;27;29;4;?;?;?
0.45,28;27;27;4;86;79;?
0.57,28;27;79;231;?;?;?
0.79,29;86;79;?;?;?;?
0.68,178;27;4;86;?;?;?
0.44,28;178;27;29;?;?;?
0.5,28;180;4;?;?;?;?
0.48,178;29;27;4;86;?;?
0.46,28;27;4;79;1;?;?
0.5,180;59;86;?;?;?;?
0.46,29;180;59;86;79;?;?
0.49,28;178;27;180;?;?;?
0.5,27;29;27;4;86;?;?
0.47,182;28;27;4;?;?;?
0.61,27;94;4;?;?;?;?
0.41,27;29;4;79;1;?;?
0.41,27;180;59;4;79;?;?
0.41,182;28;178;86;79;?;?
0.46,27;27;4;86;231;?;?
0.44,28;180;59;94;?;?;?
0.42,27;29;4;1;?;?;?
0.56,27;94;4;86;?;?;?
0.46,29;4;86;1;?;?;?
0.4,28;29;180;59;1;?;?
0.45,28;178;27;86;79;231;?
0.44,182;178;4;86;79;?;?
0.47,178;27;180;59;?;?;?
0.45,28;59;86;79;?;?;?
0.4,28;29;94;79;1;?;?
0.56,29;94;4;?;?;?;?
0.45,28;29;27;94;79;231;?
0.43,178;27;94;86;79;231;?
0.5,180;59;27;?;?;?;?
0.5,29;59;27;94;?;?;?
0.83,27;86;79;?;?;?;?
0.52,180;4;86;?;?;?;?
0.41,27;29;180;79;?;?;?
0.43,27;29;180;94;?;?;?
0.43,182;27;180;59;?;?;?
0.5,182;27;29;?;?;?;?
0.66,178;29;86;?;?;?;?
0.56,178;94;79;231;?;?;?
0.57,28;178;29;27;?;?;?
0.42,94;4;231;?;?;?;?
0.49,178;4;1;?;?;?;?
0.66,28;29;4;86;?;?;?
0.71,28;180;59;?;?;?;?
0.49,29;27;1;?;?;?;?
0.54,28;178;29;27;94;?;?
0.42,29;180;27;79;?;?;?
0.47,27;27;94;79;1;?;?
0.46,178;29;27;4;86;79;?
0.46,182;29;4;86;79;?;?
0.49,178;29;27;4;79;?;?
0.5,182;29;27;94;?;?;?
0.69,27;29;27;?;?;?;?
0.42,28;29;94;1;?;?;?
0.44,27;180;59;1;?;?;?
0.47,182;178;29;?;?;?;?
0.59,28;178;29;180;?;?;?
0.78,28;27;86;?;?;?;?
0.5,27;180;4;?;?;?;?
0.47,182;28;27;94;79;?;?
0.47,27;178;86;?;?;?;?
0.55,182;27;4;?;?;?;?
0.49,28;180;27;?;?;?;?
0.44,27;180;59;27;?;?;?
0.57,28;178;29;4;?;?;?
0.41,28;29;180;59;4;?;?
0.43,28;180;59;79;?;?;?
0.49,28;178;94;79;231;?;?
0.45,178;27;86;79;1;?;?
0.56,27;4;86;231;?;?;?
0.49,178;27;94;1;?;?;?
0.49,28;180;59;231;?;?;?
0.4,28;178;29;86;79;231;?
0.53,94;4;86;79;?;?;?
0.56,94;4;86;?;?;?;?
0.4,178;180;94;79;?;?;?
0.58,28;27;27;79;?;?;?
0.49,27;180;59;231;?;?;?
0.41,28;178;86;79;1;?;?
0.62,178;94;86;?;?;?;?
0.53,178;4;86;79;231;?;?
0.44,27;29;180;4;?;?;?
0.6,27;4;79;231;?;?;?
0.47,29;4;79;1;?;?;?
0.49,28;29;4;79;231;?;?
0.46,27;180;27;94;?;?;?
0.66,27;29;27;94;?;?;?
0.41,178;59;94;79;?;?;?
0.68,28;178;180;?;?;?;?
0.44,27;29;180;1;?;?;?
0.46,178;59;4;86;?;?;?
0.6,27;86;79;231;?;?;?
0.48,27;29;4;79;231;?;?
0.41,28;27;27;94;4;?;?
0.48,28;86;79;1;?;?;?
0.52,28;29;27;4;79;?;?
0.43,178;29;27;94;79;231;?
0.45,28;94;86;231;?;?;?
0.52,182;178;27;?;?;?;?
0.42,182;28;178;86;?;?;?
0.48,28;178;180;231;?;?;?
0.49,182;27;4;86;79;?;?
0.41,28;29;59;4;86;?;?
0.45,27;178;180;?;?;?;?
0.58,182;27;94;?;?;?;?
0.48,27;59;94;?;?;?;?
0.44,27;29;27;94;79;231;?
0.45,178;29;94;79;231;?;?
0.45,28;180;59;27;?;?;?
0.53,29;59;86;?;?;?;?
0.47,182;178;79;?;?;?;?
0.44,182;27;27;86;?;?;?
0.66,28;29;86;79;?;?;?
0.48,28;29;94;79;231;?;?
0.57,27;27;79;231;?;?;?
0.49,28;178;79;231;?;?;?
0.48,28;178;27;79;231;?;?
0.48,178;94;79;1;?;?;?
0.42,178;59;4;86;79;?;?
0.42,28;178;29;59;231;?;?
0.42,180;59;94;79;?;?;?
0.44,28;29;180;86;?;?;?
0.46,28;178;4;86;79;231;?
0.64,28;178;27;86;?;?;?
0.78,28;27;4;?;?;?;?
0.53,28;94;4;79;?;?;?
0.56,178;94;231;?;?;?;?
0.62,29;27;4;86;?;?;?
0.65,178;27;4;86;79;?;?
0.51,27;29;94;86;?;?;?
0.41,27;29;94;1;?;?;?
0.66,27;29;79;?;?;?;?
0.54,28;178;94;86;?;?;?
0.46,180;59;27;94;?;?;?
0.44,178;94;86;79;231;?;?
0.5,29;59;79;?;?;?;?
0.44,27;27;94;86;79;231;?
0.44,29;4;86;79;1;?;?
0.42,28;27;27;79;231;?;?
0.82,28;27;94;?;?;?;?
0.49,28;59;1;?;?;?;?
0.5,28;86;1;?;?;?;?
0.49,27;29;94;86;79;?;?
0.58,29;79;231;?;?;?;?
0.4,178;29;94;1;?;?;?
0.47,27;178;27;94;?;?;?
0.49,27;29;79;231;?;?;?
0.44,28;29;180;27;?;?;?
0.62,28;29;27;79;?;?;?
0.61,178;27;94;86;?;?;?
0.57,4;86;79;231;?;?;?
0.51,94;79;1;?;?;?;?
0.48,28;178;59;231;?;?;?
0.48,178;86;79;1;?;?;?
0.73,28;27;4;86;?;?;?
0.62,178;29;4;86;?;?;?
0.44,27;178;27;79;?;?;?
0.4,178;180;59;4;79;?;?
0.44,178;180;59;86;?;?;?
0.45,28;178;29;1;?;?;?
0.59,29;27;4;86;79;?;?
0.41,182;29;27;86;79;?;?
0.41,28;29;27;1;?;?;?
0.41,182;27;94;86;79;?;?
0.41,28;178;27;94;79;1;?
0.46,27;59;27;94;?;?;?
0.72,27;29;180;?;?;?;?
0.63,29;27;4;79;?;?;?
0.55,28;27;4;231;?;?;?
0.65,27;29;4;86;?;?;?
0.61,86;79;231;?;?;?;?
0.46,180;59;86;79;?;?;?
0.71,178;27;86;79;?;?;?
0.41,178;29;59;94;?;?;?
0.44,182;28;27;4;86;?;?
0.7,28;178;27;94;?;?;?
0.48,28;178;94;4;?;?;?
0.54,28;178;29;4;79;?;?
0.42,28;180;59;4;86;?;?
0.44,28;178;27;94;4;86;?
0.48,28;27;79;1;?;?;?
0.43,178;29;180;1;?;?;?
0.54,182;4;79;?;?;?;?
0.53,28;29;231;?;?;?;?
0.6,27;27;94;86;79;?;?
0.42,178;29;180;86;?;?;?
0.5,29;180;27;94;?;?;?
0.8,29;27;94;?;?;?;?
0.43,178;180;59;94;?;?;?
0.55,182;27;86;?;?;?;?
0.46,178;180;4;86;?;?;?
0.48,59;4;86;79;?;?;?
0.51,4;79;1;?;?;?;?
0.48,29;79;1;?;?;?;?
0.57,28;86;79;231;?;?;?
0.49,27;27;94;1;?;?;?
0.65,28;29;180;59;?;?;?
0.49,27;59;27;?;?;?;?
0.4,182;28;178;27;79;?;?
0.48,27;27;4;79;231;?;?
0.46,28;29;94;4;?;?;?
0.4,27;94;86;1;?;?;?
0.67,178;29;4;?;?;?;?
0.44,182;178;27;4;?;?;?
0.48,29;94;4;86;79;?;?
0.46,27;180;4;86;?;?;?
0.4,28;178;29;27;94;86;?
0.66,27;27;4;79;?;?;?
0.47,27;180;79;?;?;?;?
0.44,178;180;59;27;?;?;?
0.43,182;94;86;?;?;?;?
0.57,28;27;27;94;79;?;?
0.45,27;29;180;59;231;?;?
0.67,28;178;86;79;?;?;?
0.64,27;29;180;59;?;?;?
0.51,178;29;27;86;79;?;?
0.41,28;29;27;94;4;79;?
0.57,4;86;231;?;?;?;?
0.61,27;94;79;231;?;?;?
0.45,27;29;27;79;231;?;?
0.46,28;59;27;94;?;?;?
0.4,59;79;231;?;?;?;?
0.54,29;180;27;?;?;?;?
0.57,27;59;231;?;?;?;?
0.54,29;180;4;?;?;?;?
0.41,28;59;94;79;?;?;?
0.53,28;178;27;94;86;?;?
0.56,178;86;231;?;?;?;?
0.49,27;180;86;?;?;?;?
0.47,182;28;86;79;?;?;?
0.51,28;27;4;86;79;231;?
0.5,180;4;79;?;?;?;?
0.51,28;178;1;?;?;?;?
0.41,178;29;4;1;?;?;?
0.44,180;27;94;79;?;?;?
0.47,182;28;94;79;?;?;?
0.73,178;27;4;?;?;?;?
0.51,182;4;86;79;?;?;?
0.45,28;180;59;4;?;?;?
0.45,27;178;4;86;?;?;?
0.53,29;180;94;?;?;?;?
0.5,28;178;27;59;?;?;?
0.41,27;29;59;4;86;?;?
0.47,28;178;27;94;4;?;?
0.49,182;29;4;79;?;?;?
0.5,178;29;94;86;?;?;?
0.68,29;27;86;?;?;?;?
0.42,28;29;79;1;?;?;?
0.78,28;86;79;?;?;?;?
0.45,28;178;94;4;79;?;?
0.51,28;29;27;4;86;?;?
0.47,29;180;59;4;86;?;?
0.42,28;29;180;79;?;?;?
0.42,28;178;27;94;1;?;?
0.41,28;178;29;79;231;?;?
0.64,178;29;79;?;?;?;?
0.41,182;28;178;180;?;?;?
0.49,178;59;4;?;?;?;?
0.48,28;27;29;4;86;?;?
0.46,29;27;94;4;86;79;?
0.41,28;180;59;86;79;?;?
0.44,178;180;59;4;?;?;?
0.53,182;28;27;?;?;?;?
0.49,182;29;79;?;?;?;?
0.74,178;27;86;?;?;?;?
0.51,178;27;94;4;79;?;?
0.78,27;27;79;?;?;?;?
0.41,182;28;180;59;?;?;?
0.58,178;29;27;94;79;?;?
0.7,28;29;94;?;?;?;?
0.54,28;4;86;231;?;?;?
0.52,27;29;231;?;?;?;?
0.61,27;29;4;86;79;?;?
0.54,182;94;79;?;?;?;?
0.41,28;29;180;27;94;?;?
0.81,178;27;94;?;?;?;?
0.48,28;79;1;?;?;?;?
0.41,182;178;29;59;?;?;?
0.49,28;180;86;?;?;?;?
0.49,178;86;1;?;?;?;?
0.43,180;59;4;86;79;?;?
0.41,182;27;29;86;?;?;?
0.41,27;29;59;79;?;?;?
0.54,28;27;4;79;231;?;?
0.49,4;86;1;?;?;?;?
0.45,29;27;79;1;?;?;?
0.47,182;27;27;94;79;?;?
0.45,178;29;27;94;86;79;?
0.53,28;27;27;86;?;?;?
0.62,28;178;27;86;79;?;?
0.67,28;178;79;?;?;?;?
0.47,4;86;79;1;?;?;?
0.49,28;178;29;27;94;79;?
0.53,178;29;27;86;?;?;?
0.44,178;59;4;79;?;?;?
0.42,182;178;27;4;79;?;?
0.48,178;94;4;86;79;?;?
0.41,27;59;94;79;?;?;?
0.41,182;28;178;4;79;?;?
0.45,178;4;86;79;1;?;?
0.53,182;29;59;?;?;?;?
0.49,28;178;27;27;?;?;?
0.43,28;178;180;4;?;?;?
0.66,178;29;27;?;?;?;?
0.47,182;178;27;94;79;?;?
0.44,27;178;4;79;?;?;?
0.64,28;27;29;?;?;?;?
0.52,59;27;94;?;?;?;?
0.46,28;29;4;86;79;231;?
0.57,28;94;231;?;?;?;?
0.49,182;28;86;?;?;?;?
0.56,178;4;79;231;?;?;?
0.4,27;29;180;59;86;?;?
0.61,28;94;86;79;?;?;?
0.49,28;59;27;?;?;?;?
