total,winfreq,items
1,1.0,4;178;12;?;?;?
1,1.0,34;59;178;21;?;?
5,1.0,88;27;21;?;?;?
1,1.0,34;22;94;?;?;?
1,1.0,4;12;22;?;?;?
1,1.0,60;59;28;20;?;?
2,1.0,108;36;94;?;?;?
2,1.0,20;21;79;?;?;?
1,1.0,57;59;23;?;?;?
1,1.0,60;59;12;?;?;?
1,1.0,20;86;23;?;?;?
1,1.0,180;34;12;?;?;?
1,1.0,4;34;60;?;?;?
1,1.0,56;59;28;?;?;?
1,1.0,34;12;178;?;?;?
1,1.0,20;22;86;?;?;?
1,1.0,20;178;60;?;?;?
2,1.0,178;108;86;?;?;?
1,1.0,88;178;94;?;?;?
2,1.0,108;28;36;?;?;?
1,1.0,34;28;231;?;?;?
1,1.0,59;27;36;21;23;?
3,1.0,178;60;22;79;?;?
1,1.0,108;34;28;?;?;?
29,0.9,231;28;23;?;?;?
9,0.89,4;36;21;?;?;?
9,0.89,36;178;60;?;?;?
8,0.88,108;27;36;?;?;?
15,0.87,20;28;231;?;?;?
7,0.86,178;12;23;?;?;?
153,0.82,178;21;231;?;?;?
5,0.8,20;178;180;23;?;?
10,0.8,180;178;4;108;?;?
59,0.78,34;22;79;?;?;?
362,0.77,79;20;23;?;?;?
170,0.76,178;12;86;?;?;?
68,0.76,4;12;21;?;?;?
38,0.76,231;21;23;?;?;?
387,0.74,57;180;23;?;?;?
90,0.72,178;108;79;?;?;?
28,0.71,36;180;108;?;?;?
46,0.7,12;94;23;?;?;?
27,0.7,88;180;21;?;?;?
104,0.69,34;178;231;?;?;?
45,0.67,34;60;94;?;?;?
15,0.67,178;20;22;?;?;?
9,0.67,20;12;94;?;?;?
3,0.67,34;12;79;?;?;?
3,0.67,180;34;27;108;?;?
3,0.67,20;12;4;?;?;?
44,0.66,88;180;79;?;?;?
77,0.66,178;12;22;?;?;?
155,0.66,34;178;22;?;?;?
272,0.65,20;59;12;?;?;?
138,0.62,56;180;28;?;?;?
55,0.62,20;12;22;?;?;?
35,0.6,34;20;231;?;?;?
12,0.58,57;27;28;59;?;?
9,0.56,34;21;79;?;?;?
2,0.5,34;60;178;23;?;?
14,0.5,34;12;21;?;?;?
14,0.5,34;94;23;?;?;?
2,0.5,60;20;79;?;?;?
20,0.5,178;59;36;23;?;?
2,0.5,28;21;231;?;?;?
26,0.5,57;28;23;?;?;?
23,0.48,88;178;59;?;?;?
39,0.46,178;59;36;79;?;?
7,0.43,178;20;21;?;?;?
5,0.4,4;60;12;?;?;?
3,0.33,20;12;60;?;?;?
6,0.33,20;178;12;?;?;?
5,0.2,12;21;23;?;?;?
3,0.0,4;36;23;?;?;?
1,0.0,79;178;59;22;23;?
1,0.0,88;178;21;?;?;?
2,0.0,12;27;60;?;?;?
2,0.0,59;12;23;?;?;?
2,0.0,178;12;94;?;?;?
1,0.0,60;12;21;?;?;?
1,0.0,12;180;21;?;?;?
1,0.0,59;12;22;?;?;?
1,0.0,34;59;60;178;?;?
1,0.0,28;59;36;21;?;?
5,0.0,79;178;180;21;23;60
