total,winfreq,items
1,1.0,1;60;201;?
3,1.0,27;36;77;?
3,1.0,1;34;27;?
2,1.0,1;202;34;?
2,1.0,36;60;23;?
2,1.0,1;34;28;?
1,1.0,1;203;36;?
2,1.0,1;34;60;?
3,1.0,104;34;60;?
4,0.75,1;20;108;?
64,0.72,1;180;22;?
19,0.68,1;28;15;?
171,0.68,1;203;180;?
3,0.67,1;59;60;21
9,0.67,1;28;23;?
35,0.66,1;77;21;?
76,0.64,180;34;204;?
191,0.63,1;34;182;?
188,0.6,1;27;20;?
5,0.6,201;34;21;?
25,0.6,1;36;28;?
115,0.57,201;60;21;?
28,0.57,20;27;28;?
58,0.55,34;180;22;?
53,0.55,180;204;37;?
11,0.55,104;180;108;?
111,0.53,180;203;28;?
131,0.52,104;27;180;?
103,0.52,34;108;15;?
8,0.5,36;27;180;23
4,0.5,1;34;77;?
4,0.5,34;27;28;?
67,0.49,41;202;180;?
66,0.48,57;59;20;?
74,0.47,180;28;36;?
13,0.46,59;102;15;?
11,0.45,201;28;36;?
9,0.44,201;180;60;?
28,0.43,28;27;180;?
19,0.42,1;182;15;?
12,0.42,1;36;77;?
17,0.41,201;59;21;?
5,0.4,1;20;28;?
10,0.4,60;36;77;?
22,0.36,202;180;13;?
9,0.33,1;59;28;?
3,0.33,34;20;21;22
10,0.3,41;180;201;?
7,0.29,202;28;13;?
24,0.25,34;77;182;?
12,0.17,36;203;180;?
7,0.14,36;182;23;?
1,0.0,36;28;23;?
1,0.0,34;22;15;?
1,0.0,180;60;36;?
1,0.0,104;60;180;21
1,0.0,202;28;34;?
4,0.0,104;34;28;?
1,0.0,180;36;182;?
1,0.0,34;28;15;?
2,0.0,1;36;60;?
