total,winfreq,items
1,1.0,51;3;21;?
2,1.0,34;154;55;?
1,1.0,164;116;182;?
1,1.0,112;41;116;?
1,1.0,112;34;11;?
1,1.0,8;19;20;21
1,1.0,8;27;182;?
1,1.0,112;162;182;?
1,1.0,170;13;55;?
1,1.0,162;34;6;?
1,1.0,73;162;34;?
1,1.0,41;162;182;?
1,1.0,164;116;73;?
1,1.0,9;26;13;?
1,1.0,51;149;63;?
1,1.0,36;116;215;?
1,1.0,3;4;6;?
6,1.0,112;2;182;?
1,1.0,73;11;55;?
1,1.0,26;4;2;?
2,1.0,1;11;36;?
1,1.0,11;13;182;?
2,1.0,34;164;18;?
1,1.0,162;5;182;?
2,1.0,164;162;116;?
2,1.0,178;21;6;?
1,1.0,27;28;182;63
1,1.0,9;26;36;?
1,1.0,2;3;4;?
1,1.0,3;11;55;?
1,1.0,51;20;6;?
2,1.0,2;5;21;?
1,1.0,4;26;116;?
1,1.0,28;116;63;?
15,0.87,152;8;55;?
13,0.85,11;22;55;?
32,0.84,73;164;4;?
12,0.83,18;36;55;?
38,0.76,9;162;36;?
4,0.75,5;6;55;?
80,0.71,9;11;13;?
172,0.7,112;26;11;?
44,0.7,4;36;182;?
37,0.68,154;164;55;?
3,0.67,34;19;21;?
9,0.67,154;11;6;?
33,0.67,51;3;20;?
3,0.67,11;116;215;?
6,0.67,8;28;182;?
6,0.67,41;2;36;?
3,0.67,116;20;22;?
3,0.67,11;34;3;?
9,0.67,2;164;13;?
11,0.64,1;116;63;?
48,0.63,170;164;13;?
28,0.61,26;182;55;?
36,0.61,8;162;4;?
43,0.6,162;13;215;?
5,0.6,162;11;4;?
10,0.6,4;13;182;?
5,0.6,164;13;55;?
37,0.59,34;3;116;?
9,0.56,3;116;55;?
66,0.55,8;1;20;?
15,0.53,8;9;182;?
19,0.53,8;154;26;?
2,0.5,9;182;41;?
6,0.5,26;18;55;?
2,0.5,11;28;182;?
22,0.5,36;162;164;?
2,0.5,9;2;6;?
6,0.5,26;5;182;?
6,0.5,34;164;182;?
2,0.5,152;162;26;?
4,0.5,112;20;6;?
2,0.5,3;51;6;?
2,0.5,26;36;55;?
2,0.5,36;116;182;?
6,0.5,41;2;63;?
37,0.49,20;27;28;?
75,0.48,41;26;182;?
9,0.44,8;51;21;?
112,0.43,19;36;13;?
37,0.43,36;116;5;?
7,0.43,41;2;26;?
19,0.42,8;3;6;?
87,0.4,8;6;215;?
5,0.4,162;13;182;?
5,0.4,34;164;13;?
8,0.38,8;18;13;?
14,0.36,152;11;182;?
29,0.34,164;20;4;?
15,0.33,164;3;4;?
3,0.33,2;36;26;?
3,0.33,178;11;21;?
21,0.33,20;5;182;?
3,0.33,8;9;164;?
3,0.33,2;13;21;?
3,0.33,8;1;11;?
19,0.32,41;116;182;?
10,0.3,41;162;11;?
7,0.29,36;164;13;?
8,0.25,41;11;6;?
8,0.25,26;2;182;?
4,0.25,5;13;21;?
7,0.14,152;41;34;?
8,0.13,152;11;13;?
10,0.1,27;182;6;?
1,0.0,9;55;116;36
5,0.0,116;13;182;?
1,0.0,154;11;116;?
3,0.0,73;19;4;?
2,0.0,8;182;151;?
2,0.0,26;116;13;?
1,0.0,3;4;21;?
1,0.0,73;34;41;?
1,0.0,73;2;26;?
1,0.0,152;162;55;?
1,0.0,8;41;13;?
1,0.0,3;11;116;?
1,0.0,73;11;116;?
1,0.0,27;21;182;?
1,0.0,8;11;164;55
1,0.0,73;182;41;?
1,0.0,170;20;13;?
1,0.0,34;11;22;?
1,0.0,41;4;116;?
1,0.0,41;215;55;?
1,0.0,8;27;20;?
1,0.0,26;11;151;?
1,0.0,36;13;55;?
1,0.0,162;4;34;?
12,0.0,34;11;215;?
2,0.0,26;11;28;?
1,0.0,116;34;11;164
1,0.0,2;5;6;?
1,0.0,25;20;149;?
1,0.0,8;18;11;?
1,0.0,164;116;36;?
1,0.0,17;164;151;?
1,0.0,11;19;13;?
3,0.0,41;182;215;?
1,0.0,8;18;36;?
2,0.0,26;116;5;?
3,0.0,9;6;41;?
1,0.0,2;13;182;?
1,0.0,41;11;5;?
1,0.0,2;5;182;?
2,0.0,26;28;63;?
4,0.0,164;21;151;?
1,0.0,9;11;36;?
1,0.0,34;11;2;6
1,0.0,73;162;41;?
3,0.0,162;13;6;?
1,0.0,1;36;21;?
1,0.0,154;11;13;?
7,0.0,21;166;63;?
1,0.0,51;11;20;?
2,0.0,34;162;182;?
