total,winfreq,items
1,1.0,1;20;28;?;?
1,1.0,27;31;34;59;23
1,1.0,34;180;102;31;?
2,1.0,59;20;13;?;?
2,1.0,57;34;215;?;?
1,1.0,57;27;36;?;?
1,1.0,57;254;23;?;?
1,1.0,4;254;23;?;?
1,1.0,178;34;215;?;?
1,1.0,34;13;23;?;?
1,1.0,57;34;27;23;?
1,1.0,28;86;94;?;?
2,1.0,1;28;31;?;?
2,1.0,57;27;59;23;?
1,1.0,57;34;27;59;?
3,1.0,1;34;27;180;?
1,1.0,20;178;12;?;?
1,1.0,59;27;28;4;?
2,1.0,57;34;180;23;?
1,1.0,31;214;23;?;?
1,1.0,20;13;23;?;?
1,1.0,20;4;31;?;?
37,0.81,57;59;31;?;?
20,0.8,34;59;92;?;?
5,0.8,34;92;31;?;?
13,0.77,36;28;1;?;?
21,0.76,56;57;27;?;?
8,0.75,92;180;23;?;?
18,0.72,57;27;28;59;?
10,0.7,180;4;23;?;?
128,0.68,1;215;23;?;?
497,0.67,1;28;215;?;?
15,0.67,1;59;28;?;?
319,0.66,34;94;23;?;?
74,0.66,178;214;23;?;?
50,0.66,36;180;86;?;?
377,0.65,180;4;31;?;?
133,0.65,178;215;23;?;?
24,0.63,59;28;86;?;?
8,0.63,28;20;102;?;?
16,0.63,59;36;215;23;?
353,0.62,57;20;23;?;?
77,0.62,23;214;215;?;?
13,0.62,57;59;28;23;?
5,0.6,59;13;215;?;?
5,0.6,34;178;23;?;?
5,0.6,34;28;94;?;?
39,0.59,1;36;23;?;?
64,0.59,1;180;23;?;?
22,0.59,57;27;254;?;?
173,0.59,56;57;59;?;?
24,0.58,34;59;102;254;?
118,0.58,1;34;180;215;?
512,0.57,36;180;13;?;?
75,0.57,20;28;4;?;?
119,0.57,57;59;36;?;?
14,0.57,92;27;36;?;?
11,0.55,4;28;254;?;?
218,0.54,180;92;31;?;?
281,0.54,178;20;215;?;?
145,0.54,4;94;23;?;?
58,0.53,28;94;31;?;?
45,0.51,27;59;92;?;?
2,0.5,34;4;215;?;?
2,0.5,36;13;254;?;?
2,0.5,1;59;20;254;?
126,0.49,180;20;102;31;?
35,0.49,36;214;215;?;?
17,0.47,59;13;254;?;?
30,0.47,56;180;31;?;?
13,0.46,1;28;23;?;?
78,0.44,28;13;254;?;?
9,0.44,31;94;23;?;?
7,0.43,1;59;20;31;?
23,0.43,178;36;214;?;?
10,0.4,34;178;31;?;?
5,0.4,28;94;23;?;?
22,0.36,36;12;23;?;?
9,0.33,59;27;28;254;?
6,0.33,20;4;215;?;?
6,0.33,4;28;23;?;?
3,0.33,59;20;86;?;?
10,0.3,28;254;102;?;?
4,0.25,20;254;214;?;?
4,0.25,34;27;92;?;?
5,0.2,27;13;23;?;?
1,0.0,23;12;215;?;?
3,0.0,36;94;31;?;?
1,0.0,34;12;23;?;?
1,0.0,28;4;215;?;?
1,0.0,28;59;20;215;?
1,0.0,28;34;4;?;?
2,0.0,178;12;23;?;?
1,0.0,34;27;13;?;?
1,0.0,59;20;102;215;?
1,0.0,180;13;23;?;?
1,0.0,20;12;23;?;?
2,0.0,57;36;215;?;?
3,0.0,56;27;31;?;?
1,0.0,56;57;31;?;?
1,0.0,27;4;215;?;?
1,0.0,28;180;254;23;?
2,0.0,1;34;27;28;?
