total,winfreq,items
1,1.0,59;28;102;?
1,1.0,59;34;27;60
1,1.0,20;60;28;?
1,1.0,180;60;102;?
1,1.0,27;59;13;23
2,1.0,1;27;22;?
1,1.0,27;180;22;?
1,1.0,60;59;28;?
204,0.7,108;27;180;?
3,0.67,34;21;102;?
9,0.67,27;28;13;?
15,0.67,60;13;23;?
21,0.67,180;28;60;?
3,0.67,60;36;13;?
112,0.65,60;34;28;?
338,0.64,1;13;102;?
635,0.64,27;20;22;?
88,0.63,31;180;23;?
25,0.6,36;28;102;?
19,0.58,1;27;28;?
33,0.58,57;34;20;?
183,0.56,28;27;180;?
374,0.56,34;31;23;?
9,0.56,27;36;21;?
169,0.56,57;34;59;?
127,0.56,1;27;60;?
99,0.55,60;180;13;?
413,0.54,73;180;1;?
39,0.54,1;28;13;?
17,0.53,34;180;254;?
17,0.53,57;59;28;?
23,0.52,73;36;1;?
4,0.5,57;34;23;?
6,0.5,1;27;21;?
8,0.5,1;28;102;?
131,0.49,36;180;254;?
356,0.49,20;34;92;?
23,0.48,1;21;102;?
15,0.47,31;20;23;?
70,0.46,28;13;102;?
11,0.45,59;36;215;?
14,0.43,28;27;60;?
14,0.43,20;60;102;?
60,0.4,73;36;23;?
59,0.39,1;27;13;?
34,0.35,36;21;102;?
3,0.33,34;28;102;?
6,0.33,34;13;102;?
18,0.28,20;13;102;?
12,0.25,59;34;27;13
4,0.25,60;21;102;?
4,0.25,180;27;20;13
8,0.25,57;59;20;?
4,0.25,180;36;13;28
6,0.17,1;34;59;28
8,0.13,20;180;254;?
11,0.09,59;21;102;?
1,0.0,1;59;28;20
1,0.0,34;60;102;?
2,0.0,60;28;23;?
1,0.0,1;20;13;23
1,0.0,180;13;102;?
1,0.0,1;180;28;23
1,0.0,28;20;102;?
3,0.0,180;34;92;?
1,0.0,1;180;13;23
