total,winfreq,items
4,1.0,17;4;102;?
1,1.0,12;21;22;?
1,1.0,17;27;14;?
6,1.0,32;17;27;?
1,1.0,34;59;28;?
1,1.0,17;12;102;?
3,1.0,88;4;23;?
1,1.0,17;75;22;?
1,1.0,34;12;22;?
6,1.0,187;12;14;?
3,1.0,180;28;23;?
1,1.0,88;34;23;?
1,1.0,12;20;21;28
2,1.0,34;229;63;?
1,1.0,17;27;215;?
1,1.0,22;14;63;?
2,1.0,88;27;187;?
1,1.0,25;187;14;?
1,1.0,17;20;21;22
2,1.0,36;229;63;?
11,0.82,34;27;31;?
5,0.8,12;21;23;?
149,0.76,34;12;21;?
8,0.75,75;22;63;?
16,0.75,34;12;94;?
32,0.75,34;12;229;?
12,0.75,17;36;21;?
45,0.71,88;187;23;?
7,0.71,180;34;4;?
28,0.71,25;36;22;?
14,0.71,36;22;14;?
172,0.7,17;27;229;?
16,0.69,36;21;22;?
19,0.68,28;36;22;?
3,0.67,34;59;23;?
6,0.67,8;20;63;?
3,0.67,25;187;12;?
27,0.67,27;4;215;?
9,0.67,12;36;102;?
34,0.65,34;4;14;?
162,0.65,34;27;215;?
352,0.64,88;27;36;?
94,0.64,17;36;229;?
136,0.63,180;28;36;?
83,0.63,187;12;102;?
8,0.63,32;20;102;?
47,0.62,27;4;14;?
26,0.62,27;36;13;?
126,0.62,12;22;63;?
36,0.61,8;28;63;?
5,0.6,88;17;187;?
20,0.6,36;28;13;?
10,0.6,20;21;23;?
30,0.6,180;20;23;?
68,0.59,17;18;28;?
78,0.59,28;27;180;?
12,0.58,27;4;31;?
12,0.58,27;28;13;?
24,0.58,180;4;23;?
7,0.57,17;34;215;?
21,0.57,36;102;63;?
217,0.56,17;75;4;?
22,0.55,31;27;215;?
22,0.55,88;22;14;?
26,0.54,187;20;31;?
66,0.53,25;21;23;?
19,0.53,34;28;215;?
25,0.52,17;4;215;?
55,0.51,88;17;23;?
2,0.5,17;28;215;?
4,0.5,12;21;63;?
2,0.5,28;21;23;?
2,0.5,17;34;22;?
4,0.5,32;36;63;?
2,0.5,25;36;14;?
6,0.5,34;20;254;?
14,0.5,17;20;215;?
51,0.47,25;187;102;?
28,0.46,34;14;63;?
11,0.45,17;21;23;?
16,0.44,21;22;63;?
28,0.43,180;4;36;?
10,0.4,180;187;20;?
20,0.4,88;75;27;?
10,0.4,34;28;21;?
18,0.39,215;4;31;?
17,0.35,34;28;214;?
6,0.33,25;170;20;?
3,0.33,36;28;31;?
6,0.33,28;21;63;?
5,0.2,25;18;28;?
2,0.0,17;34;27;4
1,0.0,28;23;36;63
1,0.0,32;17;88;?
5,0.0,34;4;94;?
1,0.0,20;34;28;13
1,0.0,34;28;22;?
1,0.0,20;170;28;29
1,0.0,34;229;23;?
1,0.0,17;27;187;23
2,0.0,25;34;4;23
2,0.0,27;20;13;?
2,0.0,88;27;63;?
2,0.0,88;32;187;?
1,0.0,88;25;27;?
2,0.0,27;28;215;?
1,0.0,88;4;63;?
2,0.0,32;34;102;?
1,0.0,17;75;27;?
1,0.0,88;17;36;63
1,0.0,4;12;94;?
1,0.0,20;28;94;?
2,0.0,32;63;23;?
