total,winfreq,items
1,1.0,34;31;23;?;?
1,1.0,20;60;94;?;?
1,1.0,36;59;28;?;?
1,1.0,20;34;28;23;?
1,1.0,59;27;13;23;?
1,1.0,4;60;22;?;?
2,1.0,20;28;13;?;?
1,1.0,20;21;94;?;?
10,0.8,34;21;102;?;?
5,0.8,4;60;20;?;?
185,0.79,27;4;22;?;?
85,0.78,31;27;23;?;?
51,0.76,59;22;102;?;?
4,0.75,60;21;86;23;?
148,0.75,20;22;102;?;?
260,0.72,34;60;94;?;?
134,0.72,59;215;23;?;?
19,0.68,27;180;215;?;?
43,0.67,180;28;36;?;?
3,0.67,36;4;23;?;?
6,0.67,34;79;20;23;?
6,0.67,180;27;36;22;?
27,0.67,27;20;13;23;?
239,0.66,23;27;215;?;?
43,0.65,60;13;23;?;?
38,0.63,28;27;180;?;?
135,0.63,59;28;13;?;?
97,0.62,180;60;13;?;?
340,0.62,20;27;28;?;?
20,0.6,23;36;31;?;?
17,0.59,34;27;28;?;?
9,0.56,36;28;23;?;?
115,0.56,23;36;79;?;?
65,0.55,34;27;215;?;?
11,0.55,34;23;180;79;?
2,0.5,59;94;22;23;?
2,0.5,28;13;23;?;?
2,0.5,60;180;21;79;?
2,0.5,36;60;13;?;?
66,0.47,73;34;59;?;?
39,0.44,180;36;254;?;?
7,0.43,36;4;21;?;?
5,0.4,180;34;28;?;?
16,0.38,23;180;21;79;?
25,0.36,34;27;31;?;?
9,0.33,27;36;13;?;?
15,0.33,20;60;102;?;?
3,0.33,20;180;28;23;?
7,0.29,60;180;21;102;?
7,0.29,36;28;13;?;?
7,0.29,23;59;60;79;?
20,0.2,36;21;102;?;?
2,0.0,23;36;215;?;?
1,0.0,36;21;94;?;?
2,0.0,34;60;102;?;?
1,0.0,59;36;13;23;?
1,0.0,20;21;102;?;?
3,0.0,27;28;13;?;?
1,0.0,180;34;27;108;?
2,0.0,31;27;215;?;?
1,0.0,22;60;21;94;23
1,0.0,27;20;31;?;?
1,0.0,59;27;36;21;60
