total,winfreq,items
1,1.0,168;6;63;?;?;?
1,1.0,208;63;55;?;?;?
1,1.0,8;21;54;?;?;?
1,1.0,154;11;54;182;?;?
1,1.0,63;143;6;55;?;?
1,1.0,34;11;21;?;?;?
1,1.0,65;4;21;?;?;?
2,1.0,9;50;162;?;?;?
1,1.0,2;55;166;143;?;?
1,1.0,8;154;63;7;?;?
1,1.0,4;54;22;?;?;?
2,1.0,11;2;51;182;?;?
1,1.0,65;162;54;?;?;?
1,1.0,2;11;22;63;?;?
1,1.0,168;63;7;?;?;?
1,1.0,8;4;63;?;?;?
1,1.0,162;54;55;?;?;?
9,0.78,208;22;55;?;?;?
196,0.77,11;4;54;?;?;?
4,0.75,168;162;7;?;?;?
4,0.75,168;6;55;?;?;?
15,0.73,9;54;7;?;?;?
18,0.72,54;6;21;?;?;?
92,0.72,8;2;54;?;?;?
31,0.68,8;9;11;?;?;?
255,0.65,17;182;135;?;?;?
104,0.65,112;22;151;?;?;?
16,0.63,208;11;63;?;?;?
45,0.62,34;6;7;?;?;?
5,0.6,208;2;18;?;?;?
41,0.59,34;21;143;?;?;?
48,0.58,112;50;22;?;?;?
84,0.58,18;166;63;?;?;?
54,0.57,11;182;158;?;?;?
7,0.57,9;50;65;?;?;?
49,0.55,151;166;143;?;?;?
30,0.53,8;50;170;?;?;?
19,0.53,181;6;143;?;?;?
17,0.53,112;6;63;?;?;?
109,0.52,20;6;143;?;?;?
2,0.5,181;6;55;?;?;?
2,0.5,2;181;182;63;?;?
6,0.5,208;182;6;?;?;?
2,0.5,34;20;63;?;?;?
2,0.5,54;22;63;?;?;?
171,0.5,168;11;63;?;?;?
2,0.5,154;4;6;?;?;?
4,0.5,34;21;7;?;?;?
2,0.5,63;181;143;?;?;?
4,0.5,50;55;18;7;?;?
2,0.5,11;181;143;?;?;?
4,0.5,25;20;143;?;?;?
8,0.5,112;162;63;?;?;?
2,0.5,162;4;63;?;?;?
10,0.5,50;11;54;?;?;?
2,0.5,20;22;182;?;?;?
2,0.5,7;162;55;63;?;?
41,0.49,25;11;135;?;?;?
19,0.47,8;162;4;?;?;?
103,0.44,21;6;181;?;?;?
9,0.44,65;63;55;?;?;?
21,0.43,9;21;65;?;?;?
23,0.43,65;18;55;?;?;?
7,0.43,2;170;166;?;?;?
20,0.4,168;182;63;?;?;?
5,0.4,166;6;63;?;?;?
14,0.36,168;2;143;?;?;?
3,0.33,168;2;21;?;?;?
3,0.33,162;181;143;?;?;?
3,0.33,11;21;181;?;?;?
3,0.33,65;50;55;?;?;?
3,0.33,18;54;63;?;?;?
3,0.33,4;21;151;?;?;?
16,0.31,20;21;63;?;?;?
17,0.29,154;2;181;?;?;?
55,0.27,65;63;151;?;?;?
8,0.25,11;166;63;?;?;?
4,0.25,65;6;22;?;?;?
4,0.25,9;2;63;?;?;?
21,0.24,50;4;6;?;?;?
22,0.23,65;154;6;?;?;?
35,0.23,25;34;11;?;?;?
22,0.23,50;11;18;6;?;?
18,0.22,18;151;182;63;?;?
5,0.2,63;11;182;22;143;?
5,0.2,63;162;11;151;?;?
15,0.2,18;20;143;?;?;?
16,0.19,65;21;63;?;?;?
17,0.18,18;181;63;?;?;?
6,0.17,11;20;7;?;?;?
6,0.17,50;7;21;151;?;?
7,0.14,2;36;182;?;?;?
7,0.14,22;166;151;?;?;?
8,0.13,2;20;63;?;?;?
19,0.11,65;50;154;?;?;?
3,0.0,55;143;151;63;?;?
1,0.0,162;20;34;?;?;?
2,0.0,11;182;54;63;?;?
3,0.0,65;54;63;?;?;?
3,0.0,2;51;182;7;?;?
1,0.0,2;20;162;?;?;?
1,0.0,55;50;11;151;?;?
2,0.0,65;50;21;7;?;?
1,0.0,65;11;143;63;?;?
1,0.0,65;2;4;?;?;?
1,0.0,65;4;143;?;?;?
1,0.0,2;11;20;182;?;?
5,0.0,65;162;151;?;?;?
1,0.0,8;2;21;63;?;?
5,0.0,11;21;166;?;?;?
1,0.0,65;18;54;?;?;?
1,0.0,4;54;63;?;?;?
1,0.0,11;54;151;?;?;?
1,0.0,65;18;50;?;?;?
3,0.0,21;54;63;?;?;?
1,0.0,8;63;11;182;143;?
1,0.0,25;2;11;181;182;?
1,0.0,8;50;11;6;?;?
3,0.0,154;63;6;7;?;?
1,0.0,25;34;21;?;?;?
1,0.0,8;25;181;182;?;?
4,0.0,65;18;4;?;?;?
4,0.0,170;20;182;?;?;?
1,0.0,168;11;55;?;?;?
2,0.0,65;11;151;182;143;?
2,0.0,63;21;6;143;?;?
1,0.0,65;22;21;182;143;?
4,0.0,8;6;22;?;?;?
1,0.0,18;2;181;?;?;?
1,0.0,50;4;21;?;?;?
1,0.0,18;4;143;?;?;?
1,0.0,170;54;55;?;?;?
1,0.0,22;11;21;54;182;?
1,0.0,63;166;143;?;?;?
6,0.0,9;22;151;?;?;?
1,0.0,55;54;63;?;?;?
1,0.0,8;50;4;?;?;?
1,0.0,11;182;135;?;?;?
1,0.0,181;182;55;?;?;?
8,0.0,65;50;151;?;?;?
2,0.0,8;65;63;?;?;?
2,0.0,2;4;63;?;?;?
1,0.0,9;162;6;?;?;?
1,0.0,112;65;182;?;?;?
1,0.0,11;158;7;?;?;?
8,0.0,168;11;6;?;?;?
1,0.0,7;11;17;51;182;25
1,0.0,65;50;22;?;?;?
2,0.0,9;162;63;?;?;?
1,0.0,11;166;151;?;?;?
7,0.0,50;4;170;?;?;?
10,0.0,8;65;50;?;?;?
1,0.0,2;181;22;182;?;?
2,0.0,4;22;63;?;?;?
