freq,items
0.48,59;23;108;?;?
0.54,29;59;60;?;?
0.43,59;60;21;?;?
0.4,59;21;22;108;?
0.5,180;59;21;?;?
0.49,29;60;21;22;?
0.4,29;59;215;?;?
0.49,60;23;22;?;?
0.41,29;59;60;23;?
0.47,29;180;23;108;?
0.49,29;180;22;?;?
0.49,59;21;22;?;?
0.55,29;59;21;?;?
0.42,180;59;23;108;?
0.48,180;21;108;?;?
0.4,180;21;22;108;?
0.42,29;180;59;21;22
0.46,29;59;21;22;?
0.47,59;23;22;?;?
0.47,29;180;21;108;?
0.41,29;180;59;23;22
0.49,60;22;108;?;?
0.42,29;180;59;108;?
0.41,29;60;21;22;108
0.46,180;60;108;?;?
0.47,29;59;108;?;?
0.56,29;180;21;?;?
0.63,29;23;108;?;?
0.49,29;60;22;108;?
0.43,59;22;108;?;?
0.62,29;23;22;?;?
0.63,29;21;108;?;?
0.43,180;60;23;?;?
0.45,29;59;23;22;?
0.43,59;60;22;?;?
0.63,29;21;22;?;?
0.42,180;59;21;108;?
0.47,180;23;22;?;?
0.41,180;59;23;22;?
0.53,21;22;108;?;?
0.48,59;21;108;?;?
0.47,29;180;108;?;?
0.55,29;180;60;?;?
0.49,180;59;23;?;?
0.49,29;180;59;23;?
0.58,29;60;21;?;?
0.41,29;180;22;108;?
0.43,29;215;254;?;?
0.46,59;60;108;?;?
0.56,29;22;108;?;?
0.51,29;23;22;108;?
0.58,29;60;22;?;?
0.46,29;180;23;22;?
0.55,29;180;23;?;?
0.5,29;180;59;21;?
0.43,180;60;22;?;?
0.52,60;23;108;?;?
0.44,29;180;59;22;?
0.42,29;180;59;23;108
0.6,29;60;108;?;?
0.41,60;23;22;108;?
0.43,180;22;108;?;?
0.44,29;59;60;108;?
0.46,29;59;23;108;?
0.49,29;60;23;22;?
0.57,29;60;23;?;?
0.42,180;59;21;22;?
0.47,29;180;21;22;?
0.43,180;60;21;?;?
0.41,29;59;22;108;?
0.49,180;59;60;?;?
0.52,23;22;108;?;?
0.49,180;21;22;?;?
0.42,180;59;108;?;?
0.5,29;60;21;108;?
0.41,29;180;215;?;?
0.44,180;59;22;?;?
0.41,60;21;22;108;?
0.41,29;60;23;22;108
0.41,29;59;60;22;?
0.46,29;59;21;108;?
0.5,60;21;108;?;?
0.43,59;60;23;?;?
0.52,29;60;23;108;?
0.41,29;59;60;21;?
0.66,29;180;59;?;?
0.53,29;21;22;108;?
0.42,29;180;59;21;108
0.49,60;21;22;?;?
0.49,29;59;22;?;?
0.42,29;180;60;23;?
0.42,29;180;60;22;?
0.44,29;180;60;108;?
0.42,29;180;60;21;?
0.41,29;23;21;?;?
0.54,29;59;23;?;?
0.49,29;180;59;60;?
0.48,180;23;108;?;?
