freq,items
0.67,182;29;27;?
0.46,12;214;27;27
0.76,12;27;1;?
0.65,29;27;1;?
0.41,29;1;19;?
0.45,29;27;56;?
0.51,29;27;27;?
0.42,182;12;214;27
0.43,29;27;131;?
0.49,29;27;4;?
0.42,12;27;214;1
0.41,214;27;131;?
0.54,182;12;1;?
0.41,29;214;19;?
0.48,182;12;27;1
0.49,12;1;4;?
0.46,12;27;19;?
0.42,29;31;131;?
0.47,214;4;127;?
0.47,29;3;127;?
0.48,29;214;4;?
0.47,12;214;61;?
0.46,12;27;3;?
0.45,12;29;214;27
0.59,182;12;214;?
0.53,182;12;214;1
0.49,12;214;3;?
0.46,182;214;56;?
0.48,12;29;27;1
0.49,182;27;4;?
0.41,12;214;4;19
0.41,29;1;3;?
0.4,182;27;214;1
0.52,12;27;56;?
0.45,182;27;214;?
0.41,182;29;127;?
0.44,12;27;1;4
0.41,182;27;3;?
0.51,27;214;1;?
0.47,182;214;4;?
0.44,12;27;61;?
0.41,29;31;27;?
0.4,214;27;1;?
0.71,182;29;1;?
0.45,12;29;56;?
0.43,27;4;19;?
0.48,182;29;56;?
0.44,12;27;4;127
0.41,12;214;131;?
0.4,29;1;27;?
0.44,12;214;3;127
0.46,182;12;29;?
0.45,29;4;19;?
0.42,182;29;19;?
0.47,12;214;4;127
0.45,182;27;27;?
0.69,29;214;1;?
0.59,12;214;4;?
0.5,182;29;4;?
0.41,29;27;3;?
0.42,182;4;127;?
0.46,214;27;27;?
0.41,29;1;127;?
0.4,29;27;127;?
0.55,182;214;27;?
0.55,12;214;56;?
0.47,12;29;4;?
0.66,12;29;1;?
0.44,12;3;127;?
0.44,27;3;127;?
0.45,12;27;127;?
0.68,182;214;1;?
0.41,182;29;27;27
0.41,182;29;3;?
0.4,12;31;131;?
0.42,29;1;61;?
0.55,12;27;4;?
0.7,182;27;1;?
0.43,27;27;27;?
0.48,12;214;1;4
0.67,12;214;27;?
0.48,214;1;4;?
0.48,27;4;127;?
0.48,12;214;127;?
0.41,182;12;29;1
0.42,27;27;131;?
0.42,12;27;31;?
0.41,182;27;19;?
0.4,12;214;27;1
0.51,29;1;4;?
0.62,182;29;214;?
0.5,12;214;19;?
0.4,182;27;1;4
0.47,182;29;214;27
0.41,29;214;3;?
0.44,214;3;127;?
0.42,214;4;19;?
0.48,12;27;214;?
0.41,182;29;1;4
0.56,12;29;214;?
0.56,182;29;214;1
0.47,182;27;56;?
0.41,12;214;27;131
0.45,29;214;56;?
0.49,27;1;4;?
0.41,12;27;131;?
0.62,12;29;27;?
0.58,29;214;27;?
0.41,29;27;19;?
0.51,12;27;27;?
0.51,29;4;127;?
0.4,29;56;131;?
0.43,182;1;4;?
0.48,12;4;127;?
0.51,12;29;214;1
0.41,12;27;27;27
0.41,27;31;131;?
0.45,12;214;31;?
0.82,12;214;1;?
0.41,182;29;61;?
0.42,12;4;19;?
0.53,182;29;27;1
0.41,12;27;3;127
0.41,27;31;27;?
0.56,182;12;27;?
