total,winfreq,items
4,1.0,28;27;60
1,1.0,59;28;13
1,1.0,17;27;23
1,1.0,27;13;63
1,1.0,57;20;23
1,1.0,59;182;94
3,1.0,3;182;63
2,1.0,59;28;182
4,1.0,17;178;23
1,1.0,56;19;21
1,1.0,56;21;23
1,1.0,56;57;36
1,1.0,185;34;28
3,1.0,178;20;214
1,1.0,56;17;57
1,1.0,34;59;182
1,1.0,9;27;4
7,0.86,12;182;94
7,0.86,60;28;22
6,0.83,59;13;94
5,0.8,34;22;23
12,0.75,17;19;86
12,0.75,59;20;182
4,0.75,27;4;63
4,0.75,56;21;182
4,0.75,19;86;182
15,0.73,178;100;214
33,0.7,56;28;180
37,0.7,9;28;4
20,0.7,25;21;23
13,0.69,36;21;13
3,0.67,17;20;31
12,0.67,17;36;94
3,0.67,25;4;9
3,0.67,28;180;86
3,0.67,34;19;94
11,0.64,178;20;23
16,0.63,56;36;180
35,0.6,57;178;182
15,0.6,56;57;27
5,0.6,4;182;31
5,0.6,57;34;214
24,0.58,73;27;17
7,0.57,9;27;182
65,0.55,185;34;17
48,0.54,19;21;63
31,0.52,180;36;13
4,0.5,34;20;61
14,0.5,34;182;22
10,0.5,57;36;17
2,0.5,56;28;94
2,0.5,4;21;23
2,0.5,57;27;4
2,0.5,25;27;21
2,0.5,9;27;36
2,0.5,180;28;36
8,0.5,19;27;86
2,0.5,4;59;28
2,0.5,185;4;25
2,0.5,9;27;28
8,0.5,4;182;23
2,0.5,4;13;23
11,0.45,19;4;23
10,0.4,3;20;63
8,0.38,56;13;94
3,0.33,178;12;21
3,0.33,56;17;73
6,0.33,36;21;63
9,0.33,20;94;31
3,0.33,56;34;59
1,0.0,57;27;20
1,0.0,56;73;36
1,0.0,57;34;182
1,0.0,17;28;13
1,0.0,56;57;182
2,0.0,17;3;20
1,0.0,59;20;23
1,0.0,57;182;214
3,0.0,34;182;31
1,0.0,17;19;23
2,0.0,12;178;4
2,0.0,27;20;61
2,0.0,36;86;94
1,0.0,19;182;23
1,0.0,63;20;23
1,0.0,34;180;13
1,0.0,17;4;9
1,0.0,9;28;36
2,0.0,25;182;22
1,0.0,59;36;23
1,0.0,19;13;23
1,0.0,57;20;17
1,0.0,56;17;21
1,0.0,56;73;21
1,0.0,56;57;20
1,0.0,56;20;23
