freq,items
0.53,29;63;8;168;?;?
0.51,20;75;8;8;168;?
0.43,20;88;123;?;?;?
0.47,14;75;29;25;?;?
0.51,12;88;63;?;?;?
0.54,14;75;212;8;?;?
0.44,20;88;212;24;?;?
0.6,14;25;63;?;?;?
0.5,14;212;8;8;?;?
0.47,20;63;8;168;?;?
0.49,20;69;24;?;?;?
0.63,14;75;63;?;?;?
0.49,14;29;69;?;?;?
0.52,12;212;24;?;?;?
0.42,28;56;24;123;?;?
0.43,14;63;123;?;?;?
0.41,212;25;17;?;?;?
0.42,12;29;57;?;?;?
0.4,20;28;57;123;?;?
0.59,14;88;212;?;?;?
0.77,20;75;212;?;?;?
0.51,14;56;69;123;?;?
0.41,20;75;25;8;168;?
0.49,29;63;24;123;?;?
0.48,12;25;17;?;?;?
0.56,20;25;17;?;?;?
0.54,20;75;24;123;?;?
0.46,212;25;63;?;?;?
0.43,75;63;24;?;?;?
0.46,20;212;25;63;?;?
0.46,20;28;24;?;?;?
0.49,56;57;24;?;?;?
0.42,29;69;24;123;?;?
0.44,20;25;24;123;?;?
0.49,12;25;8;?;?;?
0.42,14;88;212;57;?;?
0.46,14;88;212;25;?;?
0.55,12;56;69;?;?;?
0.56,12;212;25;?;?;?
0.45,20;75;212;56;69;?
0.44,88;17;8;?;?;?
0.4,14;29;63;168;?;?
0.53,88;8;8;?;?;?
0.58,56;57;123;?;?;?
0.45,14;88;212;8;?;?
0.43,20;25;69;?;?;?
0.42,29;25;63;8;168;?
0.49,75;29;17;?;?;?
0.44,20;29;25;24;?;?
0.58,56;24;123;?;?;?
0.49,29;63;8;8;168;?
0.46,14;75;56;57;?;?
0.49,75;212;8;168;?;?
0.52,88;69;123;?;?;?
0.41,20;14;28;?;?;?
0.51,14;75;168;?;?;?
0.49,88;56;123;?;?;?
0.49,20;75;29;17;?;?
0.41,20;29;63;123;?;?
0.43,20;75;212;56;123;?
0.57,14;212;8;?;?;?
0.43,56;69;8;?;?;?
0.48,12;88;8;?;?;?
0.42,75;25;8;8;?;?
0.41,56;123;8;?;?;?
0.41,12;212;56;57;?;?
0.52,29;25;8;168;?;?
0.4,28;63;8;8;?;?
0.41,20;75;212;63;8;?
0.46,12;17;8;?;?;?
0.45,25;63;24;?;?;?
0.43,88;212;29;?;?;?
0.5,20;88;63;?;?;?
0.58,88;212;8;?;?;?
0.6,20;57;123;?;?;?
0.47,12;212;24;123;?;?
0.42,14;29;25;24;?;?
0.47,14;28;25;?;?;?
0.44,20;63;8;8;168;?
0.46,29;69;24;?;?;?
0.48,12;63;8;?;?;?
0.4,63;69;123;?;?;?
0.43,29;17;57;?;?;?
0.44,14;88;212;17;?;?
0.5,20;212;56;?;?;?
0.42,20;75;212;56;57;?
0.54,88;212;24;?;?;?
0.41,75;29;24;?;?;?
0.44,20;75;57;24;?;?
0.46,88;212;25;63;?;?
0.4,25;63;24;123;?;?
0.49,75;25;8;?;?;?
0.46,14;212;69;123;?;?
0.43,12;88;212;17;?;?
0.48,20;88;212;8;?;?
0.47,28;63;8;?;?;?
0.43,29;25;63;24;?;?
0.49,14;75;56;69;?;?
0.4,29;25;63;17;?;?
0.42,28;63;24;?;?;?
0.42,25;63;17;?;?;?
0.56,14;69;123;?;?;?
0.6,20;69;123;?;?;?
0.54,20;75;212;24;?;?
0.53,20;75;56;69;?;?
0.44,12;212;8;8;168;?
0.41,25;63;8;8;168;?
0.46,75;212;8;8;168;?
0.45,20;63;123;?;?;?
0.47,14;75;56;123;?;?
0.47,17;24;123;?;?;?
0.4,12;63;8;168;?;?
0.4,12;29;24;123;?;?
0.51,12;212;57;?;?;?
0.54,14;75;212;25;?;?
0.51,20;88;25;?;?;?
0.42,14;25;24;123;?;?
0.49,88;8;8;168;?;?
0.53,14;212;57;?;?;?
0.42,20;29;25;8;8;?
0.42,212;56;57;?;?;?
0.46,20;212;57;123;?;?
0.44,20;88;212;57;?;?
0.62,29;25;17;?;?;?
0.57,20;75;212;63;?;?
0.43,14;17;8;8;?;?
0.49,88;212;168;?;?;?
0.45,14;63;8;8;?;?
0.54,75;24;123;?;?;?
0.44,12;88;212;8;?;?
0.53,75;57;123;?;?;?
0.4,12;212;25;8;?;?
0.41,88;212;63;8;?;?
0.41,14;75;63;24;?;?
0.41,20;88;69;123;?;?
0.49,20;75;56;57;?;?
0.43,14;75;212;25;63;?
0.56,14;212;63;?;?;?
0.41,20;75;212;25;17;?
0.43,14;75;212;57;123;?
0.52,88;25;63;?;?;?
0.44,75;56;57;123;?;?
0.41,14;75;69;24;?;?
0.51,17;8;168;?;?;?
0.41,20;14;212;25;?;?
0.46,14;75;25;8;?;?
0.42,75;29;25;63;?;?
0.47,88;25;8;?;?;?
0.5,20;212;8;8;?;?
0.43,14;17;168;?;?;?
0.51,75;29;25;?;?;?
0.53,29;63;168;?;?;?
0.48,20;25;168;?;?;?
0.55,20;63;8;?;?;?
0.58,20;56;57;?;?;?
0.47,20;212;69;123;?;?
0.45,88;212;56;69;?;?
0.42,88;212;56;57;?;?
0.47,20;63;168;?;?;?
0.55,20;75;25;63;?;?
0.4,14;29;63;8;8;?
0.52,28;69;123;?;?;?
0.46,88;63;8;?;?;?
0.42,14;29;63;24;?;?
0.55,75;8;8;?;?;?
0.59,20;8;168;?;?;?
0.46,29;25;69;?;?;?
0.42,20;75;56;24;123;?
0.41,20;14;8;168;?;?
0.42,12;212;56;123;?;?
0.53,57;24;123;?;?;?
0.51,20;56;57;123;?;?
0.43,14;75;212;8;8;168
0.4,20;14;75;69;?;?
0.43,20;28;29;?;?;?
0.4,20;29;17;168;?;?
0.46,28;56;69;123;?;?
0.52,88;8;168;?;?;?
0.42,20;17;8;8;168;?
0.46,14;212;25;63;?;?
0.53,12;29;17;?;?;?
0.54,12;8;8;?;?;?
0.46,20;28;57;?;?;?
0.49,14;212;8;168;?;?
0.41,14;63;24;123;?;?
0.42,12;88;28;?;?;?
0.43,20;75;28;?;?;?
0.44,14;12;212;?;?;?
0.4,20;212;56;69;123;?
0.42,20;88;168;?;?;?
0.53,20;14;25;?;?;?
0.4,20;75;69;24;123;?
0.48,20;28;17;?;?;?
0.5,75;212;123;?;?;?
0.43,29;17;69;?;?;?
0.5,12;8;8;168;?;?
0.44,12;28;25;?;?;?
0.49,20;25;8;8;?;?
0.47,20;75;56;69;123;?
0.44,25;63;8;168;?;?
0.45,20;14;57;?;?;?
0.45,12;57;24;?;?;?
0.51,25;8;8;168;?;?
0.59,14;75;8;?;?;?
0.42,20;56;57;24;?;?
0.45,14;75;29;17;?;?
0.58,20;75;56;?;?;?
0.41,75;17;24;?;?;?
0.42,75;212;25;8;?;?
0.42,75;25;168;?;?;?
0.5,75;212;56;?;?;?
0.41,75;25;8;168;?;?
0.42,20;88;24;123;?;?
0.5,75;212;8;8;?;?
0.43,14;212;56;123;?;?
0.42,20;14;212;8;?;?
0.57,20;212;63;?;?;?
0.45,20;29;69;123;?;?
0.57,14;212;25;?;?;?
0.41,20;212;63;8;?;?
0.47,14;75;212;8;8;?
0.43,20;75;29;8;?;?
0.5,20;57;24;?;?;?
0.43,14;88;57;?;?;?
0.42,20;75;25;8;8;?
0.48,20;88;212;25;?;?
0.46,20;75;17;8;?;?
0.41,20;75;212;25;8;?
0.6,20;24;123;?;?;?
0.5,28;29;63;?;?;?
0.43,14;28;69;?;?;?
0.47,14;56;57;123;?;?
0.42,12;25;8;8;?;?
0.55,29;63;24;?;?;?
0.47,20;17;24;?;?;?
0.44,14;75;17;8;?;?
0.43,20;56;8;?;?;?
0.48,20;75;25;17;?;?
0.47,14;29;25;17;?;?
0.4,75;212;56;69;123;?
0.45,20;75;56;24;?;?
0.53,14;8;8;168;?;?
0.52,20;14;29;?;?;?
0.47,20;88;57;?;?;?
0.45,14;75;212;24;123;?
0.41,28;57;24;123;?;?
0.5,25;24;123;?;?;?
0.46,20;75;212;8;8;168
0.46,29;57;24;?;?;?
0.46,20;88;24;?;?;?
0.53,88;24;123;?;?;?
0.56,14;75;24;?;?;?
0.42,88;212;25;8;?;?
0.4,20;14;56;69;?;?
0.41,20;29;17;8;8;?
0.4,12;28;57;?;?;?
0.43,20;75;212;29;?;?
0.59,20;14;75;?;?;?
0.41,20;14;168;?;?;?
0.46,20;25;63;8;?;?
0.49,75;212;168;?;?;?
0.43,20;75;63;24;?;?
0.48,56;69;24;123;?;?
0.65,14;29;63;?;?;?
0.41,20;28;25;63;?;?
0.44,28;69;24;?;?;?
0.48,14;29;123;?;?;?
0.42,14;17;8;168;?;?
0.43,20;88;8;8;?;?
0.46,212;57;123;?;?;?
0.43,20;12;212;?;?;?
0.52,14;75;8;8;?;?
0.47,12;29;8;?;?;?
0.5,14;17;8;?;?;?
0.44,20;75;25;24;?;?
0.43,12;88;123;?;?;?
0.42,20;14;29;17;?;?
0.5,20;75;56;123;?;?
0.42,25;63;123;?;?;?
0.41,28;212;123;?;?;?
0.41,88;63;24;?;?;?
0.5,29;63;123;?;?;?
0.41,28;29;8;?;?;?
0.4,20;14;88;?;?;?
0.45,20;17;168;?;?;?
0.43,88;57;24;?;?;?
0.48,20;14;8;?;?;?
0.44,14;75;56;69;123;?
0.44,29;56;69;123;?;?
0.55,75;25;63;?;?;?
0.46,14;75;212;8;168;?
0.5,20;29;63;8;?;?
0.52,14;75;25;63;?;?
0.47,28;29;17;?;?;?
0.5,28;56;123;?;?;?
0.58,29;8;8;168;?;?
0.64,14;29;25;?;?;?
0.46,28;212;25;?;?;?
0.47,14;88;25;?;?;?
0.44,14;75;212;69;123;?
0.5,14;212;123;?;?;?
0.46,14;69;24;?;?;?
0.49,20;63;24;?;?;?
0.55,29;57;123;?;?;?
0.41,28;69;24;123;?;?
0.5,20;212;123;?;?;?
0.4,20;14;75;57;?;?
0.53,20;212;57;?;?;?
0.48,20;28;212;?;?;?
0.41,75;212;63;8;?;?
0.41,14;17;123;?;?;?
0.41,20;14;212;63;?;?
0.4,12;212;63;8;?;?
0.51,75;8;8;168;?;?
0.46,14;75;25;17;?;?
0.46,75;212;57;123;?;?
0.54,63;8;8;?;?;?
0.51,20;29;57;?;?;?
0.56,12;29;25;?;?;?
0.53,20;17;8;?;?;?
0.43,14;75;212;56;69;?
0.49,63;24;123;?;?;?
0.43,14;28;57;?;?;?
0.42,12;88;56;69;?;?
0.45,14;63;168;?;?;?
0.5,29;25;123;?;?;?
0.47,28;25;17;?;?;?
0.54,14;29;8;?;?;?
0.47,12;56;24;?;?;?
0.53,28;8;168;?;?;?
0.45,28;56;24;?;?;?
0.41,88;212;25;17;?;?
0.43,88;212;56;123;?;?
0.42,14;88;24;?;?;?
0.45,20;29;57;123;?;?
0.42,20;28;168;?;?;?
0.51,20;75;29;25;?;?
0.61,8;8;168;?;?;?
0.41,12;88;168;?;?;?
0.47,20;75;88;?;?;?
0.42,20;88;212;56;?;?
0.52,12;88;25;?;?;?
0.41,20;56;69;24;123;?
0.46,28;212;63;?;?;?
0.54,25;8;168;?;?;?
0.46,88;56;69;123;?;?
0.42,88;25;24;?;?;?
0.53,28;25;63;?;?;?
0.51,14;75;24;123;?;?
0.58,20;75;212;25;?;?
0.44,14;17;24;?;?;?
0.53,12;57;123;?;?;?
0.46,29;17;24;123;?;?
0.41,20;75;63;8;168;?
0.41,20;29;25;123;?;?
0.5,14;75;212;24;?;?
0.5,14;75;69;123;?;?
0.42,75;63;8;8;?;?
0.41,12;28;29;?;?;?
0.52,25;63;8;?;?;?
0.58,75;212;8;?;?;?
0.6,20;75;57;?;?;?
0.42,14;88;212;24;?;?
0.5,88;212;8;8;?;?
0.47,20;29;17;8;?;?
0.43,29;25;63;8;8;?
0.46,75;212;25;63;?;?
0.49,20;29;24;123;?;?
0.55,14;56;123;?;?;?
0.46,88;212;57;123;?;?
0.48,12;212;123;?;?;?
0.46,20;17;8;8;?;?
0.47,12;75;212;?;?;?
0.41,12;25;168;?;?;?
0.53,20;75;212;69;?;?
0.53,20;75;57;123;?;?
0.56,14;8;168;?;?;?
0.55,20;212;17;?;?;?
0.46,14;29;24;123;?;?
0.48,14;212;24;123;?;?
0.42,88;56;24;123;?;?
0.4,212;56;69;123;?;?
0.43,20;17;123;?;?;?
0.57,75;212;63;?;?;?
0.48,14;75;8;8;168;?
0.57,14;8;8;?;?;?
0.54,75;8;168;?;?;?
0.4,56;69;57;?;?;?
0.42,20;69;8;?;?;?
0.4,24;123;8;?;?;?
0.43,88;69;24;?;?;?
0.46,29;63;69;?;?;?
0.6,14;75;17;?;?;?
0.56,14;75;57;?;?;?
0.41,28;25;8;8;?;?
0.42,28;212;69;?;?;?
0.66,20;29;17;?;?;?
0.53,14;25;17;?;?;?
0.46,14;28;63;?;?;?
0.45,12;88;212;63;?;?
0.53,75;69;123;?;?;?
0.54,20;75;8;168;?;?
0.49,63;8;8;168;?;?
0.45,20;14;24;?;?;?
0.4,29;56;57;123;?;?
0.4,12;29;63;8;?;?
0.45,88;56;24;?;?;?
0.49,20;88;8;?;?;?
0.41,20;75;63;168;?;?
0.41,14;56;69;24;?;?
0.42,14;25;8;8;168;?
0.57,14;24;123;?;?;?
0.5,212;8;8;?;?;?
0.44,12;212;25;63;?;?
0.41,12;88;25;63;?;?
0.49,20;75;212;168;?;?
0.52,12;56;123;?;?;?
0.55,20;75;212;17;?;?
0.42,20;29;63;8;168;?
0.52,12;56;57;?;?;?
0.47,88;212;69;123;?;?
0.46,14;75;63;8;?;?
0.49,88;212;8;168;?;?
0.62,29;63;8;?;?;?
0.42,12;88;212;57;?;?
0.42,14;75;56;24;?;?
0.45,20;14;56;?;?;?
0.46,29;56;57;?;?;?
0.41,212;63;8;?;?;?
0.44,28;212;24;?;?;?
0.43,14;88;69;?;?;?
0.4,14;75;212;56;123;?
0.42,20;29;63;168;?;?
0.58,29;17;8;?;?;?
0.46,20;75;212;25;63;?
0.48,20;88;17;?;?;?
0.41,20;29;25;8;168;?
0.63,20;25;63;?;?;?
0.42,20;14;8;8;?;?
0.49,14;75;57;123;?;?
0.45,14;29;17;8;?;?
0.41,20;14;24;123;?;?
0.49,20;75;212;24;123;?
0.46,12;88;24;?;?;?
0.43,20;75;69;24;?;?
0.44,20;14;29;25;?;?
0.41,20;88;212;8;168;?
0.53,14;29;25;63;?;?
0.49,20;212;24;123;?;?
0.4,14;25;69;?;?;?
0.41,20;75;29;24;?;?
0.5,88;212;123;?;?;?
0.42,20;63;69;?;?;?
0.46,88;25;17;?;?;?
0.53,75;212;69;?;?;?
0.44,14;29;8;8;168;?
0.55,29;69;123;?;?;?
0.45,12;29;25;63;?;?
0.55,12;25;63;?;?;?
0.55,25;8;8;?;?;?
0.42,14;28;24;?;?;?
0.46,14;28;8;?;?;?
0.46,14;29;168;?;?;?
0.4,28;212;8;168;?;?
0.41,20;75;57;24;123;?
0.46,12;88;56;?;?;?
0.5,29;17;8;168;?;?
0.56,14;75;29;?;?;?
0.4,88;25;8;8;?;?
0.42,75;56;24;123;?;?
