freq,items
0.48,29;180;27;94;?
0.42,180;94;79;?;?
0.41,29;180;27;79;?
0.43,29;180;59;94;?
0.42,29;27;4;?;?
0.46,29;180;4;?;?
0.42,28;178;27;?;?
0.4,29;59;4;86;79
0.49,29;180;94;?;?
0.5,59;27;94;?;?
0.42,29;59;4;79;?
0.47,29;94;79;?;?
0.41,29;180;59;4;?
0.43,29;180;4;86;?
0.48,29;86;79;?;?
0.54,29;59;27;?;?
0.41,29;180;27;94;79
0.43,180;59;94;?;?
0.42,178;180;59;?;?
0.5,180;27;94;?;?
0.4,29;59;27;79;?
0.43,29;180;79;?;?
0.48,27;94;79;?;?
0.48,180;59;27;?;?
0.42,27;4;86;79;?
0.42,29;180;4;79;?
0.44,59;4;79;?;?
0.47,29;27;79;?;?
0.42,180;27;79;?;?
0.44,29;59;86;?;?
0.41,29;59;94;79;?
0.42,59;4;86;79;?
0.48,29;4;79;?;?
0.44,27;4;79;?;?
0.47,29;27;94;79;?
0.42,180;4;86;79;?
0.42,29;59;86;79;?
0.44,59;86;79;?;?
0.43,29;27;86;?;?
0.45,27;86;79;?;?
0.44,27;180;59;?;?
0.44,28;27;94;?;?
0.43,180;4;79;?;?
0.43,28;178;59;?;?
0.48,29;59;94;?;?
0.73,29;180;59;?;?
0.42,59;27;94;79;?
0.43,180;59;27;94;?
0.44,59;4;86;?;?
0.41,180;59;4;?;?
0.4,29;59;27;94;79
0.43,29;180;23;?;?
0.45,29;180;86;?;?
0.45,28;29;180;?;?
0.57,29;27;94;?;?
0.44,180;4;86;?;?
0.42,29;59;79;?;?
0.41,29;180;94;79;?
0.42,29;59;4;86;?
0.43,29;180;59;27;94
0.54,29;180;27;?;?
0.42,29;59;23;?;?
0.44,180;86;79;?;?
0.41,29;180;4;86;79
0.42,59;94;79;?;?
0.42,180;27;94;79;?
0.43,28;178;180;?;?
0.46,4;86;79;?;?
0.42,59;27;79;?;?
0.46,29;59;4;?;?
0.42,29;180;86;79;?
0.48,29;59;27;94;?
0.49,28;180;59;?;?
0.45,27;4;86;?;?
0.49,29;4;86;?;?
0.41,29;27;86;79;?
0.48,29;180;59;27;?
0.46,29;4;86;79;?
0.4,27;27;94;?;?
0.45,28;29;59;?;?
